n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,467.6940495618115,48384,TenuredGenerationSizeSupplementDecay = 8,TenuredGenerationSizeSupplementDecay = 8.00,2,1.0,1.0,1.0,0,13082.530705690384
2,481.4173951699917,24192,MinSurvivorRatio = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,MinSurvivorRatio = 1.00 AND UseAdaptiveSizeDecayMajorGCCost,1,1.0,1.0,1.0,0,12993.635278463364
3,258.8190221493911,16128,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,NOT TenuredGenerationSizeSupplement_50 AND UseAdaptiveGCBoundary AND UseAdaptiveSizePolicy,1,1.0,1.0,1.0,0,11931.580831050873
4,437.5344725163664,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,NOT UseAdaptiveSizeDecayMajorGCCost,0,0.0,0.0,0.0,0,12916.022886753082
1,201.03696832197247,32256,NewRatio = 16,NewRatio = 16.00,0,1.0,1.0,1.0,1,11885.04210472107
2,349.0008403589141,24192,MinSurvivorRatio = 10 AND UseAdaptiveSizePolicy = 1,MinSurvivorRatio = 10.00 AND UseAdaptiveSizePolicy,1,1.0,1.0,1.0,1,11696.466503858566
3,251.99186959614795,16128,DisableExplicitGC = 1 AND TenuredGenerationSizeSupplement_70 = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC AND NOT TenuredGenerationSizeSupplement_70 AND UseAdaptiveSizePolicyFootprintGoal,1,1.0,1.0,1.0,1,10130.672292232512
4,455.4016823736547,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,NOT UseAdaptiveSizePolicyFootprintGoal,0,0.0,0.0,0.0,1,9893.774450540544
1,203.7309992343452,32256,NewRatio = 16,NewRatio = 16.00,0,1.0,1.0,1.0,10,12130.594714403152
2,61.66309804929261,32256,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,NOT TenuredGenerationSizeSupplement_50 AND UseAdaptiveSizeDecayMajorGCCost,0,1.0,1.0,1.0,10,11722.085358142853
3,288.5306811048152,16128,DisableExplicitGC = 1 AND TenuredGenerationSizeSupplement_70 = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC AND NOT TenuredGenerationSizeSupplement_70 AND UseAdaptiveSizePolicy,0,1.0,1.0,1.0,10,11553.784642457962
4,210.7981085273388,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC AND UseAdaptiveGCBoundary AND UseAdaptiveSizePolicy AND UseAdaptiveSizePolicyFootprintGoal,0,1.0,1.0,1.0,10,11456.557698011398
1,321.9474388821081,32256,NewRatio = 1,NewRatio = 1.00,1,1.0,1.0,1.0,11,13185.53730392456
2,397.9035032810351,32256,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,NOT TenuredGenerationSizeSupplement_50 AND UseAdaptiveSizePolicyFootprintGoal,1,1.0,1.0,1.0,11,13264.183374643326
3,461.7624657010814,16128,TenuredGenerationSizeSupplement_50 = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,NOT TenuredGenerationSizeSupplement_50 AND UseAdaptiveSizeDecayMajorGCCost AND UseAdaptiveSizePolicyFootprintGoal,1,1.0,1.0,1.0,11,13268.93073296547
4,264.43620876002143,12096,UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveGCBoundary AND UseAdaptiveSizeDecayMajorGCCost AND UseAdaptiveSizePolicy AND UseAdaptiveSizePolicyFootprintGoal,1,1.0,1.0,1.0,11,14451.73029589653
1,329.7822857651407,48384,MinSurvivorRatio = 4,MinSurvivorRatio = 4.00,0,1.0,1.0,1.0,12,12164.708776474
2,360.7564834052075,10752,MaxTenuringThreshold = 15 AND NewRatio = 2,MaxTenuringThreshold = 15.00 AND NewRatio <= 2.00,1,0.6666666666666666,0.5,1.0,12,14049.777423381804
3,318.4168152904452,16128,DisableExplicitGC = 1 AND TenuredGenerationSizeSupplement_90 = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC AND NOT TenuredGenerationSizeSupplement_90 AND UseAdaptiveSizePolicy,1,1.0,1.0,1.0,12,10028.634727478027
4,220.7774338046147,12096,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,DisableExplicitGC AND UseAdaptiveGCBoundary AND UseAdaptiveSizeDecayMajorGCCost AND UseAdaptiveSizePolicy,0,1.0,1.0,1.0,12,10010.504024267197
1,44.599392035681326,48384,TenuredGenerationSizeSupplementDecay = 8,TenuredGenerationSizeSupplementDecay = 8.00,1,1.0,1.0,1.0,13,13412.204395771028
2,340.4080689895868,16128,NewRatio = 16 AND UseAdaptiveSizeDecayMajorGCCost = 1,NewRatio = 16.00 AND UseAdaptiveSizeDecayMajorGCCost,0,1.0,1.0,1.0,13,12677.714305400848
3,361.1797519314309,10752,DisableExplicitGC = 1 AND MaxTenuringThreshold = 5 AND TenuredGenerationSizeSupplement_50 = 1,DisableExplicitGC AND MaxTenuringThreshold = 5.00 AND NOT TenuredGenerationSizeSupplement_50 AND NOT TenuredGenerationSizeSupplement_70 AND NOT TenuredGenerationSizeSupplement_90,1,1.0,1.0,1.0,13,10647.36714363098
4,85.98901596915795,12096,UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveGCBoundary AND UseAdaptiveSizeDecayMajorGCCost AND UseAdaptiveSizePolicy AND UseAdaptiveSizePolicyFootprintGoal,0,1.0,1.0,1.0,13,10970.311806440352
