n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,234.19816678156752,256,inline = 1 AND licm = 1,inline AND licm,1,1.0,1.0,1.0,0,293.8256494998932
3,254.28141509295165,128,ipsccp = 1 AND jump_threading = 1 AND print_used_types = 1,NOT ipsccp AND NOT jump_threading,0,0.0,0.0,0.0,0,291.47217297554016
4,217.99136771106168,64,inline = 1 AND instcombine = 1 AND licm = 1 AND simplifycfg = 1,inline AND instcombine AND licm AND simplifycfg,0,1.0,1.0,1.0,0,281.8005630970001
2,253.87155934823437,256,gvn = 1 AND iv_users = 1,NOT instcombine AND licm,0,0.25,0.25,0.25,1,271.7575590610504
3,259.36794933665124,128,ipsccp = 1 AND licm = 1 AND sccp = 1,ipsccp AND licm AND sccp,1,1.0,1.0,1.0,1,269.31459617614746
4,263.2576642057184,64,gvn = 1 AND instcombine = 1 AND licm = 1 AND sccp = 1,gvn AND instcombine AND licm AND sccp,1,1.0,1.0,1.0,1,271.6253707408905
2,259.6777809281276,256,iv_users = 1 AND jump_threading = 1,iv_users AND jump_threading,1,1.0,1.0,1.0,10,280.23765659332275
3,217.4238108331653,128,inline = 1 AND ipsccp = 1 AND licm = 1,NOT ipsccp AND NOT simplifycfg,0,0.0,0.0,0.0,10,271.0160925388336
4,232.42905145647896,64,gvn = 1 AND inline = 1 AND licm = 1 AND simplifycfg = 1,ipsccp AND simplifycfg,2,0.2,0.125,0.5,10,262.500125169754
2,210.9178614959505,256,iv_users = 1 AND licm = 1,iv_users AND licm,1,1.0,1.0,1.0,11,252.0424919128418
3,229.2149224361173,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp AND licm AND print_used_types,0,1.0,1.0,1.0,11,244.45775866508484
4,204.70277736115253,64,inline = 1 AND iv_users = 1 AND print_used_types = 1 AND sccp = 1,NOT gvn AND simplifycfg,2,0.1,0.0625,0.25,11,247.4647696018219
2,247.2197738559156,256,jump_threading = 1 AND sccp = 1,jump_threading AND sccp,1,1.0,1.0,1.0,12,251.56039690971372
3,248.7743427112132,128,gvn = 1 AND licm = 1 AND sccp = 1,gvn AND licm AND sccp,1,1.0,1.0,1.0,12,250.3625221252441
4,241.00354629828888,64,gvn = 1 AND inline = 1 AND ipsccp = 1 AND sccp = 1,gvn AND inline AND ipsccp AND sccp,1,1.0,1.0,1.0,12,236.69358944892883
2,238.2690509920203,256,print_used_types = 1 AND sccp = 1,gvn AND inline AND NOT instcombine AND NOT ipsccp AND print_used_types,1,0.1111111111111111,0.5,0.0625,13,247.36652183532715
3,241.9269766491124,128,inline = 1 AND iv_users = 1 AND simplifycfg = 1,inline AND iv_users AND simplifycfg,1,1.0,1.0,1.0,13,253.28711676597595
4,236.67453718209515,64,inline = 1 AND instcombine = 1 AND ipsccp = 1 AND iv_users = 1,gvn AND NOT ipsccp AND NOT iv_users,0,0.0,0.0,0.0,13,249.2716886997223
2,245.85715311307237,256,print_used_types = 1 AND sccp = 1,print_used_types AND sccp,1,1.0,1.0,1.0,14,277.0458962917328
3,235.47506373906623,128,gvn = 1 AND inline = 1 AND simplifycfg = 1,gvn AND simplifycfg,4,0.6666666666666666,0.5,1.0,14,266.30726146698
4,255.1817267832163,64,inline = 1 AND iv_users = 1 AND licm = 1 AND simplifycfg = 1,inline AND iv_users AND licm AND simplifycfg,1,1.0,1.0,1.0,14,277.6364154815674
2,218.09079008041323,256,gvn = 1 AND iv_users = 1,gvn AND iv_users,1,1.0,1.0,1.0,15,270.8875527381897
3,253.4474810774765,128,iv_users = 1 AND jump_threading = 1 AND sccp = 1,NOT jump_threading,0,0.0,0.0,0.0,15,243.30567383766171
4,217.52299844372783,64,inline = 1 AND iv_users = 1 AND jump_threading = 1 AND print_used_types = 1,inline AND iv_users AND jump_threading AND print_used_types,1,1.0,1.0,1.0,15,251.2369768619537
2,226.4794270726021,256,iv_users = 1 AND simplifycfg = 1,iv_users AND simplifycfg,1,1.0,1.0,1.0,16,268.53138518333435
3,220.67618409317052,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp AND licm AND print_used_types,1,1.0,1.0,1.0,16,250.05889868736267
4,236.62786365953835,64,inline = 1 AND instcombine = 1 AND jump_threading = 1 AND print_used_types = 1,instcombine AND jump_threading,1,0.4,0.25,1.0,16,255.17021703720093
2,215.7876692085047,256,sccp = 1 AND simplifycfg = 1,sccp AND simplifycfg,4,1.0,1.0,1.0,17,275.86979246139526
3,255.5510692034941,128,inline = 1 AND jump_threading = 1 AND print_used_types = 1,inline AND jump_threading AND print_used_types,1,1.0,1.0,1.0,17,262.2815535068512
4,227.38426453221277,64,inline = 1 AND licm = 1 AND print_used_types = 1 AND simplifycfg = 1,inline AND licm AND print_used_types AND simplifycfg,1,1.0,1.0,1.0,17,257.0156548023224
2,233.29564529199152,256,iv_users = 1 AND print_used_types = 1,iv_users AND print_used_types,1,1.0,1.0,1.0,18,292.470596075058
3,217.32909401569515,128,instcombine = 1 AND iv_users = 1 AND simplifycfg = 1,NOT iv_users AND NOT simplifycfg,0,0.0,0.0,0.0,18,274.4183039665222
4,236.01905602467505,64,gvn = 1 AND ipsccp = 1 AND jump_threading = 1 AND sccp = 1,gvn AND ipsccp AND jump_threading AND sccp,1,1.0,1.0,1.0,18,281.6724841594696
2,255.9027179530181,256,inline = 1 AND print_used_types = 1,inline AND print_used_types,1,1.0,1.0,1.0,19,278.40642285346985
3,224.54282370688335,128,ipsccp = 1 AND jump_threading = 1 AND licm = 1,ipsccp AND jump_threading AND licm,1,1.0,1.0,1.0,19,273.666574716568
4,216.2081058578391,64,instcombine = 1 AND ipsccp = 1 AND licm = 1 AND print_used_types = 1,instcombine AND ipsccp AND licm AND print_used_types,1,1.0,1.0,1.0,19,270.35542154312134
2,235.45548155746343,256,licm = 1 AND simplifycfg = 1,NOT licm,0,0.0,0.0,0.0,2,300.2088749408722
3,256.9443495911643,128,inline = 1 AND instcombine = 1 AND sccp = 1,inline AND instcombine AND sccp,1,1.0,1.0,1.0,2,267.86009192466736
4,252.5292886471009,64,gvn = 1 AND instcombine = 1 AND licm = 1 AND sccp = 1,NOT gvn AND NOT instcombine AND NOT licm,0,0.0,0.0,0.0,2,269.37826681137085
2,211.22967909576565,256,gvn = 1 AND simplifycfg = 1,gvn AND simplifycfg,1,1.0,1.0,1.0,20,261.6542115211487
3,242.6874325066553,128,inline = 1 AND jump_threading = 1 AND licm = 1,inline AND jump_threading AND licm,4,1.0,1.0,1.0,20,267.4493854045868
4,252.9705903805203,64,inline = 1 AND jump_threading = 1 AND print_used_types = 1 AND simplifycfg = 1,inline AND jump_threading AND print_used_types AND simplifycfg,1,1.0,1.0,1.0,20,266.6815383434296
2,228.45761177296015,256,iv_users = 1 AND jump_threading = 1,iv_users AND jump_threading,1,1.0,1.0,1.0,21,262.7144660949707
3,211.9711836563964,128,ipsccp = 1 AND jump_threading = 1 AND licm = 1,ipsccp AND jump_threading AND licm,1,1.0,1.0,1.0,21,270.2457995414734
4,234.3515235129181,64,gvn = 1 AND ipsccp = 1 AND iv_users = 1 AND sccp = 1,NOT instcombine AND iv_users AND sccp AND simplifycfg,1,0.25,0.25,0.25,21,256.9541363716125
2,261.0126494096761,256,print_used_types = 1 AND simplifycfg = 1,print_used_types AND simplifycfg,1,1.0,1.0,1.0,22,268.882178068161
3,257.04010308745745,128,gvn = 1 AND jump_threading = 1 AND licm = 1,gvn AND jump_threading AND licm,1,1.0,1.0,1.0,22,266.0043966770172
4,218.4748233733197,64,gvn = 1 AND inline = 1 AND jump_threading = 1 AND sccp = 1,gvn AND inline AND jump_threading AND sccp,1,1.0,1.0,1.0,22,255.54726028442383
2,226.32224893785883,256,jump_threading = 1 AND sccp = 1,jump_threading AND sccp,1,1.0,1.0,1.0,23,262.73784732818604
3,221.2079074612616,128,instcombine = 1 AND jump_threading = 1 AND simplifycfg = 1,instcombine AND jump_threading AND simplifycfg,1,1.0,1.0,1.0,23,244.4685456752777
4,266.55460370572257,64,gvn = 1 AND iv_users = 1 AND licm = 1 AND sccp = 1,inline AND NOT ipsccp,1,0.1,0.0625,0.25,23,255.33022952079773
2,245.3622780169232,256,instcombine = 1 AND sccp = 1,instcombine AND sccp,1,1.0,1.0,1.0,24,256.1897096633911
3,224.00760870778183,128,inline = 1 AND iv_users = 1 AND sccp = 1,inline AND iv_users AND sccp,1,1.0,1.0,1.0,24,266.27162766456604
4,235.0244437344336,64,ipsccp = 1 AND jump_threading = 1 AND sccp = 1 AND simplifycfg = 1,NOT instcombine AND iv_users AND licm AND simplifycfg,1,0.125,0.125,0.125,24,256.39195823669434
2,256.74387081753173,256,instcombine = 1 AND print_used_types = 1,instcombine AND print_used_types,1,1.0,1.0,1.0,25,265.48591136932373
