n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,4719706.5,72,compressionZpaq = 1,compressionZpaq,1,1.0,1.0,1.0,0,209.7854583263397
2,4065668.4583333335,24,level = 2 AND unlimitedWindowSize = 1,NOT disableCompressibilityTesting AND level = 2.00,1,0.5,0.5,0.5,0,201.5560007095337
3,961932.7777777778,36,compression = 1 AND compressionLzo = 1 AND unlimitedWindowSize = 1,compressionLzo AND unlimitedWindowSize,0,1.0,1.0,1.0,0,202.56471514701843
4,5059391.866666666,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression AND disableCompressibilityTesting AND encryption AND unlimitedWindowSize,1,1.0,1.0,1.0,0,209.18402457237244
1,4951750.902777778,72,compressionGzip = 1,compressionGzip,0,1.0,1.0,1.0,1,209.5442111492157
2,2292662.7916666665,24,disableCompressibilityTesting = 1 AND level = 8,disableCompressibilityTesting AND level = 8.00,3,1.0,1.0,1.0,1,200.64793157577515
3,5198348.972222222,36,compression = 1 AND compressionGzip = 1 AND unlimitedWindowSize = 1,compression AND compressionGzip AND unlimitedWindowSize,1,1.0,1.0,1.0,1,194.61226511001587
4,2093238.955555556,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression AND disableCompressibilityTesting AND encryption AND unlimitedWindowSize,1,1.0,1.0,1.0,1,215.1003217697144
1,5411047.722222222,72,compressionGzip = 1,compression AND NOT compressionBzip2 AND NOT compressionLrzip AND NOT compressionLzo AND NOT compressionZpaq,0,1.0,1.0,1.0,10,217.65952038764956
2,520410.1111111111,36,compressionGzip = 1 AND disableCompressibilityTesting = 1,compressionGzip AND disableCompressibilityTesting,0,1.0,1.0,1.0,10,220.90092277526853
3,3365424.333333333,36,compression = 1 AND compressionLrzip = 1 AND unlimitedWindowSize = 1,compressionLrzip AND unlimitedWindowSize,0,1.0,1.0,1.0,10,207.78073954582212
4,1009964.1777777778,45,compression = 1 AND disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compression AND disableCompressibilityTesting AND encryption AND unlimitedWindowSize,0,1.0,1.0,1.0,10,215.4897003173828
