n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,5.7392001920146845,12000,pollyoptmaxconstantterm_1 = 1,pollyoptmaxconstantterm_1,0,1.0,1.0,1.0,0,4638.835361719132
2,28.23656962178144,15000,polly = 1 AND polly_no_tiling = 1,polly AND polly_no_tiling,0,1.0,1.0,1.0,0,4322.709047555924
3,24.53163255481762,5000,memory_based = 1 AND parallel = 1 AND polly_no_tiling = 1,memory_based AND NOT parallel AND polly_no_tiling AND polly_parallel,1,1.0,1.0,1.0,0,4335.455132007599
4,19.63242404864822,5000,min = 1 AND parallel = 1 AND polly = 1 AND polly_parallel = 1,min AND NOT parallel AND polly AND polly_parallel,0,1.0,1.0,1.0,0,4278.333353757858
1,28.032654064978686,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100,0,1.0,1.0,1.0,1,4993.333060741425
2,10.116559918995408,15000,polly = 1 AND value_based = 1,polly AND value_based,1,1.0,1.0,1.0,1,5004.214718103409
3,5.672000679650387,5000,min = 1 AND none = 1 AND parallel_force = 1,min AND none AND NOT parallel_force,0,1.0,1.0,1.0,1,5000.526001214981
4,7.375063903357454,3750,max = 1 AND none = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,max AND none AND polly_opt_simplify_deps AND value_based,1,1.0,1.0,1.0,1,5018.033344984055
1,16.46249835819515,12000,pollyoptmaxcoefficient_100 = 1,pollyoptmaxcoefficient_100,0,1.0,1.0,1.0,10,4617.787982225418
2,15.748564760899606,4000,parallel = 1 AND pollydefaulttilesize = 16,NOT parallel AND NOT parallel_force AND polly_parallel AND pollydefaulttilesize <= 16.00,1,0.6666666666666666,0.5,1.0,10,4555.597821712494
3,16.951822167728935,3000,max = 1 AND none = 1 AND pollydefaulttilesize = 256,max AND none AND pollydefaulttilesize = 256.00,0,1.0,1.0,1.0,10,4569.326359033585
4,22.592953806199656,3750,min = 1 AND none = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,min AND none AND polly_no_tiling AND polly_opt_simplify_deps,1,1.0,1.0,1.0,10,4540.908205747604
1,13.081407454262228,12000,pollydefaulttilesize = 16,pollydefaulttilesize <= 16.00,1,0.6666666666666666,0.5,1.0,11,4961.401360750198
2,24.20993040465024,6000,polly_no_tiling = 1 AND pollyoptmaxcoefficient_10 = 1,polly_no_tiling AND NOT pollyoptmaxcoefficient_1 AND pollyoptmaxcoefficient_10 AND NOT pollyoptmaxcoefficient_100 AND NOT pollyoptmaxcoefficient_1000 AND NOT pollyoptmaxcoefficient_10000,1,1.0,1.0,1.0,11,5187.880967378616
3,27.68386847852633,3000,none = 1 AND pollyoptmaxconstantterm_10 = 1 AND value_based = 1,none AND pollyoptmaxconstantterm_10 AND value_based,0,1.0,1.0,1.0,11,5161.904957771301
4,11.327011190861317,5000,max = 1 AND polly = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,max AND polly AND polly_opt_simplify_deps AND polly_parallel,0,1.0,1.0,1.0,11,5080.284350395203
1,23.67261607386581,12000,pollyoptmaxconstantterm_100 = 1,NOT pollyoptmaxconstantterm_1 AND NOT pollyoptmaxconstantterm_10 AND pollyoptmaxconstantterm_100 AND NOT pollyoptmaxconstantterm_1000 AND NOT pollyoptmaxconstantterm_10000,1,1.0,1.0,1.0,12,4920.07163310051
2,5.805435363481782,6000,none = 1 AND pollyoptmaxconstantterm_1 = 1,none AND NOT polly AND pollyoptmaxconstantterm_1 AND NOT pollyoptmaxconstantterm_10 AND NOT pollyoptmaxconstantterm_100 AND NOT pollyoptmaxconstantterm_1000 AND NOT pollyoptmaxconstantterm_10000,1,1.0,1.0,1.0,12,4981.000804901123
3,10.334021100857695,3000,none = 1 AND polly_no_tiling = 1 AND pollyoptmaxconstantterm_1 = 1,none AND polly_no_tiling AND pollyoptmaxconstantterm_1,1,1.0,1.0,1.0,12,5002.904090881348
4,27.921572729261936,5000,parallel_force = 1 AND polly = 1 AND polly_parallel = 1 AND value_based = 1,NOT parallel_force AND polly AND polly_parallel AND value_based,0,1.0,1.0,1.0,12,4961.644371032715
1,15.481301012544025,12000,pollyoptmaxconstantterm_100 = 1,pollyoptmaxconstantterm_100,0,1.0,1.0,1.0,13,4859.005882501602
2,6.576658523132508,6000,none = 1 AND pollyoptmaxcoefficient_10000 = 1,none AND NOT polly AND NOT pollyoptmaxcoefficient_1 AND NOT pollyoptmaxcoefficient_10 AND NOT pollyoptmaxcoefficient_100 AND NOT pollyoptmaxcoefficient_1000 AND pollyoptmaxcoefficient_10000,1,1.0,1.0,1.0,13,5037.975978851318
