n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,599.8498083947104,288,no_cabac = 1 AND no_mbtree = 1,no_cabac AND no_mbtree,1,1.0,1.0,1.0,0,327.3543691635132
3,703.4068310452537,144,no_cabac = 1 AND no_deblock = 1 AND no_weightb = 1,no_cabac AND no_weightb,1,0.6666666666666666,0.5,1.0,0,311.1429102420807
4,476.0814712608604,72,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1 AND no_mbtree = 1,no_8x8dct AND no_cabac AND no_fast_pskip AND no_mbtree,0,1.0,1.0,1.0,0,296.25292921066284
2,625.3763305131895,192,no_mixed_refs = 1 AND rc_lookahead = 20,no_mixed_refs AND rc_lookahead = 20.00,1,1.0,1.0,1.0,1,343.65465235710144
3,341.46892290006406,144,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_cabac AND no_deblock AND no_mbtree,0,1.0,1.0,1.0,1,348.3215069770813
4,490.9676505256217,72,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_8x8dct AND no_cabac AND no_deblock AND no_mbtree,0,1.0,1.0,1.0,1,331.5366487503052
2,691.9514572191806,128,rc_lookahead = 20 AND ref = 9,rc_lookahead = 20.00 AND ref = 9.00,1,1.0,1.0,1.0,10,276.98000717163086
3,588.7180959715383,96,no_mbtree = 1 AND no_mixed_refs = 1 AND ref = 1,no_mbtree AND no_mixed_refs AND ref = 1.00,3,1.0,1.0,1.0,10,270.47561287879944
4,573.2735660265138,72,no_8x8dct = 1 AND no_deblock = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct AND no_mbtree AND no_mixed_refs,0,0.6666666666666666,0.5,1.0,10,271.4339451789856
2,352.2325357988523,288,no_8x8dct = 1 AND no_fast_pskip = 1,no_8x8dct AND no_fast_pskip,1,1.0,1.0,1.0,11,307.3187110424042
3,405.06765384167664,96,no_mixed_refs = 1 AND no_weightb = 1 AND ref = 5,no_mixed_refs AND no_weightb AND ref = 5.00,0,1.0,1.0,1.0,11,268.64703130722046
4,770.1745975740434,72,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1 AND no_weightb = 1,no_8x8dct AND no_cabac AND no_fast_pskip AND no_weightb,1,1.0,1.0,1.0,11,262.8062961101532
