n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,11.70399145117719,480,dpi = 400.0,NOT png AND NOT onload AND resolution != 8294400.00 AND NOT quality AND indexed = 8.00,2,0.0833333333333333,0.25,0.05,0,243.9004321098328
2,9.380655722195566,240,anyScriptOrigin = 1 AND indexed = 4.0,anyScriptOrigin AND indexed = 4.00,0,1.0,1.0,1.0,0,244.26641988754272
3,12.412627310528189,96,tiff = 1 AND dpi = 50.0 AND quality = 0.1,tiff AND dpi = 50.00,1,1.0,1.0,1.0,0,244.78408885002136
4,12.750584070579706,96,anyScriptOrigin = 1 AND onload = 1 AND quality = 0.1 AND indexed = 8.0,jpg AND dpi >= 100.00 AND resolution != 8294400.00,0,0.0501043841336116,0.031331592689295,0.125,0,244.51078128814697
1,12.34646324690353,480,indexed = 1.0,indexed = 1.00,3,1.0,1.0,1.0,1,234.05472779273987
2,19.258218869028724,160,dpi = 50.0 AND resolution = 8294400.0,resolution != 8294400.00,0,0.0,0.0,0.0,1,233.4296770095825
3,12.34340376272361,128,jpg = 1 AND resolution = 8294400.0 AND quality = 0.9,resolution = 8294400.00 AND NOT quality,1,1.0,1.0,1.0,1,233.9362466335297
4,9.419453621966207,96,anyScriptOrigin = 1 AND validate = 1 AND dpi = 400.0 AND quality = 0.1,anyScriptOrigin AND validate AND NOT quality,1,0.4,0.25,1.0,1,237.3823230266571
1,13.241677313199212,480,dpi = 50.0,dpi = 50.00,2,1.0,1.0,1.0,10,223.01891255378723
2,9.42989986518728,160,dpi = 50.0 AND resolution = 307200.0,NOT validate AND NOT jpg AND dpi = 50.00 AND resolution = 307200.00,2,0.4615384615384615,1.0,0.3,10,224.57042384147644
3,12.082525180476328,128,resolution = 2073600.0 AND quality = 0.1 AND indexed = 1.0,anyScriptOrigin AND resolution = 2073600.00 AND indexed = 1.00,1,0.6153846153846154,0.8,0.5,10,224.6681342124939
4,12.63515002765137,128,anyScriptOrigin = 1 AND onload = 1 AND resolution = 2073600.0 AND quality = 0.1,anyScriptOrigin AND onload AND resolution = 2073600.00 AND NOT quality,1,1.0,1.0,1.0,10,227.81820797920227
1,14.364854673549242,480,dpi = 400.0,dpi = 400.00,1,1.0,1.0,1.0,11,236.11754965782168
2,14.543221140705173,240,onload = 1 AND indexed = 4.0,onload AND indexed = 4.00,1,1.0,1.0,1.0,11,236.8423516750336
3,18.8796158690818,119,anyScriptOrigin = 1 AND onload = 1 AND indexed = 2.0,tiff AND NOT onload AND dpi >= 100.00,0,0.0,0.0,0.0,11,239.03371834754944
4,13.365640470473162,192,anyScriptOrigin = 1 AND validate = 1 AND onload = 1 AND quality = 0.1,anyScriptOrigin AND validate AND onload AND NOT quality,1,1.0,1.0,1.0,11,244.9301791191101
1,11.963466973905104,480,indexed = 8.0,indexed = 8.00,1,1.0,1.0,1.0,12,238.9646635055542
