n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,38.90954221401543,830,win = 1,NOT web AND win,0,1.0,1.0,1.0,0,524.293089389801
2,28.639775700005067,1044,androidIncludeLdpiTvdpi = 1 AND threads = 90,NOT web AND NOT win AND androidIncludeLdpiTvdpi AND threads = 90.00,0,1.0,1.0,1.0,0,532.3795597553253
3,25.382404637128,528,android = 1 AND floor = 1 AND threads = 10,android AND floor AND threads = 10.00,0,1.0,1.0,1.0,0,529.4138629436493
4,20.25078119844409,471,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 90,scaleIsHeightDp AND antiAliasing AND skipUpscaling AND threads = 90.00,0,1.0,1.0,1.0,0,530.0063529014587
1,31.62018187964905,830,win = 1,win,0,1.0,1.0,1.0,1,536.5709102153778
2,55.41701158705251,757,androidMipmapInsteadOfDrawable = 1 AND threads = 10,androidMipmapInsteadOfDrawable AND NOT web AND threads = 10.00,0,1.0,1.0,1.0,1,551.8586843013763
3,45.31787923119015,509,scaleIsHeightDp = 1 AND floor = 1 AND threads = 10,scaleIsHeightDp AND floor AND threads = 10.00,0,1.0,1.0,1.0,1,546.9753568172455
4,23.525330779773725,409,android = 1 AND androidMipmapInsteadOfDrawable = 1 AND antiAliasing = 1 AND threads = 10,NOT iosCreateImagesetFolders AND androidMipmapInsteadOfDrawable AND antiAliasing AND threads = 10.00,0,1.0,1.0,1.0,1,548.6605212688446
1,45.70279557098409,752,web = 1,web,0,1.0,1.0,1.0,10,524.7955348491669
2,55.51697761760106,1802,android = 1 AND androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable,0,1.0,1.0,1.0,10,527.3129599094391
3,40.8647215908794,699,android = 1 AND ceil = 1 AND threads = 90,android AND ceil AND threads = 90.00,0,1.0,1.0,1.0,10,524.8704016208649
4,33.82799384778639,373,scaleIsHeightDp = 1 AND antiAliasing = 1 AND skipUpscaling = 1 AND threads = 10,scaleIsHeightDp AND antiAliasing AND skipUpscaling AND threads = 10.00,0,1.0,1.0,1.0,10,525.1723370552063
1,52.79812480434995,1802,androidMipmapInsteadOfDrawable = 1,androidMipmapInsteadOfDrawable AND NOT win,0,1.0,1.0,1.0,11,535.1494765281677
2,19.224640204414037,933,scaleIsHeightDp = 1 AND androidIncludeLdpiTvdpi = 1,NOT iosCreateImagesetFolders AND scaleIsHeightDp AND NOT web AND androidIncludeLdpiTvdpi,0,1.0,1.0,1.0,11,540.7997479438782
3,30.546035909394185,899,android = 1 AND antiAliasing = 1 AND skipUpscaling = 1,android AND NOT ios AND NOT win AND antiAliasing AND skipUpscaling,0,1.0,1.0,1.0,11,536.5667674541473
4,24.80985879634644,346,android = 1 AND scaleIsHeightDp = 1 AND jpeg = 1 AND threads = 90,android AND scaleIsHeightDp AND NOT jpeg AND NOT png AND threads = 90.00,0,1.0,1.0,1.0,11,534.9124240875244
1,31.65131490735092,1777,androidIncludeLdpiTvdpi = 1,NOT iosCreateImagesetFolders AND NOT web AND NOT win AND androidIncludeLdpiTvdpi,0,1.0,1.0,1.0,12,535.5478663444519
2,38.61324014673342,649,ios = 1 AND threads = 10,ios AND NOT web AND NOT win AND threads = 10.00,0,1.0,1.0,1.0,12,545.2905707359314
