n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,20.123088825368267,572,VBRRange = 1,VBRRange = 1.00,1,1.0,1.0,1.0,0,402.6742935180664
2,19.90941814320604,1146,Freeformat = 1 AND SwapBytes = 1,Freeformat AND SwapBytes AND VBRRange = 0.00,1,1.0,1.0,1.0,0,402.5325951576233
3,8.854335620949666,415,NoRes = 1 AND NoReplayGain = 1 AND CBR = 8,NoRes AND NoReplayGain AND CBR = 8.00,0,1.0,1.0,1.0,0,401.9404695034027
4,22.665421976916583,210,NoRes = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND CBR = 320,NoRes AND Downmix AND Freeformat AND NOT DualChannels AND CRC AND ReplayGainAccurate AND CBR != 8.00,3,0.6746031746031745,0.5782312925170068,0.8095238095238095,0,398.5757474899292
5,28.242920039964684,324,Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes AND NOT Mono AND NOT DualChannels AND JointStereo AND SwapBytes,3,0.7912932138284251,0.6761487964989059,0.9537037037037036,0,398.0026111602783
6,20.00068761023575,309,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes AND NOT MidSideStereo AND Freeformat AND NOT Mono AND NOT DualChannels AND NOT Stereo AND CRC AND JointStereo AND SwapBytes,1,1.0,1.0,1.0,0,395.5033688545227
7,14.73455925792041,377,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,NoRes AND Downmix AND Freeformat AND CRC AND SwapBytes AND ReplayGainAccurate,1,1.0,1.0,1.0,0,394.8627076148987
1,17.77423517861404,1061,Resampling = 8,Freeformat AND NOT DualChannels AND Resampling = 8.00,1,0.5554799183117768,1.0,0.3845428840716305,1,411.7113213539124
2,16.252297438665767,259,ReplayGainFast = 1 AND Stereo = 1,NOT ReplayGainFast AND Stereo,1,1.0,1.0,1.0,1,411.3522369861603
3,27.09654204990978,304,NoRes = 1 AND MidSideStereo = 1 AND Freeformat = 1,MidSideStereo AND Freeformat AND VBRRange = 0.00,1,0.9514866979655712,0.9074626865671642,1.0,1,415.024701833725
4,22.664427945771195,589,NoRes = 1 AND Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1,NoRes AND NOT NoReplayGain AND Downmix AND NOT ReplayGainFast AND CRC AND ReplayGainAccurate,1,1.0,1.0,1.0,1,400.72234869003296
5,22.364168729769105,321,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND Resampling = 22 AND VBRRange = 0,NOT Freeformat,0,0.0,0.0,0.0,1,400.36563372612
6,4.913450478184746,305,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND VBRRange = 0,NoRes AND Downmix AND Freeformat AND CRC AND JointStereo AND VBRRange = 0.00,0,1.0,1.0,1.0,1,398.3507192134857
7,4.96715817476241,337,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND Resampling = 8 AND VBRRange = 0,NoRes AND Downmix AND Freeformat AND CRC AND SwapBytes AND Resampling = 8.00 AND VBRRange = 0.00,0,1.0,1.0,1.0,1,399.3902423381805
1,25.371613112462164,1162,NoReplayGain = 1,NoReplayGain,1,1.0,1.0,1.0,10,400.2016105651856
2,10.442206851707748,991,ReplayGainFast = 1 AND CBR = 8,NOT NoReplayGain AND NOT ReplayGainFast AND NOT ReplayGainAccurate AND CBR = 8.00,1,1.0,1.0,1.0,10,401.3275582790375
3,18.337607721975974,395,ReplayGainAccurate = 1 AND Resampling = 22 AND CBR = 8,ReplayGainAccurate AND Resampling = 22.00 AND CBR = 8.00,1,1.0,1.0,1.0,10,397.599627494812
4,3.918749895988436,575,Downmix = 1 AND CRC = 1 AND ReplayGainAccurate = 1 AND VBRRange = 0,Downmix AND CRC AND ReplayGainAccurate AND VBRRange = 0.00,0,1.0,1.0,1.0,10,393.55811047554016
5,2.673229749235128,268,NoRes = 1 AND Downmix = 1 AND SwapBytes = 1 AND Resampling = 22 AND CBR = 8,NoRes AND Downmix AND NOT MidSideStereo AND SwapBytes AND Resampling = 22.00,1,0.5957446808510638,0.5675675675675675,0.6268656716417911,10,395.7158303260803
6,18.274453840789256,274,NoRes = 1 AND Downmix = 1 AND ReplayGainFast = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1,NoRes AND Downmix AND NOT ReplayGainFast AND Freeformat AND CRC AND SwapBytes AND NOT ReplayGainAccurate AND VBRRange = 0.00,1,1.0,1.0,1.0,10,394.64068603515625
7,10.509818938775844,304,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND CBR = 160 AND VBRRange = 0,Downmix AND Freeformat AND CBR = 160.00,0,0.856338028169014,0.7487684729064039,1.0,10,397.45429134368896
1,11.599980658658852,999,JointStereo = 1,NOT Mono AND NOT DualChannels AND JointStereo,1,1.0,1.0,1.0,11,406.70950961112976
2,22.51729181649452,442,Downmix = 1 AND Resampling = 44,Downmix AND Resampling = 44.00,1,1.0,1.0,1.0,11,398.3285269737244
3,10.542938319718749,220,Downmix = 1 AND JointStereo = 1 AND CBR = 8,Downmix AND JointStereo AND CBR = 8.00,0,1.0,1.0,1.0,11,395.4018170833588
4,5.299833954906766,348,NoRes = 1 AND Freeformat = 1 AND CRC = 1 AND CBR = 160,Freeformat AND CRC AND CBR = 160.00,0,0.9292389853137516,0.8678304239401496,1.0,11,393.8013150691986
5,13.112215170862097,312,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CBR = 8 AND VBRRange = 0,NoRes AND Downmix AND Freeformat AND CBR = 8.00 AND VBRRange = 0.00,1,1.0,1.0,1.0,11,391.92174315452576
6,8.443468517445817,304,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND CBR = 160,Downmix AND Freeformat AND CRC AND CBR = 160.00,0,0.918429003021148,0.8491620111731844,1.0,11,393.86982440948486
7,14.950483241764982,357,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND CBR = 320 AND VBRRange = 0,NoRes AND Downmix AND Freeformat AND CRC AND SwapBytes AND CBR = 320.00,1,1.0,1.0,1.0,11,390.1194303035736
1,15.692279008797469,722,DualChannels = 1,DualChannels,1,1.0,1.0,1.0,12,412.788232088089
2,27.579864080550323,425,Downmix = 1 AND Stereo = 1,Downmix AND NOT Mono AND NOT DualChannels AND Stereo,1,1.0,1.0,1.0,12,412.0246469974518
3,15.073999445425194,242,JointStereo = 1 AND SwapBytes = 1 AND CBR = 8,NOT Mono AND NOT DualChannels AND JointStereo AND SwapBytes AND CBR = 8.00,1,1.0,1.0,1.0,12,416.2194049358368
4,12.907466748718027,233,Downmix = 1 AND ReplayGainAccurate = 1 AND CBR = 320 AND VBRRange = 0,CBR = 160.00,0,0.0,0.0,0.0,12,414.4769411087036
5,16.564430424428714,274,NoRes = 1 AND NoReplayGain = 1 AND Downmix = 1 AND SwapBytes = 1 AND CBR = 8,NoRes AND NoReplayGain AND Downmix AND NOT ReplayGainFast AND SwapBytes AND NOT ReplayGainAccurate AND CBR = 8.00,1,1.0,1.0,1.0,12,414.0183703899384
6,28.834461958837878,337,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND Resampling = 8,NOT Freeformat,0,0.0,0.0,0.0,12,416.4805772304535
7,9.99721835856352,274,NoRes = 1 AND Downmix = 1 AND ReplayGainFast = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes AND Downmix AND NOT ReplayGainFast AND Freeformat AND CRC AND SwapBytes AND VBRRange = 0.00,0,1.0,1.0,1.0,12,413.4192221164704
1,22.42673688973588,1061,Resampling = 8,Resampling = 8.00 AND VBRRange = 1.00,3,0.9723970944309928,1.0,0.946277097078228,13,410.3399140834808
2,11.306186905454153,248,ReplayGainFast = 1 AND DualChannels = 1,NOT ReplayGainFast AND DualChannels,0,1.0,1.0,1.0,13,414.1646897792816
3,22.828760872175085,388,CRC = 1 AND Resampling = 8 AND CBR = 8,Downmix AND CRC AND SwapBytes AND Resampling = 8.00 AND CBR = 8.00,1,0.8704512372634644,1.0,0.770618556701031,13,408.12816619873047
4,12.379326674440044,482,NoRes = 1 AND CRC = 1 AND SwapBytes = 1 AND Resampling = 22,NoRes AND CRC AND SwapBytes AND Resampling = 22.00,1,1.0,1.0,1.0,13,403.9204788208008
5,29.719597584441,359,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND SwapBytes = 1 AND Resampling = 8,NOT Freeformat,0,0.0,0.0,0.0,13,406.91537952423096
6,28.90312669562979,936,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes AND Downmix AND Freeformat AND CRC AND SwapBytes AND VBRRange = 0.00,1,1.0,1.0,1.0,13,401.75924015045166
7,4.491654104126519,296,NoRes = 1 AND Downmix = 1 AND Freeformat = 1 AND CRC = 1 AND JointStereo = 1 AND SwapBytes = 1 AND VBRRange = 0,NoRes AND Downmix AND Freeformat AND CRC AND JointStereo AND SwapBytes,1,1.0,1.0,1.0,13,405.4954590797424
1,22.015458568359985,1162,NoReplayGain = 1,NoReplayGain,1,1.0,1.0,1.0,14,407.3463439941406
