n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,23.928835043048284,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting,1,1.0,1.0,1.0,0,241.5361578464508
2,6.42206265515615,47,encryption = 1 AND nice = 1,encryption AND nice,0,1.0,1.0,1.0,0,242.7113826274872
3,15.44485714372082,24,encryption = 1 AND integrityCheck = 1 AND multithreading = 1,encryption AND integrityCheck AND multithreading,2,1.0,1.0,1.0,0,242.9917402267456
4,16.443828885643278,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND nice AND multithreading AND unlimitedWindowSize,1,1.0,1.0,1.0,0,242.73426628112796
1,17.14388132695109,32,bzip2 = 1,NOT bzip2,1,1.0,1.0,1.0,1,176.49678564071655
2,7.200999670784867,16,gzip = 1 AND nice = 1,NOT bzip2 AND NOT lzo AND NOT noBackend AND NOT zpaq AND nice AND NOT disableLzoCompressibilityTesting,2,1.0,1.0,1.0,1,182.36550903320312
3,13.50256547747886,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND multithreading AND unlimitedWindowSize,0,1.0,1.0,1.0,1,181.12956357002255
4,22.84361642746198,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,NOT noBackend AND nice AND unlimitedWindowSize,3,0.3846153846153846,0.25,0.8333333333333334,1,178.0779025554657
1,8.371778929454319,32,bzip2 = 1,NOT bzip2,2,1.0,1.0,1.0,10,166.31843948364258
2,24.04903634680356,31,encryption = 1 AND lzo = 1,encryption AND NOT bzip2 AND NOT gzip AND lzo AND NOT noBackend AND NOT zpaq,1,1.0,1.0,1.0,10,165.49112248420715
3,24.771539629987902,16,integrityCheck = 1 AND lzo = 1 AND multithreading = 1,integrityCheck AND lzo AND NOT noBackend AND NOT zpaq AND multithreading,2,1.0,1.0,1.0,10,166.16275215148926
4,18.389097805983653,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND nice AND multithreading AND unlimitedWindowSize,2,1.0,1.0,1.0,10,177.5078363418579
1,22.04579671185249,32,zpaq = 1,NOT zpaq,0,1.0,1.0,1.0,11,179.20133447647095
2,4.732152636912214,16,noBackend = 1 AND multithreading = 1,NOT noBackend AND multithreading,0,1.0,1.0,1.0,11,182.4346380233765
3,17.576608760342772,16,integrityCheck = 1 AND lzo = 1 AND multithreading = 1,integrityCheck AND NOT bzip2 AND lzo AND NOT zpaq AND multithreading,2,1.0,1.0,1.0,11,177.97563195228577
4,26.223247136915592,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND NOT gzip AND NOT lzo AND unlimitedWindowSize AND NOT disableLzoCompressibilityTesting,1,0.3333333333333333,0.25,0.5,11,180.15468764305115
1,20.47247081356132,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting,0,1.0,1.0,1.0,12,168.83758664131165
2,10.197421853707556,16,multithreading = 1 AND disableLzoCompressibilityTesting = 1,multithreading AND disableLzoCompressibilityTesting,0,1.0,1.0,1.0,12,178.30788230895996
3,17.55515984361282,23,encryption = 1 AND integrityCheck = 1 AND nice = 1,encryption AND integrityCheck AND nice,2,1.0,1.0,1.0,12,175.7378809452057
4,11.65993827548465,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND NOT noBackend AND nice AND multithreading AND unlimitedWindowSize,1,0.9090909090909092,1.0,0.8333333333333334,12,169.56487917900083
1,10.866285758685652,32,gzip = 1,NOT gzip,0,1.0,1.0,1.0,13,255.73967123031616
2,26.708682606745867,16,encryption = 1 AND noBackend = 1,encryption AND NOT noBackend,1,1.0,1.0,1.0,13,234.41729474067688
3,20.33779458686693,24,integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND multithreading AND unlimitedWindowSize,2,1.0,1.0,1.0,13,241.72382140159607
4,5.454127074938143,12,encryption = 1 AND integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND NOT bzip2 AND NOT zpaq AND nice AND multithreading AND unlimitedWindowSize,2,0.4,0.5,0.3333333333333333,13,239.9639265537262
1,11.197758527891834,32,gzip = 1,NOT gzip,0,1.0,1.0,1.0,14,173.4853024482727
2,6.097609357390571,47,encryption = 1 AND nice = 1,encryption AND nice,0,1.0,1.0,1.0,14,177.69778203964233
3,10.033465436986257,16,lzo = 1 AND nice = 1 AND unlimitedWindowSize = 1,NOT gzip AND lzo AND NOT noBackend AND nice AND unlimitedWindowSize,1,1.0,1.0,1.0,14,166.55059671401978
4,21.24159868538452,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND nice AND multithreading AND unlimitedWindowSize,1,1.0,1.0,1.0,14,177.30653285980225
1,6.742353332180005,32,bzip2 = 1,NOT bzip2,1,1.0,1.0,1.0,15,250.83093738555908
2,4.082801895947778,31,lzo = 1 AND nice = 1,NOT bzip2 AND NOT gzip AND lzo AND NOT noBackend AND NOT zpaq AND nice,0,1.0,1.0,1.0,15,234.44538283348083
3,20.24214326546714,15,integrityCheck = 1 AND lzo = 1 AND disableLzoCompressibilityTesting = 1,integrityCheck AND disableLzoCompressibilityTesting,1,1.0,1.0,1.0,15,246.73513174057007
4,18.557191164624445,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,encryption AND NOT zpaq AND nice AND unlimitedWindowSize,3,0.625,0.5,0.8333333333333334,15,246.1937565803528
1,22.223889494885626,32,zpaq = 1,NOT zpaq,1,1.0,1.0,1.0,16,171.73598337173462
2,7.126645381420589,31,encryption = 1 AND lzo = 1,encryption AND NOT bzip2 AND lzo,2,1.0,1.0,1.0,16,178.5421540737152
3,23.924368623062303,24,encryption = 1 AND integrityCheck = 1 AND unlimitedWindowSize = 1,encryption AND integrityCheck AND NOT gzip AND NOT noBackend,2,0.5818181818181819,0.5161290322580645,0.6666666666666666,16,167.11272144317627
4,23.69345419757118,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND multithreading = 1,encryption AND integrityCheck AND nice AND multithreading,2,1.0,1.0,1.0,16,169.6956548690796
1,20.921957225030297,32,bzip2 = 1,NOT bzip2,0,1.0,1.0,1.0,17,248.49901342391968
2,26.4120281906915,15,encryption = 1 AND disableLzoCompressibilityTesting = 1,encryption AND NOT noBackend AND unlimitedWindowSize,1,0.2909090909090909,0.2,0.5333333333333333,17,239.5149381160736
3,4.774481872926258,16,lzo = 1 AND nice = 1 AND unlimitedWindowSize = 1,NOT bzip2 AND lzo AND NOT noBackend AND NOT zpaq AND nice AND unlimitedWindowSize,0,1.0,1.0,1.0,17,227.18769693374637
4,21.10762849383384,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND multithreading AND unlimitedWindowSize,0,0.6666666666666666,0.5,1.0,17,244.3155047893524
1,23.993025637611783,32,bzip2 = 1,NOT bzip2,1,1.0,1.0,1.0,18,181.17119526863095
2,15.779797311040104,31,integrityCheck = 1 AND lzo = 1,integrityCheck AND NOT gzip AND lzo AND NOT noBackend AND NOT zpaq,1,1.0,1.0,1.0,18,184.56469178199768
3,21.07372073135537,24,encryption = 1 AND nice = 1 AND multithreading = 1,encryption AND nice AND multithreading,0,1.0,1.0,1.0,18,190.34753370285037
4,19.441782253331294,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND multithreading = 1,encryption AND integrityCheck AND NOT noBackend AND multithreading,2,0.625,0.5,0.8333333333333334,18,182.41388297080996
1,9.243829350242793,32,zpaq = 1,NOT zpaq,1,1.0,1.0,1.0,19,173.47828364372253
2,11.99139317979476,47,encryption = 1 AND nice = 1,encryption AND nice,1,1.0,1.0,1.0,19,184.32054615020752
3,10.69412280871486,15,lzo = 1 AND nice = 1 AND disableLzoCompressibilityTesting = 1,nice AND disableLzoCompressibilityTesting,0,1.0,1.0,1.0,19,172.04060101509094
4,11.543818852474509,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND NOT gzip AND NOT zpaq AND nice AND multithreading AND unlimitedWindowSize,0,0.8,1.0,0.6666666666666666,19,185.69198727607727
1,26.05649636640224,32,noBackend = 1,NOT noBackend,0,1.0,1.0,1.0,2,247.5170314311981
2,25.888800220738045,16,gzip = 1 AND unlimitedWindowSize = 1,NOT gzip AND unlimitedWindowSize,0,1.0,1.0,1.0,2,232.74704575538635
3,16.659612442494133,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND NOT noBackend AND multithreading AND unlimitedWindowSize,0,0.9090909090909092,1.0,0.8333333333333334,2,228.76547932624817
4,20.4689098852002,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND multithreading = 1,encryption AND integrityCheck AND nice AND multithreading,1,1.0,1.0,1.0,2,235.0040185451508
1,9.856666960676366,32,noBackend = 1,NOT noBackend,2,1.0,1.0,1.0,20,181.5602924823761
2,21.86455620978206,16,encryption = 1 AND noBackend = 1,encryption AND NOT noBackend,0,1.0,1.0,1.0,20,183.38348150253296
3,9.16766793261504,16,integrityCheck = 1 AND lzo = 1 AND unlimitedWindowSize = 1,integrityCheck AND NOT bzip2 AND NOT gzip AND lzo AND NOT zpaq AND unlimitedWindowSize,0,1.0,1.0,1.0,20,182.0034375190735
4,26.883942935416,12,encryption = 1 AND integrityCheck = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND integrityCheck AND multithreading,3,0.6666666666666666,0.5,1.0,20,186.58493185043332
1,24.364464514216458,31,disableLzoCompressibilityTesting = 1,NOT bzip2 AND lzo AND NOT zpaq,0,0.6595744680851063,0.492063492063492,1.0,21,173.93668365478516
2,25.089507385581346,48,encryption = 1 AND multithreading = 1,encryption AND multithreading,3,1.0,1.0,1.0,21,170.5654559135437
3,22.502093691949156,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND NOT gzip AND multithreading AND unlimitedWindowSize,2,0.9090909090909092,1.0,0.8333333333333334,21,181.65416860580444
4,25.019676501514947,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND multithreading = 1,encryption AND integrityCheck AND nice AND multithreading,2,1.0,1.0,1.0,21,177.1895878314972
1,20.597508245549022,32,bzip2 = 1,NOT bzip2,0,1.0,1.0,1.0,22,181.15295815467837
2,19.687941848206314,32,lzo = 1 AND multithreading = 1,NOT bzip2 AND NOT gzip AND lzo AND NOT noBackend AND multithreading,0,1.0,1.0,1.0,22,169.16346788406372
3,18.292185261159737,15,lzo = 1 AND nice = 1 AND disableLzoCompressibilityTesting = 1,nice AND disableLzoCompressibilityTesting,0,1.0,1.0,1.0,22,176.16339492797852
4,19.461726393067654,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND multithreading = 1,encryption AND integrityCheck AND nice AND NOT disableLzoCompressibilityTesting,0,0.625,0.5,0.8333333333333334,22,170.26689648628235
1,21.963384441688465,32,noBackend = 1,NOT noBackend,1,1.0,1.0,1.0,23,172.22660183906555
2,23.08058984276188,16,bzip2 = 1 AND multithreading = 1,NOT bzip2 AND multithreading,0,1.0,1.0,1.0,23,171.82048106193542
3,22.173466887782823,24,nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,NOT bzip2 AND nice AND multithreading AND unlimitedWindowSize,4,0.9090909090909092,1.0,0.8333333333333334,23,165.95792746543884
4,16.87141476968441,12,encryption = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND nice AND multithreading AND unlimitedWindowSize,0,1.0,1.0,1.0,23,178.27393889427185
1,7.136225513050666,31,disableLzoCompressibilityTesting = 1,disableLzoCompressibilityTesting,0,1.0,1.0,1.0,24,178.537752866745
2,10.56070703155142,16,noBackend = 1 AND multithreading = 1,NOT noBackend AND multithreading,0,1.0,1.0,1.0,24,177.2273988723755
3,18.974429476707886,15,encryption = 1 AND lzo = 1 AND nice = 1,encryption AND lzo AND NOT noBackend AND nice,0,1.0,1.0,1.0,24,191.0564022064209
4,18.63204274422644,12,encryption = 1 AND integrityCheck = 1 AND nice = 1 AND unlimitedWindowSize = 1,integrityCheck AND nice AND unlimitedWindowSize,1,0.6666666666666666,0.5,1.0,24,183.86569833755493
1,25.88037915631297,32,gzip = 1,NOT gzip,1,1.0,1.0,1.0,25,171.8690152168274
2,14.310717841435096,16,integrityCheck = 1 AND zpaq = 1,integrityCheck AND NOT zpaq,0,1.0,1.0,1.0,25,172.83457493782043
3,18.07445066265544,24,encryption = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,encryption AND NOT bzip2 AND multithreading AND unlimitedWindowSize,4,0.9090909090909092,1.0,0.8333333333333334,25,168.93096661567688
4,25.19904655741868,12,integrityCheck = 1 AND nice = 1 AND multithreading = 1 AND unlimitedWindowSize = 1,integrityCheck AND NOT gzip AND NOT noBackend AND multithreading AND unlimitedWindowSize,0,0.5714285714285715,0.5,0.6666666666666666,25,169.34666442871094
