n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,23.70171545797716,499,sliced-threads = 1,sliced-threads,0,1.0,1.0,1.0,0,429.6226167678833
2,85.24030648722034,265,no-dct-decimate = 1 AND sliced-threads = 1,sliced-threads,3,0.6796874999999999,0.7044534412955465,0.6566037735849056,0,415.91232419013977
3,72.02438868576719,722,intra-refresh = 1 AND no-chroma-me = 1 AND no-weightb = 1,intra-refresh AND no-chroma-me AND no-weightb,1,1.0,1.0,1.0,0,423.04029297828674
4,67.19148563554356,586,intra-refresh = 1 AND no-deblock = 1 AND no-mixed-refs = 1 AND opencl = 1,intra-refresh AND no-deblock AND no-mixed-refs AND opencl,0,1.0,1.0,1.0,0,404.53665924072266
5,72.19962722191246,468,no-weightb = 1 AND no-dct-decimate = 1 AND pic-struct = 1 AND cpu-independent = 1 AND no-asm = 1,no-weightb AND no-dct-decimate AND pic-struct AND cpu-independent AND no-asm,0,1.0,1.0,1.0,0,415.9081470966339
6,58.15396224788845,396,slow-firstpass = 1 AND no-fast-pskip = 1 AND no-chroma-me = 1 AND no-mbtree = 1 AND non-deterministic = 1 AND dts-compress = 1,slow-firstpass AND no-fast-pskip AND no-chroma-me AND no-mbtree AND non-deterministic AND dts-compress,0,1.0,1.0,1.0,0,410.599137544632
7,60.83979631583268,295,slow-firstpass = 1 AND intra-refresh = 1 AND open-gop = 1 AND no-chroma-me = 1 AND no-mixed-refs = 1 AND cpu-independent = 1 AND no-asm = 1,slow-firstpass AND intra-refresh AND open-gop AND no-chroma-me AND no-mixed-refs AND cpu-independent AND no-asm,0,1.0,1.0,1.0,0,412.79322242736816
1,55.22519745266851,499,sliced-threads = 1,sliced-threads,1,1.0,1.0,1.0,1,406.48844265937805
2,53.69881157334618,815,no-fast-pskip = 1 AND cpu-independent = 1,no-fast-pskip AND cpu-independent,1,1.0,1.0,1.0,1,407.6164436340332
3,53.45826680902704,631,no-fast-pskip = 1 AND no-mixed-refs = 1 AND cpu-independent = 1,no-fast-pskip AND no-mixed-refs AND cpu-independent,0,1.0,1.0,1.0,1,409.9237058162689
4,79.74474202273568,575,no-scenecut = 1 AND no-psy = 1 AND non-deterministic = 1 AND no-asm = 1,no-scenecut AND no-psy AND non-deterministic AND no-asm,1,1.0,1.0,1.0,1,407.18702459335327
5,12.114043420151742,524,intra-refresh = 1 AND open-gop = 1 AND tff = 1 AND no-fast-pskip = 1 AND no-8x8dct = 1,intra-refresh AND open-gop AND tff AND no-fast-pskip AND no-8x8dct,1,1.0,1.0,1.0,1,410.6366291046143
6,60.8772577375239,397,no-scenecut = 1 AND intra-refresh = 1 AND open-gop = 1 AND no-psy = 1 AND no-asm = 1 AND dts-compress = 1,no-scenecut AND intra-refresh AND open-gop AND no-psy AND no-asm AND dts-compress,0,1.0,1.0,1.0,1,423.9157876968384
7,36.272773367693134,314,slow-firstpass = 1 AND intra-refresh = 1 AND no-cabac = 1 AND no-chroma-me = 1 AND no-mbtree = 1 AND non-deterministic = 1 AND no-asm = 1,slow-firstpass AND intra-refresh AND no-cabac AND no-chroma-me AND no-mbtree AND non-deterministic AND no-asm,0,1.0,1.0,1.0,1,427.1214590072632
1,39.33980495272595,499,sliced-threads = 1,sliced-threads,0,1.0,1.0,1.0,10,414.9095470905304
2,76.92208542575258,883,intra-refresh = 1 AND aud = 1,intra-refresh AND NOT aud,1,1.0,1.0,1.0,10,431.3552703857422
