n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1,170.7161746813652,161,Lc4Lp0 = 1,NOT Lc0Lp3 AND NOT Lc1Lp2 AND NOT Lc2Lp0 AND NOT Lc2Lp1 AND Lc4Lp0,1,1.0,1.0,1.0,0,323.22487449646
2,40.89523445786644,421,Dict = 1 AND FlushTimeout = 1,Dict AND FlushTimeout,0,1.0,1.0,1.0,0,320.70045590400696
3,87.881683671427,352,Depth = 1 AND BlockSize = 1 AND FlushTimeout = 1,Depth AND BlockSize AND FlushTimeout,0,1.0,1.0,1.0,0,320.8723826408386
4,175.7810552868676,140,hc4 = 1 AND Nice = 1 AND Depth = 1 AND Dist = 1,hc4 AND NOT Lc0Lp1 AND NOT Lc0Lp2 AND NOT Lc0Lp4 AND NOT Lc4Lp0 AND MemoryLimit,0,0.5928853754940712,0.6637168141592921,0.5357142857142857,0,315.01461458206177
5,80.78372219071495,303,MemoryLimit = 1 AND Nice = 1 AND Dict = 1 AND BlockSize = 1 AND FlushTimeout = 1,MemoryLimit AND Nice AND Dict AND BlockSize AND FlushTimeout,0,1.0,1.0,1.0,0,314.0120661258697
6,73.69447047508798,141,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND BlockSize = 1,crc32 AND MemoryLimit AND Nice AND Depth AND Dict AND BlockSize,0,1.0,1.0,1.0,0,313.2521867752075
1,177.09152658428053,190,Lc3Lp0 = 1,NOT Lc1Lp0 AND NOT Lc2Lp1 AND Lc3Lp0,1,1.0,1.0,1.0,1,320.1454427242279
2,74.24960600257157,216,hc4 = 1 AND MemoryLimit = 1,hc4 AND MemoryLimit,0,1.0,1.0,1.0,1,316.92213582992554
3,55.71458791104968,141,bt4 = 1 AND Dict = 1 AND FlushTimeout = 1,NOT bt2 AND bt4 AND Dict AND FlushTimeout,0,1.0,1.0,1.0,1,315.3393051624298
4,93.08802075784372,106,Lc0Lp1 = 1 AND MemoryLimit = 1 AND Nice = 1 AND BlockSize = 1,Lc0Lp1 AND NOT Lc1Lp1 AND MemoryLimit AND Nice AND BlockSize,0,1.0,1.0,1.0,1,315.38761353492737
5,197.53427692248624,278,Nice = 1 AND Depth = 1 AND Dist = 1 AND BlockSize = 1 AND FlushTimeout = 1,Nice AND Depth AND Dist AND BlockSize AND FlushTimeout,1,1.0,1.0,1.0,1,309.8183476924896
6,71.76146093461861,127,crc32 = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND Dist = 1 AND BlockSize = 1,crc32 AND Nice AND Depth AND Dict AND Dist AND BlockSize,0,1.0,1.0,1.0,1,308.0746307373047
1,107.28572214329049,367,bt3 = 1,NOT bt3 AND NOT Lc1Lp2,0,0.9945205479452056,1.0,0.989100817438692,10,318.12084436416626
2,149.24834532443822,144,FlushTimeout = 1 AND PositionBits = 1,NOT Lc2Lp1 AND FlushTimeout AND NOT PositionBits,0,0.982332155477032,1.0,0.9652777777777778,10,316.0745689868927
3,138.34462154516268,193,crc64 = 1 AND Nice = 1 AND Depth = 1,NOT crc64 AND Nice AND Depth,0,1.0,1.0,1.0,10,316.2890818119049
4,189.68562987427296,126,bt4 = 1 AND Nice = 1 AND BlockSize = 1 AND FlushTimeout = 1,bt4 AND NOT Lc0Lp3 AND NOT Lc2Lp2 AND NOT Lc4Lp0 AND Nice AND BlockSize AND FlushTimeout,2,0.9322033898305084,1.0,0.873015873015873,10,317.19108176231384
5,157.6547416446821,202,bt4 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1,bt4 AND MemoryLimit AND Nice AND Depth AND Dict,2,1.0,1.0,1.0,10,316.712587594986
6,45.26753678672144,141,crc32 = 1 AND MemoryLimit = 1 AND Nice = 1 AND Depth = 1 AND Dict = 1 AND BlockSize = 1,crc32 AND NOT Lc2Lp1 AND MemoryLimit AND Nice AND Depth AND Dict AND BlockSize,0,0.989247311827957,1.0,0.9787234042553192,10,317.27969908714294
1,141.74129762493294,174,Lc0Lp2 = 1,Lc0Lp2 AND NOT Lc1Lp2 AND NOT Lc3Lp1,2,1.0,1.0,1.0,11,323.05568528175354
2,89.85373934600867,108,Lc0Lp2 = 1 AND BlockSize = 1,Lc0Lp2 AND NOT Lc0Lp3 AND NOT Lc1Lp0 AND NOT Lc2Lp1 AND NOT Lc3Lp1 AND BlockSize,0,1.0,1.0,1.0,11,318.04652166366577
