n_conditions,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
2,2.208052039434128,269,model_validate = 1 AND unsat_core = 1,model_validate AND unsat_core,0,1.0,1.0,1.0,0,207.75689888000488
3,4.108212910769648,142,dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,dump_models AND smtlib2_compliant AND unsat_core,0,1.0,1.0,1.0,0,212.49817991256717
4,3.517283643082916,106,model = 1 AND model_validate = 1 AND stats = 1 AND unsat_core = 1,model AND model_validate AND stats AND unsat_core,0,1.0,1.0,1.0,0,212.66629433631897
5,3.6929318549450656,66,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND trace = 1,auto_config AND dump_models AND model AND model_validate AND trace,2,1.0,1.0,1.0,0,216.5258469581604
6,4.53336422989852,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,auto_config AND dump_models AND model AND proof AND stats AND type_check,0,1.0,1.0,1.0,0,216.41204357147217
2,3.134771938771626,276,proof = 1 AND stats = 1,proof AND stats,0,1.0,1.0,1.0,1,209.84397268295288
3,2.1242796555143397,196,debug_ref_count = 1 AND stats = 1 AND type_check = 1,debug_ref_count AND stats AND type_check,0,1.0,1.0,1.0,1,199.99710392951965
4,4.067832749481585,71,auto_config = 1 AND model = 1 AND type_check = 1 AND well_sorted_check = 1,auto_config AND model AND type_check AND well_sorted_check,0,1.0,1.0,1.0,1,201.2881908416748
5,2.1290670676144647,66,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model_validate = 1 AND proof = 1,auto_config AND debug_ref_count AND dump_models AND model_validate AND proof,0,1.0,1.0,1.0,1,208.62930011749268
6,2.2511191075428605,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND proof = 1 AND stats = 1 AND type_check = 1,auto_config AND dump_models AND model AND proof AND stats AND type_check,0,1.0,1.0,1.0,1,203.6936995983124
2,2.784330077679612,295,auto_config = 1 AND model = 1,auto_config AND model,0,1.0,1.0,1.0,10,209.88323092460632
3,4.061639289796334,153,model_validate = 1 AND proof = 1 AND type_check = 1,model_validate AND proof AND type_check,1,1.0,1.0,1.0,10,208.4806742668152
4,4.045596505176476,112,debug_ref_count = 1 AND stats = 1 AND trace = 1 AND type_check = 1,debug_ref_count AND stats AND trace AND type_check,0,1.0,1.0,1.0,10,215.00763702392575
5,1.927301184264807,79,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND type_check = 1,auto_config AND dump_models AND model AND model_validate AND type_check,2,1.0,1.0,1.0,10,203.2717568874359
6,4.223511940849457,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND type_check = 1,auto_config AND dump_models AND model AND stats AND type_check,0,0.7647058823529412,0.6190476190476191,1.0,10,207.01749205589292
2,3.772239271452453,260,smtlib2_compliant = 1 AND trace = 1,smtlib2_compliant AND trace,0,1.0,1.0,1.0,11,214.73762464523315
3,2.109166483378781,160,model_validate = 1 AND proof = 1 AND trace = 1,model_validate AND proof AND trace,0,1.0,1.0,1.0,11,211.2420620918274
4,3.49159616944229,104,model_validate = 1 AND proof = 1 AND trace = 1 AND type_check = 1,model_validate AND proof AND trace AND type_check,0,1.0,1.0,1.0,11,203.99867010116577
5,3.523982222388478,68,model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND unsat_core = 1,model AND model_validate AND stats AND trace AND unsat_core,0,1.0,1.0,1.0,11,210.97183442115784
6,4.103099023518128,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,model AND model_validate AND stats AND trace AND type_check,0,0.791044776119403,0.654320987654321,1.0,11,199.7576699256897
2,4.253718973144405,297,auto_config = 1 AND type_check = 1,auto_config AND type_check,0,1.0,1.0,1.0,12,205.88724493980408
3,3.265074066346477,182,debug_ref_count = 1 AND model_validate = 1 AND unsat_core = 1,debug_ref_count AND model_validate AND unsat_core,0,1.0,1.0,1.0,12,200.44910287857056
4,2.403756535146042,83,auto_config = 1 AND dump_models = 1 AND smtlib2_compliant = 1 AND unsat_core = 1,auto_config AND dump_models AND smtlib2_compliant AND unsat_core,0,1.0,1.0,1.0,12,198.58113312721247
5,3.496157850655892,70,debug_ref_count = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND unsat_core = 1,debug_ref_count AND model_validate AND stats AND trace AND unsat_core,0,1.0,1.0,1.0,12,209.28417110443115
6,3.214532621376107,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,dump_models AND model AND model_validate AND stats AND trace AND type_check,0,1.0,1.0,1.0,12,208.74402689933777
2,2.709820132455402,286,proof = 1 AND unsat_core = 1,proof AND unsat_core,1,1.0,1.0,1.0,13,207.55522394180295
3,2.049535269927972,97,dump_models = 1 AND trace = 1 AND well_sorted_check = 1,dump_models AND trace AND well_sorted_check,1,1.0,1.0,1.0,13,207.67437648773196
4,2.872285564941968,121,auto_config = 1 AND debug_ref_count = 1 AND dump_models = 1 AND model = 1,auto_config AND debug_ref_count AND dump_models AND model,0,1.0,1.0,1.0,13,207.02971839904785
5,3.085440696586376,57,debug_ref_count = 1 AND model_validate = 1 AND proof = 1 AND stats = 1 AND unsat_core = 1,debug_ref_count AND model_validate AND proof AND stats AND unsat_core,0,1.0,1.0,1.0,13,210.76601696014404
6,4.309333791230808,52,auto_config = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND type_check = 1,auto_config AND dump_models AND model AND model_validate AND stats AND type_check,0,1.0,1.0,1.0,13,199.39857816696167
2,3.9940133861522313,269,smtlib2_compliant = 1 AND type_check = 1,smtlib2_compliant AND type_check,0,1.0,1.0,1.0,14,221.60104393959045
3,2.8606518354911525,149,dump_models = 1 AND smtlib2_compliant = 1 AND trace = 1,dump_models AND smtlib2_compliant AND trace,0,1.0,1.0,1.0,14,212.2220115661621
4,3.747182460017895,92,debug_ref_count = 1 AND model_validate = 1 AND smtlib2_compliant = 1 AND trace = 1,debug_ref_count AND model_validate AND smtlib2_compliant AND trace,0,1.0,1.0,1.0,14,209.8403971195221
5,4.035057687867814,76,debug_ref_count = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND smtlib2_compliant = 1,debug_ref_count AND dump_models AND model AND model_validate AND smtlib2_compliant,0,1.0,1.0,1.0,14,206.68496227264404
6,2.7345706663395464,57,debug_ref_count = 1 AND dump_models = 1 AND model = 1 AND model_validate = 1 AND trace = 1 AND type_check = 1,debug_ref_count AND dump_models AND model AND model_validate AND trace AND type_check,4,1.0,1.0,1.0,14,216.5645606517792
2,3.029038379699263,173,unsat_core = 1 AND well_sorted_check = 1,unsat_core AND well_sorted_check,0,1.0,1.0,1.0,15,200.7125382423401
3,2.586112665116524,172,proof = 1 AND stats = 1 AND trace = 1,proof AND stats AND trace,0,1.0,1.0,1.0,15,208.69697427749637
4,2.064568950702904,119,debug_ref_count = 1 AND model = 1 AND model_validate = 1 AND trace = 1,debug_ref_count AND model AND model_validate AND trace,0,1.0,1.0,1.0,15,199.825709104538
5,3.985624788588037,67,auto_config = 1 AND proof = 1 AND stats = 1 AND trace = 1 AND type_check = 1,auto_config AND proof AND stats AND trace AND type_check,0,1.0,1.0,1.0,15,195.0847644805908
6,2.652688804354404,53,dump_models = 1 AND model = 1 AND model_validate = 1 AND stats = 1 AND trace = 1 AND type_check = 1,dump_models AND model AND stats AND type_check,0,0.5668449197860963,0.3955223880597014,1.0,15,196.25745797157288
2,4.489633145966313,283,smtlib2_compliant = 1 AND stats = 1,smtlib2_compliant AND stats,0,1.0,1.0,1.0,16,203.357097864151
3,2.8471184072153903,174,proof = 1 AND smtlib2_compliant = 1 AND stats = 1,proof AND smtlib2_compliant AND stats,0,1.0,1.0,1.0,16,199.40836119651797
4,2.8410513997827995,97,model = 1 AND proof = 1 AND smtlib2_compliant = 1 AND trace = 1,model AND proof AND smtlib2_compliant AND trace,0,1.0,1.0,1.0,16,201.1003406047821
