n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3779.181010007858
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3775.519930362701
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0,3707.736045360565
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3572.833154201508
2,0.2222222222222222,0.125,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3343.0459797382355
3,1.0,1.0,1.0,0.4,0.25,1.0,0.6666666666666666,0.5,1.0,1,3357.797326564789
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3130.366377353668
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,10,3089.8663415908813
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,10,3068.9784524440765
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,3573.649542570114
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,11,3523.2654514312744
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,11,3549.900179624557
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3314.638580560684
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,12,3204.993646383285
3,1.0,1.0,1.0,0.4,0.25,1.0,0.4,0.25,1.0,12,3246.704362392425
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3681.361722707749
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,13,3187.87894487381
3,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,13,3023.776445388794
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4160.642044782639
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4153.773836135864
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,3689.780921936035
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4340.667154073715
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,4250.772104740143
3,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,3518.4212038517
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3480.973810195923
2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,16,3609.414230585098
3,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,16,3451.998058795929
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3513.1948895454407
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,3624.751855611801
3,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,3647.311146736145
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3320.857711791992
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,18,3148.3124735355377
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,3233.111293554306
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3735.124617338181
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,3254.4879400730133
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,2979.47567820549
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3244.653212785721
2,0.2222222222222222,0.125,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,3170.6589484214783
3,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.2222222222222222,0.125,1.0,2,3032.4330422878265
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3615.609538793564
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,20,3507.3211205005646
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,20,3140.034730911255
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,3408.624561071396
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,21,3368.946041584015
3,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,21,3235.488516330719
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3005.1933653354645
2,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,22,3051.393977880478
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,22,3101.7779870033264
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3739.315150499344
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,3278.952711582184
3,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.2222222222222222,0.125,1.0,23,2985.5623683929443
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,3657.9706189632416
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,3559.225193977356
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,3180.068019390106
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2880.468446016312
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2845.441376686096
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.125,0.5,25,2820.745683193207
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,3621.3278353214255
2,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,26,3273.155167579651
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,26,3029.1900506019592
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3820.71599149704
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,27,3911.703440666199
3,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,3639.401070356369
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,3152.996619701385
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,28,3080.6594207286835
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,28,3110.8122189044952
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3140.3721735477448
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,29,3086.6872642040253
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,29,3096.926466941833
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2744.4007341861725
2,0.2222222222222222,0.125,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2691.7405610084534
3,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,2728.7562098503117
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4418.714368581772
