n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,418.3781542778015
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,414.09032130241394
3,0.2818791946308724,0.1640625,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0,416.48283648490906
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,440.3630173206329
2,0.2818181818181818,0.164021164021164,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,427.0989315509796
3,0.2799097065462754,0.1627296587926509,1.0,1.0,1.0,1.0,0.272108843537415,0.1574803149606299,1.0,1,413.4691872596741
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,380.8977212905884
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,390.0582044124603
3,0.4,0.3333333333333333,0.5,0.392156862745098,0.3333333333333333,0.4761904761904761,0.4,0.3333333333333333,0.5,10,368.5855331420898
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,397.8131811618805
2,0.4878048780487805,0.5,0.4761904761904761,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,11,384.5407509803772
3,0.4878048780487805,0.5,0.4761904761904761,0.5,0.5,0.5,0.5,0.5,0.5,11,357.794114112854
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,426.5871605873108
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,419.67950773239136
3,0.2,0.125,0.5,0.3973509933774834,0.25,0.967741935483871,0.3333333333333333,0.25,0.5,12,415.2002983093262
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,386.2248332500458
2,0.2702702702702703,0.15625,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,393.7399070262909
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2780269058295964,0.1614583333333333,1.0,13,398.666490316391
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,380.3749563694
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,372.0419397354126
3,0.4959999999999999,0.5,0.492063492063492,1.0,1.0,1.0,0.175,0.106060606060606,0.5,14,355.5629172325134
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,349.8800415992737
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,357.2250118255615
