n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,360.8361508846283
2,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0,0,0,0,348.99139499664307
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,434.6265547275543
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,424.2322945594788
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,10,343.45899200439453
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,10,335.01547741889954
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,352.445116519928
2,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,349.475558757782
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,12,338.2743182182312
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,12,330.7514765262604
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,13,336.0702164173126
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,13,333.8635437488556
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,14,353.1527819633484
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,14,341.4172432422638
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,15,333.7905659675598
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,15,328.5037577152252
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,16,340.13803362846375
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,16,322.5686950683594
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,17,338.9271807670593
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,17,325.07390451431274
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,18,352.0176329612732
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,18,345.53652000427246
