n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15107.699156045914
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,15757.351867198944
3,0.25,0.1666666666666666,0.5,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,0,15991.272652864456
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14583.270225524902
2,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,13397.405930280684
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,12508.957512378693
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,15007.6620054245
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,11447.780871629717
3,0.25,0.1666666666666666,0.5,1.0,1.0,1.0,0.0,0.0,0.0,10,9457.647683382034
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13970.64055275917
2,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,0.0,0.0,0.0,11,10290.110718011856
3,0.25,0.25,0.25,0.25,0.25,0.25,1.0,1.0,1.0,11,7937.341592311859
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,14347.89832663536
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,9495.528576850891
3,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,12,6834.560960292816
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,13847.08025622368
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,11599.011103153229
3,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,13,10264.135133743286
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,14202.21860742569
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,9900.118799209597
3,0.3333333333333333,0.25,0.5,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,14,7461.097404956818
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,14166.964703559875
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,11675.927434444427
3,0.4,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,15,10158.52666902542
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,14854.179751873016
2,1.0,1.0,1.0,0.1818181818181818,0.1111111111111111,0.5,0.0,0.0,0.0,16,12242.056928396223
3,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,16,11476.621793031693
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,13781.859016895294
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,9757.284741640093
3,0.3333333333333333,0.25,0.5,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,17,7438.389540910721
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,14202.22362589836
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,12313.93482375145
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,18,11460.927728414536
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,14468.529079437256
2,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,15130.294786930084
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,19,15277.322271585464
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,14500.072440862656
2,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,2,13103.111121416092
3,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,2,12591.947056531906
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,15549.549527168274
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,16230.554510116575
3,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,20,15690.219904899595
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,14554.213454008102
2,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,21,12444.955919027328
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,11349.08935546875
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,13630.002603292463
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,10359.247282028198
3,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,8470.354932785034
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,14277.139325380323
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,12360.282326459885
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,11282.114547729492
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,13916.125240325928
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,12278.984691619871
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,11007.626573085783
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,13933.85180068016
2,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,25,12292.264864444733
3,0.2,0.125,0.5,0.2,0.125,0.5,1.0,1.0,1.0,25,10974.79780817032
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,14793.130979061129
2,1.0,1.0,1.0,0.4,0.25,1.0,0.0,0.0,0.0,26,12698.11013031006
3,1.0,1.0,1.0,0.4,0.25,1.0,1.0,1.0,1.0,26,11305.701882839205
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,13896.446251869202
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27,12434.53090596199
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,11537.503418684006
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,13683.387355327606
2,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,28,13539.966330766678
3,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,28,12849.95152592659
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,15445.948411941528
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,12965.183135032654
3,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,0.5,29,11421.801193237305
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14690.413449048996
2,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,13432.573553800585
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,12673.549805164335
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,14415.271737337112
2,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,12258.96822142601
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,30,11208.269887447355
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,15145.56977391243
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,31,15463.907322406769
3,0.25,0.1666666666666666,0.5,0.5,0.5,0.5,1.0,1.0,1.0,31,15396.938623189926
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,13952.729722738266
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,12342.467876195908
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32,10248.745651245115
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,14442.172061443329
2,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,33,13578.205131530762
3,0.6666666666666666,0.5,1.0,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,33,12759.895508289335
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,14665.710267305374
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,34,10025.273326396942
3,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,34,8303.556869983673
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,15580.296837091446
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,35,13443.560470581057
3,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,35,11495.598615169523
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,14668.661739349363
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,36,12616.355590820312
3,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.5,0.5,36,12092.19890666008
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,14908.264890432358
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,37,13647.605236768724
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,37,12764.588032722471
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,15146.489017009735
2,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,38,16032.13759970665
3,0.6666666666666666,0.5,1.0,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,38,15599.551184654236
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,15088.369055509567
2,0.2,0.125,0.5,1.0,1.0,1.0,0.0,0.0,0.0,39,14245.546336889269
3,0.2,0.125,0.5,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,39,14105.18595981598
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14379.57924747467
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4,13415.063179969788
3,0.5,0.3333333333333333,1.0,0.4,0.5,0.3333333333333333,1.0,1.0,1.0,4,12669.021391868591
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40,14068.936094999312
2,0.25,0.1666666666666666,0.5,1.0,1.0,1.0,0.0,0.0,0.0,40,12198.020476579666
3,0.4,0.25,1.0,1.0,1.0,1.0,0.1818181818181818,0.1111111111111111,0.5,40,9990.48396539688
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,15058.929071903229
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,41,13177.74187707901
3,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,41,12731.179568767548
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42,15340.869074821472
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,42,14542.416475057602
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42,14093.775174856186
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43,14801.104509830477
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,43,9958.606536865234
3,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,43,8342.462659358978
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,15245.619722366331
2,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,44,10571.818252325058
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44,8219.809731721878
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45,15520.975487947464
2,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,45,11843.41983962059
3,0.5,0.5,0.5,0.5,0.3333333333333333,1.0,0.5,0.5,0.5,45,10409.105598211288
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46,14450.36044049263
2,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,46,10222.740703105928
3,0.2,0.125,0.5,0.25,0.5,0.1666666666666666,1.0,1.0,1.0,46,8248.185062408447
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,15421.91717362404
2,1.0,1.0,1.0,0.4,0.25,1.0,0.0,0.0,0.0,47,14546.557826519012
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,47,14087.027087450027
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,15061.95323395729
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,12388.574969768524
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.1666666666666666,0.3333333333333333,48,11133.639276742935
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49,14857.172952890396
2,0.2666666666666666,0.1666666666666666,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,49,12912.272132873535
3,0.2222222222222222,0.1666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,49,12772.913982629776
