n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,237.51656198501587
1,1.0,1.0,1.0,0,0,0,0,0,0,1,257.32597255706787
1,1.0,1.0,1.0,0,0,0,0,0,0,10,274.9140911102295
1,1.0,1.0,1.0,0,0,0,0,0,0,11,261.2860622406006
1,1.0,1.0,1.0,0,0,0,0,0,0,12,291.1447250843048
1,1.0,1.0,1.0,0,0,0,0,0,0,13,339.43227219581604
1,1.0,1.0,1.0,0,0,0,0,0,0,14,232.48953986167908
1,1.0,1.0,1.0,0,0,0,0,0,0,15,240.077609539032
1,1.0,1.0,1.0,0,0,0,0,0,0,16,262.60347986221313
1,1.0,1.0,1.0,0,0,0,0,0,0,17,232.92457151412964
1,1.0,1.0,1.0,0,0,0,0,0,0,18,256.19308638572693
1,1.0,1.0,1.0,0,0,0,0,0,0,19,234.21301531791687
1,1.0,1.0,1.0,0,0,0,0,0,0,2,237.0232810974121
1,1.0,1.0,1.0,0,0,0,0,0,0,20,244.47528553009036
1,1.0,1.0,1.0,0,0,0,0,0,0,21,278.4325006008148
1,1.0,1.0,1.0,0,0,0,0,0,0,22,238.87984919548035
1,1.0,1.0,1.0,0,0,0,0,0,0,23,247.3135762214661
1,1.0,1.0,1.0,0,0,0,0,0,0,24,258.9436135292053
1,1.0,1.0,1.0,0,0,0,0,0,0,25,246.57251596450809
1,1.0,1.0,1.0,0,0,0,0,0,0,26,224.52112913131717
1,1.0,1.0,1.0,0,0,0,0,0,0,27,255.73759865760803
1,1.0,1.0,1.0,0,0,0,0,0,0,28,240.9071881771088
1,1.0,1.0,1.0,0,0,0,0,0,0,29,235.0336856842041
1,1.0,1.0,1.0,0,0,0,0,0,0,3,217.9158494472504
1,1.0,1.0,1.0,0,0,0,0,0,0,30,219.07442045211792
1,1.0,1.0,1.0,0,0,0,0,0,0,31,262.136225938797
1,1.0,1.0,1.0,0,0,0,0,0,0,32,270.64751982688904
1,1.0,1.0,1.0,0,0,0,0,0,0,33,259.7490394115448
1,1.0,1.0,1.0,0,0,0,0,0,0,34,208.48551058769223
1,1.0,1.0,1.0,0,0,0,0,0,0,35,213.2362370491028
1,1.0,1.0,1.0,0,0,0,0,0,0,36,242.9723160266876
1,1.0,1.0,1.0,0,0,0,0,0,0,37,229.08857655525208
1,1.0,1.0,1.0,0,0,0,0,0,0,38,246.55748343467712
1,1.0,1.0,1.0,0,0,0,0,0,0,39,244.57688903808597
1,1.0,1.0,1.0,0,0,0,0,0,0,4,254.4572970867157
1,1.0,1.0,1.0,0,0,0,0,0,0,40,252.74149918556213
