n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5053.189309597015
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,4990.518864631653
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.2,0.5,0,4983.387816667557
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5058.749934673309
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,5049.7198486328125
3,0.2162162162162162,0.125,0.8,1.0,1.0,1.0,0.1,0.1,0.1,1,5076.323761940002
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5012.0207006931305
2,0.25,0.1666666666666666,0.5,1.0,1.0,1.0,0.0,0.0,0.0,10,5004.331721544266
3,0.4,0.25,1.0,1.0,1.0,1.0,0.3076923076923076,0.2,0.6666666666666666,10,5046.76877951622
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4817.3672885894775
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,4894.390650987625
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,4960.432708978653
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4994.261155366898
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,4972.563476324081
3,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,12,4987.705416440964
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4990.742150306702
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,4899.417583942413
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,4932.185869932175
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,5314.533820152283
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,5217.031046152115
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,5147.734155654907
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,5243.202750205994
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,5129.775413513184
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,15,5125.98428606987
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4724.163038492203
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,4851.164057731628
