n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,17505.770035743713
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,11252.360959768295
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,9241.69539809227
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,16955.983573913574
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,12234.472992658615
3,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.1818181818181818,0.1111111111111111,0.5,1,10297.880742311478
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,19303.470930814743
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,17898.091423749924
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,10,15041.210212945938
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,19868.122279405598
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,14853.867412805555
3,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,11,10936.866985321043
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,17546.941953897476
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,9312.510382413864
3,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,12,8548.326033115387
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,18214.50261950493
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,10506.181854486464
3,1.0,1.0,1.0,1.0,1.0,1.0,0.3157894736842105,0.2,0.75,13,10224.884474754332
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,18194.424750566483
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,10310.017550468445
3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,14,10271.183900356293
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,19494.54399657249
2,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,15,18464.172257184982
3,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,15,15026.758144378662
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,17320.49805355072
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,11206.385987997057
3,0.3333333333333333,0.2,1.0,0.4,0.25,1.0,0.2857142857142857,0.2,0.5,16,9006.257891893387
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,17880.791850805283
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,13672.580041885376
3,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,17,10428.252324581146
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17391.502628326416
2,1.0,1.0,1.0,0.4,0.25,1.0,0.0,0.0,0.0,18,10223.997089624405
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,8651.510994911194
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,17492.883029460907
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,9783.157593488691
3,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,19,9086.06735253334
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,17706.21228337288
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,10006.804726839066
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,8927.572020292282
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,18477.07449746132
2,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,20,16202.89228439331
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,15800.0738427639
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,17610.45841360092
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,10879.475822210312
3,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21,10029.506457090378
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,18377.424394607544
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,16818.361007213593
3,1.0,1.0,1.0,0.4,0.5,0.3333333333333333,0.2727272727272727,0.1666666666666666,0.75,22,16027.071561813354
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,18182.399665117264
2,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,13461.359795808792
3,1.0,1.0,1.0,1.0,1.0,1.0,0.1666666666666666,0.1,0.5,23,10662.904852867126
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,17667.323541641235
2,1.0,1.0,1.0,0.4,0.25,1.0,0.0,0.0,0.0,24,11172.905458450316
3,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,24,9385.724783420565
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,17845.46769785881
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,14765.373206615448
3,0.4,0.25,1.0,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,25,10920.774622917175
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,18690.275427103043
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,16743.68269252777
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26,12870.501021623611
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,19205.581680059437
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,27,16997.14366555214
3,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,11901.140093326569
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,18589.830174684525
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,28,14888.752639055252
3,0.4,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28,9287.168688774109
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,20004.022269964215
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,19812.275545358654
3,0.4,0.3333333333333333,0.5,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,29,11818.748171329498
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,18667.5755918026
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3,10992.01871395111
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,9529.65445303917
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,20590.67157363892
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,20039.78725123405
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30,11556.543048620224
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,17717.765615940094
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,31,10592.844898223875
3,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,31,9951.9714281559
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,19951.873685359955
2,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,18039.76429915428
3,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,32,14537.027200698853
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,19334.70638751984
2,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,33,13663.960089683533
3,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,33,10572.644693374634
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,18406.497800827023
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,34,13745.583345413208
3,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,34,10589.45785522461
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,19042.32349085808
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,35,17180.731872320175
3,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,35,15273.212411880491
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,18205.656982660294
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,36,15902.346345186234
3,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,0.1818181818181818,0.1111111111111111,0.5,36,10352.876308441162
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,19701.130757808685
2,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,0.0,0.0,0.0,37,18292.15544629097
3,1.0,1.0,1.0,0.2222222222222222,0.125,1.0,1.0,1.0,1.0,37,14879.394677400587
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,19212.118856191635
