n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,313.32175064086914
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,296.2810673713684
3,0.25,0.1666666666666666,0.5,0.25,0.1666666666666666,0.5,1.0,1.0,1.0,0,297.89491176605225
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,329.52321004867554
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,281.52979135513306
3,0.4,0.25,1.0,1.0,1.0,1.0,0.4,0.25,1.0,1,272.7479703426361
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,300.36958861351013
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,276.92294049263
3,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,1.0,1.0,1.0,10,272.01641631126404
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,323.6173605918884
2,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,0.0,0.0,0.0,11,265.57227754592896
3,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,0.25,0.1666666666666666,0.5,11,252.6610882282257
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,314.63576221466064
2,1.0,1.0,1.0,0.4,0.25,1.0,0.0,0.0,0.0,12,296.7007405757904
3,0.25,0.1666666666666666,0.5,0.25,0.1666666666666666,0.5,1.0,1.0,1.0,12,289.49098539352417
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,272.4478342533112
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,266.7701404094696
3,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,0.2857142857142857,0.1666666666666666,1.0,13,262.8444678783417
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,285.1600034236908
2,1.0,1.0,1.0,0.4,0.25,1.0,0.0,0.0,0.0,14,279.24513006210327
3,0.25,0.1666666666666666,0.5,0.6666666666666666,0.5,1.0,0.4,0.25,1.0,14,261.688894033432
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,275.2393662929535
2,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,0.0,0.0,0.0,15,271.47418189048767
3,0.4,0.25,1.0,0.4,0.25,1.0,1.0,1.0,1.0,15,270.5954041481018
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,312.019547700882
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,312.8145174980164
3,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,16,302.0767729282379
1,0.2,0.1666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,17,285.62376379966736
2,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,0.0,0.0,0.0,17,282.9893741607666
3,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,0.25,0.1666666666666666,0.5,17,274.17523527145386
1,0.1428571428571428,0.1666666666666666,0.125,0.0,0.0,0.0,0.0,0.0,0.0,18,267.2885797023773
2,0.1818181818181818,0.1111111111111111,0.5,1.0,1.0,1.0,0.0,0.0,0.0,18,262.1915521621704
3,0.25,0.1666666666666666,0.5,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,18,265.6635267734528
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,264.51488041877747
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,267.10324025154114
3,0.4,0.25,1.0,0.4,0.25,1.0,0.6666666666666666,1.0,0.5,19,267.365273475647
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,311.54516649246216
2,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,285.0836355686188
3,0.4,0.25,1.0,0.4,0.25,1.0,1.0,1.0,1.0,2,260.5420105457306
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,301.42207050323486
2,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,20,283.7002127170563
3,1.0,1.0,1.0,0.4,0.25,1.0,0.6666666666666666,0.5,1.0,20,278.12762236595154
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,287.7848114967346
2,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,257.52996373176575
3,0.25,0.1666666666666666,0.5,0.3333333333333333,0.25,0.5,1.0,1.0,1.0,21,249.57877945899963
1,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,288.08899974823
2,1.0,1.0,1.0,0.4,0.25,1.0,0.0,0.0,0.0,22,266.154666185379
3,1.0,1.0,1.0,0.4,0.25,1.0,0.4,0.25,1.0,22,261.08054876327515
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23,268.48834443092346
2,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23,255.58892035484317
3,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,23,265.5383360385895
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,316.3933665752411
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,24,312.7259361743927
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,24,294.6966435909271
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,276.28942131996155
2,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,266.21760392189026
3,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,0.1818181818181818,0.1111111111111111,0.5,25,263.0421681404114
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,265.58360290527344
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,246.87992238998413
3,0.2,0.1666666666666666,0.25,0.4,0.25,1.0,0.4,0.25,1.0,26,238.4175071716309
1,0.2,0.1666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,27,297.2424600124359
2,1.0,1.0,1.0,0.25,0.1666666666666666,0.5,0.0,0.0,0.0,27,292.48106694221497
3,0.4,0.25,1.0,0.4,0.25,1.0,0.6666666666666666,1.0,0.5,27,283.826691865921
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,305.6429286003113
2,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,28,304.4915895462036
3,0.4,0.25,1.0,0.4,0.25,1.0,1.0,1.0,1.0,28,304.22287607192993
1,0.2,0.25,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,29,293.32929611206055
2,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,29,289.0254776477814
3,1.0,1.0,1.0,0.1818181818181818,0.1111111111111111,0.5,0.25,0.1666666666666666,0.5,29,284.82281708717346
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,353.1179189682007
2,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,3,339.2806992530823
3,0.25,0.1666666666666666,0.5,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,3,332.4619097709656
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,252.68298602104187
2,0.4,0.25,1.0,0.25,0.1666666666666666,0.5,0.0,0.0,0.0,30,240.25933623313904
3,0.4,0.25,1.0,0.4,0.25,1.0,1.0,1.0,1.0,30,239.57043027877808
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,265.5945553779602
2,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,31,253.3806037902832
3,0.4,0.25,1.0,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,31,258.06125831604004
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,318.0392487049103
2,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,32,292.9057652950287
3,0.4,0.25,1.0,0.4,0.25,1.0,0.0,0.0,0.0,32,270.72115111351013
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,307.1089851856232
2,0.1111111111111111,0.1666666666666666,0.0833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,33,282.9615089893341
