n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,336.71335673332214
2,0.2,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,324.2261531352997
3,0.2,0.125,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0,323.2224898338318
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,256.7537679672241
2,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,247.29607343673703
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,1,247.80707597732544
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,256.4677002429962
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,247.91293931007385
3,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.25,1.0,10,249.51547360420227
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,251.70970702171329
2,0.3993743482794577,0.2495114006514658,1.0,0.2857142857142857,0.1666666666666666,1.0,0.0,0.0,0.0,11,252.0618019104004
3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,245.1859586238861
1,0.1666666666666666,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,12,253.602064371109
2,0.2,0.125,0.5,0.1904761904761904,0.125,0.4,0.0,0.0,0.0,12,250.8243691921234
3,0.4,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,241.6890001296997
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,259.1473603248596
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,13,250.96752405166623
3,0.25,0.1666666666666666,0.5,0.5010438413361169,0.502092050209205,0.5,0.497907949790795,0.497907949790795,0.497907949790795,13,252.1218776702881
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,256.4756028652191
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,244.21893620491028
3,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,0.1666666666666666,0.1,0.5,14,248.95696473121643
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,257.53734135627747
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,255.3014578819275
3,1.0,1.0,1.0,1.0,1.0,1.0,0.1666666666666666,0.1,0.5,15,251.0675172805786
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,260.7372117042541
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,254.10306215286252
3,0.4,0.25,1.0,1.0,1.0,1.0,0.4,0.25,1.0,16,252.46924018859863
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,247.06369876861567
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,238.9038426876068
3,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,17,237.4828360080719
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,265.92141819000244
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,256.164665222168
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,253.75784277915955
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,252.91671895980835
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,246.48131346702576
3,0.2068965517241379,0.125,0.6,1.0,1.0,1.0,0.1666666666666666,0.1,0.5,19,244.6840124130249
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,253.84167909622192
2,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,252.75333094596863
3,0.2857142857142857,0.1666666666666666,1.0,1.0,1.0,1.0,0.2857142857142857,0.1666666666666666,1.0,2,245.8846206665039
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,265.12713861465454
2,0.2858844550327575,0.1667824878387769,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20,256.4658455848694
3,0.4003336113427856,0.2502606882168926,1.0,0.1666666666666666,0.1,0.5,0.3989983305509182,0.2492179353493222,1.0,20,251.8125443458557
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,256.71971797943115
2,0.2858844550327575,0.1667824878387769,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,255.4070403575897
3,0.2858844550327575,0.1667824878387769,1.0,1.0,1.0,1.0,0.2354383813611281,0.1334259902710215,1.0,21,250.3479635715485
