n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,546.5748901367188
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,546.6818771362305
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,544.9863014221191
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,547.0829381942749
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,538.6450762748718
3,1.0,1.0,1.0,0.4937570942111237,0.463258785942492,0.528554070473876,0.1878260869565217,0.1170278637770897,0.4754716981132075,1,538.8475179672241
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,561.5067791938782
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10,558.5849497318268
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,550.0830655097961
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,552.4325428009033
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,552.1848423480988
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11,547.5726552009583
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,552.1252863407135
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,547.6051998138428
3,0.9014276002719238,1.0,0.8205445544554455,1.0,1.0,1.0,0.1719664207580768,0.1046439628482972,0.4821683309557774,12,542.9566898345947
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,552.9926619529724
2,1.0,1.0,1.0,0.9289940828402368,1.0,0.8674033149171271,0.0,0.0,0.0,13,547.9430058002472
3,0.4818138875767595,0.4753028890959925,0.4885057471264368,0.5215377489578509,0.5246971109040075,0.5184162062615101,1.0,1.0,1.0,13,546.9199693202972
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,548.1213254928589
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14,549.3897249698639
3,1.0,1.0,1.0,1.0,1.0,1.0,0.3348694316436252,0.383128295254833,0.2974079126875852,14,544.9636607170105
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,552.4754612445831
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15,556.9227199554443
3,1.0,1.0,1.0,1.0,1.0,1.0,0.2199344875994384,0.1455108359133126,0.4501915708812261,15,547.9111950397491
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,555.0847275257111
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,552.1007046699524
3,1.0,1.0,1.0,1.0,1.0,1.0,0.1988950276243094,0.1502347417840375,0.2941777323799796,16,550.4821276664734
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,551.1331949234009
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,17,555.3719508647919
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,548.6131436824799
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,547.912677526474
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,549.6813163757324
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18,550.0132458209991
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,559.3340566158295
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,19,552.4920480251312
3,1.0,1.0,1.0,1.0,1.0,1.0,0.6916742909423605,0.5286713286713287,1.0,19,555.5830895900726
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,559.9446430206299
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,551.920432806015
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,552.928985118866
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,555.2958574295044
