n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,268.25216007232666
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,282.7844660282135
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,272.5611574649811
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1,270.9593758583069
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,10,284.3427596092224
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,10,284.3234145641327
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,11,284.1195945739746
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,11,281.1406056880951
1,0.6443071491615181,0.4752604166666667,1.0,0.0,0.0,0.0,0,0,0,12,280.14271092414856
2,1.0,1.0,1.0,0.4005394470667566,0.2504215851602023,1.0,0,0,0,12,279.85089802742004
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,13,274.507260799408
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,13,280.14974427223206
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,14,277.0222787857056
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,14,273.64364099502563
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,15,276.52374053001404
2,0.3816952678107124,0.2358611825192802,1.0,1.0,1.0,1.0,0,0,0,15,289.10657954216003
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,16,272.25469613075256
2,1.0,1.0,1.0,0.3962136578769439,0.2470489038785834,1.0,0,0,0,16,279.31510758399963
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,17,267.0967845916748
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,17,273.4456436634064
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,18,263.3309106826782
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,18,266.0724449157715
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,19,265.5307083129883
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,19,267.4286661148072
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,2,273.01043367385864
2,1.0,1.0,1.0,0.3962136578769439,0.2470489038785834,1.0,0,0,0,2,273.39231991767883
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,20,269.39728116989136
2,0.3178378378378378,0.1889460154241645,1.0,1.0,1.0,1.0,0,0,0,20,276.10435461997986
1,0.5921938088829071,0.6128133704735376,0.5729166666666666,0.0,0.0,0.0,0,0,0,21,277.59562063217163
2,1.0,1.0,1.0,0.3962136578769439,0.2470489038785834,1.0,0,0,0,21,286.9415898323059
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,22,270.04219150543213
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,22,281.2092168331146
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,23,269.3371217250824
2,1.0,1.0,1.0,0.3050108932461873,0.1799485861182519,1.0,0,0,0,23,270.45105242729187
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,24,269.305912733078
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,24,272.3015375137329
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,25,273.2530381679535
2,0.3621052631578947,0.2210796915167095,1.0,1.0,1.0,1.0,0,0,0,25,278.4949622154236
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,26,262.9571068286896
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,26,266.3884913921356
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,27,275.27700114250183
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,27,281.96774768829346
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,28,279.4952824115753
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,28,282.49516892433167
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,29,272.60075855255127
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,29,277.8947877883911
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,3,272.9658453464508
2,0.3050108932461873,0.1799485861182519,1.0,1.0,1.0,1.0,0,0,0,3,276.93053221702576
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,30,274.3546402454376
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,30,281.1388943195343
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,31,271.37995505332947
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,31,276.7103717327118
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,32,274.8134455680847
2,0.1104400345125107,0.0739030023094688,0.2184300341296928,1.0,1.0,1.0,0,0,0,32,271.36492347717285
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,33,274.46121430397034
2,1.0,1.0,1.0,0.4016172506738544,0.251264755480607,1.0,0,0,0,33,268.00999903678894
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,34,273.5965714454651
2,0.2863436123348017,0.1670951156812339,1.0,1.0,1.0,1.0,0,0,0,34,278.227418422699
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,35,268.9919986724853
2,1.0,1.0,1.0,0.3223719676549865,0.192159383033419,1.0,0,0,0,35,270.2683980464936
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,36,267.84517192840576
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,36,273.13668489456177
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,37,357.04762411117554
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,37,358.7121272087097
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,38,268.43568181991577
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,38,271.6443340778351
1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,39,273.16776037216187
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,39,272.6165153980255
1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,4,268.542026758194
2,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,4,266.141729593277
