n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,176.18168449401855
1,1.0,1.0,1.0,0,0,0,0,0,0,1,178.20713472366333
1,1.0,1.0,1.0,0,0,0,0,0,0,10,181.18020462989807
1,1.0,1.0,1.0,0,0,0,0,0,0,11,175.08834147453308
1,1.0,1.0,1.0,0,0,0,0,0,0,12,180.8190793991089
1,1.0,1.0,1.0,0,0,0,0,0,0,13,165.69370293617249
1,1.0,1.0,1.0,0,0,0,0,0,0,14,181.3452579975128
1,1.0,1.0,1.0,0,0,0,0,0,0,15,174.99582195281982
1,1.0,1.0,1.0,0,0,0,0,0,0,16,189.25576376914975
1,1.0,1.0,1.0,0,0,0,0,0,0,17,183.3036391735077
1,1.0,1.0,1.0,0,0,0,0,0,0,18,177.89004826545715
1,1.0,1.0,1.0,0,0,0,0,0,0,19,178.77037858963013
1,1.0,1.0,1.0,0,0,0,0,0,0,2,183.3910446166992
1,1.0,1.0,1.0,0,0,0,0,0,0,20,180.68932271003723
1,1.0,1.0,1.0,0,0,0,0,0,0,21,178.66381907463074
1,1.0,1.0,1.0,0,0,0,0,0,0,22,176.47515678405762
1,1.0,1.0,1.0,0,0,0,0,0,0,23,188.37738680839536
1,1.0,1.0,1.0,0,0,0,0,0,0,24,169.47425174713135
1,0.6666666666666666,1.0,0.5,0,0,0,0,0,0,25,183.8978090286255
1,1.0,1.0,1.0,0,0,0,0,0,0,26,174.91710090637207
1,1.0,1.0,1.0,0,0,0,0,0,0,27,173.94917750358582
1,1.0,1.0,1.0,0,0,0,0,0,0,28,248.0676200389862
1,1.0,1.0,1.0,0,0,0,0,0,0,29,187.9355297088623
1,1.0,1.0,1.0,0,0,0,0,0,0,3,169.24890041351318
1,1.0,1.0,1.0,0,0,0,0,0,0,30,190.2826035022736
1,1.0,1.0,1.0,0,0,0,0,0,0,31,177.6575107574463
1,1.0,1.0,1.0,0,0,0,0,0,0,32,188.2337372303009
1,1.0,1.0,1.0,0,0,0,0,0,0,33,177.85882782936096
1,1.0,1.0,1.0,0,0,0,0,0,0,34,251.51122379302976
