n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,408.9268057346344
2,0.5285118219749653,0.4,0.7786885245901639,1.0,1.0,1.0,0.0,0.0,0.0,0,401.7551748752594
3,0.9833333333333332,1.0,0.9672131147540984,0.7044198895027625,0.5437100213219617,1.0,0.9326683291770572,1.0,0.8738317757009346,0,389.2402982711792
1,0.9550173010380624,1.0,0.913907284768212,0.0,0.0,0.0,0.0,0.0,0.0,1,327.33615136146545
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1,326.3176567554474
3,1.0,1.0,1.0,0.9935205183585312,1.0,0.9871244635193132,0.5160493827160493,0.3653846153846153,0.8781512605042017,1,313.170535326004
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,409.3161187171936
2,0.6567164179104478,0.546583850931677,0.822429906542056,1.0,1.0,1.0,0.0,0.0,0.0,10,399.4397721290589
3,0.4508816120906802,0.3086206896551724,0.8364485981308412,0.6986301369863014,0.5368421052631579,1.0,0.5285118219749653,0.4,0.7786885245901639,10,377.4677946567536
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,419.3077776432037
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11,403.5795557498932
3,0.3387622149837134,0.2039215686274509,1.0,0.7326732673267327,0.6032608695652174,0.9327731092436976,1.0,1.0,1.0,11,381.4793689250946
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,420.9996201992035
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12,412.14087772369385
3,0.995967741935484,1.0,0.9919678714859438,0.6864864864864865,0.522633744855967,1.0,0.6237942122186495,0.4987146529562982,0.8326180257510729,12,392.1844770908356
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,418.7466113567352
2,0.3156462585034013,0.189079054604727,0.9547325102880658,1.0,1.0,1.0,0.0,0.0,0.0,13,412.81813764572144
3,1.0,1.0,1.0,0.7393364928909952,0.5864661654135338,1.0,0.4896907216494845,0.3571428571428571,0.7786885245901639,13,391.9229664802551
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,334.90876841545105
2,0.9646569646569648,1.0,0.931726907630522,1.0,1.0,1.0,0.0,0.0,0.0,14,329.40470719337463
3,0.9878048780487804,1.0,0.9759036144578314,0.9932885906040269,1.0,0.9866666666666668,1.0,1.0,1.0,14,325.58370327949524
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,407.9005725383759
2,0.9603340292275576,1.0,0.923694779116466,0.8976744186046511,0.8935185185185185,0.9018691588785048,0.0,0.0,0.0,15,401.1399738788605
3,0.8127090301003345,0.6962750716332379,0.9759036144578314,1.0,1.0,1.0,1.0,1.0,1.0,15,383.5868527889252
1,0.2272727272727272,0.2150537634408602,0.2409638554216867,0.0,0.0,0.0,0.0,0.0,0.0,16,334.829416513443
2,0.2799325463743676,0.1627450980392157,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16,333.70481061935425
3,0.2799325463743676,0.1627450980392157,1.0,1.0,1.0,1.0,0.2692307692307693,0.1555555555555555,1.0,16,328.6845571994781
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,331.1450960636139
2,0.9797297297297296,1.0,0.9602649006622516,0.75043630017452,0.6554878048780488,0.8775510204081632,0.0,0.0,0.0,17,332.2506124973297
3,0.9797297297297296,1.0,0.9602649006622516,0.4429378531073446,0.30625,0.8,1.0,1.0,1.0,17,328.1936025619507
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,325.1552710533142
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,18,323.8141884803772
3,0.6625155666251556,0.5225933202357563,0.9047619047619048,1.0,1.0,1.0,1.0,1.0,1.0,18,320.0966854095459
1,0.9861751152073732,1.0,0.9727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,19,332.2546708583832
2,0.9791183294663574,1.0,0.9590909090909092,0.8059701492537312,0.9152542372881356,0.72,0.0,0.0,0.0,19,330.1004648208618
3,0.9791183294663574,1.0,0.9590909090909092,1.0,1.0,1.0,0.9924812030075189,1.0,0.9850746268656716,19,328.8565511703491
1,0.9547325102880658,1.0,0.9133858267716536,0.0,0.0,0.0,0.0,0.0,0.0,2,413.3180594444275
2,0.963265306122449,1.0,0.9291338582677166,1.0,1.0,1.0,0.0,0.0,0.0,2,405.7449550628662
3,0.0896,0.0562248995983935,0.2204724409448819,1.0,1.0,1.0,1.0,1.0,1.0,2,391.8891596794128
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20,327.32138204574585
2,0.9861111111111112,1.0,0.9726027397260274,1.0,1.0,1.0,0.0,0.0,0.0,20,323.83269810676575
3,0.7558386411889596,0.6169844020797227,0.9753424657534246,1.0,1.0,1.0,1.0,1.0,1.0,20,321.82140612602234
1,0.978082191780822,1.0,0.9571045576407506,0.0,0.0,0.0,0.0,0.0,0.0,21,330.6565101146698
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,21,324.44196915626526
3,0.6994906621392191,0.5493333333333333,0.9626168224299064,1.0,1.0,1.0,1.0,1.0,1.0,21,317.7343838214874
1,0.9476082004555808,1.0,0.9004329004329005,0.0,0.0,0.0,0.0,0.0,0.0,22,333.56832671165466
2,0.6834319526627219,0.5191011235955056,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22,326.1638417243957
3,0.9823788546255507,1.0,0.9653679653679652,0.9912280701754386,1.0,0.982608695652174,1.0,1.0,1.0,22,316.2945702075958
1,0.92,1.0,0.8518518518518519,0.0,0.0,0.0,0.0,0.0,0.0,23,333.8114814758301
2,0.22803738317757,0.1343612334801762,0.7530864197530864,1.0,1.0,1.0,0.0,0.0,0.0,23,324.2361891269684
3,0.6170886075949367,0.5012853470437018,0.8024691358024691,0.5369565217391303,0.368107302533532,0.9919678714859438,0.6247987117552335,0.4987146529562982,0.8362068965517241,23,316.14687180519104
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24,333.7402665615082
2,0.2567958357432041,0.1479013990672884,0.9736842105263158,1.0,1.0,1.0,0.0,0.0,0.0,24,327.7080569267273
3,0.4144353899883585,0.2820919175911252,0.7807017543859649,0.4510932105868814,0.3106180665610142,0.8235294117647058,0.5193370165745856,0.3871499176276771,0.7885906040268457,24,316.138799905777
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25,341.9015655517578
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25,336.2369191646576
3,1.0,1.0,1.0,0.6712328767123288,0.5051546391752577,1.0,1.0,1.0,1.0,25,328.49758529663086
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26,328.6541883945465
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,26,326.56982588768005
3,1.0,1.0,1.0,0.7243066884176184,0.5721649484536082,0.9866666666666668,1.0,1.0,1.0,26,323.27640891075134
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27,335.41857409477234
2,1.0,1.0,1.0,0.2664990571967316,0.1556534508076358,0.925764192139738,0.0,0.0,0.0,27,331.9913191795349
3,0.3922046285018271,0.2715008431703204,0.706140350877193,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,27,326.03520369529724
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28,328.9233989715576
2,0.9787234042553192,1.0,0.9583333333333334,1.0,1.0,1.0,0.0,0.0,0.0,28,324.7626574039459
3,1.0,1.0,1.0,1.0,1.0,1.0,0.3962264150943396,0.268370607028754,0.7567567567567568,28,318.13970375061035
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,327.0355131626129
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,29,322.26323080062866
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,314.04745388031006
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,335.1144587993622
2,1.0,1.0,1.0,0.4644549763033175,0.532608695652174,0.4117647058823529,0.0,0.0,0.0,3,332.45432353019714
3,0.9777777777777776,1.0,0.9565217391304348,0.473170731707317,0.3333333333333333,0.8151260504201681,1.0,1.0,1.0,3,319.7555091381073
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,325.616091966629
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,30,324.2042233943939
3,0.2584712371946414,0.1570881226053639,0.7288888888888889,1.0,1.0,1.0,1.0,1.0,1.0,30,322.2718064785004
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31,347.9203803539276
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,31,340.1605257987976
3,1.0,1.0,1.0,1.0,1.0,1.0,0.5425219941348973,0.3969957081545064,0.8564814814814815,31,327.6188361644745
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,338.7576832771301
2,1.0,1.0,1.0,0.9710144927536232,1.0,0.943661971830986,0.0,0.0,0.0,32,332.93832421302795
3,0.4456233421750663,0.3128491620111732,0.7741935483870968,1.0,1.0,1.0,0.4454865181711606,0.3177257525083612,0.7450980392156863,32,325.55149102211
1,0.9838337182448036,1.0,0.968181818181818,0.0,0.0,0.0,0.0,0.0,0.0,33,328.02709007263184
2,1.0,1.0,1.0,0.9589442815249266,1.0,0.9211267605633804,0.0,0.0,0.0,33,326.5207381248474
3,0.538243626062323,0.3909465020576131,0.8636363636363636,1.0,1.0,1.0,0.9168443496801706,1.0,0.8464566929133859,33,321.8770227432251
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34,327.7108542919159
2,0.990583804143126,1.0,0.9813432835820896,1.0,1.0,1.0,0.0,0.0,0.0,34,320.11118507385254
3,1.0,1.0,1.0,0.3961352657004831,0.4141414141414141,0.3796296296296296,1.0,1.0,1.0,34,315.2776083946228
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35,340.87799859046936
2,0.9956140350877192,1.0,0.9912663755458516,0.989159891598916,1.0,0.9785522788203752,0.0,0.0,0.0,35,333.1986014842987
3,0.6263115415657788,0.4559341950646298,1.0,0.3632958801498127,0.2279670975323149,0.8940092165898618,0.366327474560592,0.2326674500587544,0.8608695652173913,35,324.1361780166626
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,337.860303401947
2,0.9787234042553192,1.0,0.9583333333333334,0.8810020876826722,0.8828451882845189,0.8791666666666667,0.0,0.0,0.0,36,325.76727390289307
3,0.4137931034482758,0.2784,0.8055555555555556,1.0,1.0,1.0,0.5364308342133053,0.4077046548956661,0.7839506172839507,36,329.73206305503845
1,0.9570815450643778,1.0,0.9176954732510288,0.0,0.0,0.0,0.0,0.0,0.0,37,327.1513991355896
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,37,324.4010171890259
3,1.0,1.0,1.0,0.9596602972399152,1.0,0.9224489795918368,0.2458662832494608,0.1449152542372881,0.8104265402843602,37,316.72098088264465
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,331.4044277667999
2,0.8883720930232559,1.0,0.799163179916318,0.955223880597015,1.0,0.9142857142857144,0.0,0.0,0.0,38,323.9547681808472
3,0.7275494672754947,0.5717703349282297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,38,310.004132270813
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,333.3163163661957
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,39,325.6257965564728
3,0.9823788546255507,1.0,0.9653679653679652,1.0,1.0,1.0,0.4748743718592965,0.3357015985790408,0.8111587982832618,39,312.75572872161865
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,332.49791431427
2,1.0,1.0,1.0,0.2653534183082271,0.1529726118904475,1.0,0.0,0.0,0.0,4,329.5569224357605
3,0.9846827133479212,1.0,0.9698275862068966,0.981132075471698,1.0,0.9629629629629628,0.6633663366336634,0.4962962962962963,1.0,4,323.1834032535553
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40,331.2208445072174
2,1.0,1.0,1.0,0.2653534183082271,0.1529726118904475,1.0,0.0,0.0,0.0,40,326.9914722442627
3,0.0807265388496468,0.0556328233657858,0.1470588235294117,1.0,1.0,1.0,1.0,1.0,1.0,40,321.1506040096283
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41,337.6231117248535
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,41,329.01768159866333
3,0.9653679653679654,1.0,0.9330543933054394,1.0,1.0,1.0,1.0,1.0,1.0,41,317.9070973396301
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42,333.47419905662537
2,0.9565217391304348,1.0,0.9166666666666666,0.9731958762886598,1.0,0.9477911646586346,0.0,0.0,0.0,42,325.9245674610138
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,42,316.13261818885803
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43,329.6697735786438
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,43,327.93488669395447
3,0.5612998522895125,0.4347826086956521,0.7916666666666666,0.993006993006993,1.0,0.9861111111111112,1.0,1.0,1.0,43,323.6402850151062
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44,330.7984309196472
2,1.0,1.0,1.0,0.7862969004893965,0.654891304347826,0.9836734693877552,0.0,0.0,0.0,44,328.75926661491394
3,0.401328903654485,0.2510390689941812,1.0,0.9855072463768116,1.0,0.9714285714285714,1.0,1.0,1.0,44,323.2598261833191
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45,329.2979996204376
2,0.2462562396006655,0.1404174573055028,1.0,1.0,1.0,1.0,0.0,0.0,0.0,45,325.2032356262207
3,0.2462562396006655,0.1404174573055028,1.0,1.0,1.0,1.0,0.9836065573770492,1.0,0.967741935483871,45,311.2302119731903
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46,339.8867406845093
2,1.0,1.0,1.0,0.473225404732254,0.328719723183391,0.8444444444444444,0.0,0.0,0.0,46,329.33825874328613
3,0.4712041884816754,0.375,0.6338028169014085,0.4145454545454545,0.285,0.76,1.0,1.0,1.0,46,323.36656975746155
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,333.7095627784729
2,0.5914285714285715,0.45,0.8625,0.7073608617594256,0.5880597014925373,0.8873873873873874,0.0,0.0,0.0,47,326.6180326938629
3,1.0,1.0,1.0,1.0,1.0,1.0,0.9707317073170731,1.0,0.943127962085308,47,319.94788789749146
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48,334.6210718154907
2,0.6226415094339622,0.5076923076923077,0.8048780487804879,0.6336633663366337,0.4923076923076923,0.8888888888888888,0.0,0.0,0.0,48,326.7356333732605
3,0.3801652892561983,0.2678868552412645,0.6544715447154471,1.0,1.0,1.0,1.0,1.0,1.0,48,313.7520775794983
1,0.9445196211096076,1.0,0.8948717948717949,0.0,0.0,0.0,0.0,0.0,0.0,49,339.0913996696472
2,1.0,1.0,1.0,0.9924812030075189,1.0,0.9850746268656716,0.0,0.0,0.0,49,336.0607659816742
3,0.0439560439560439,0.0273972602739726,0.1111111111111111,1.0,1.0,1.0,0.4731934731934732,0.3242811501597444,0.875,49,328.8411424160004
1,0.9696969696969696,1.0,0.9411764705882352,0.0,0.0,0.0,0.0,0.0,0.0,5,333.18108105659485
2,0.9717741935483872,1.0,0.9450980392156862,0.543884892086331,0.4012738853503185,0.84375,0.0,0.0,0.0,5,332.298086643219
3,0.7044198895027625,0.5437100213219617,1.0,1.0,1.0,1.0,0.8832951945080092,1.0,0.7909836065573771,5,312.8789496421814
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50,341.42442512512207
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,50,333.45505142211914
3,1.0,1.0,1.0,1.0,1.0,1.0,0.6174055829228243,0.4870466321243523,0.8430493273542601,50,325.85729122161865
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51,325.2434871196747
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,51,324.07425236701965
3,1.0,1.0,1.0,0.6463022508038584,0.5140664961636828,0.8701298701298701,0.9924812030075189,1.0,0.9850746268656716,51,312.9326100349426
1,0.9812734082397004,1.0,0.9632352941176472,0.0,0.0,0.0,0.0,0.0,0.0,52,339.9018814563751
2,0.6872110939907551,0.5915119363395226,0.8198529411764706,1.0,1.0,1.0,0.0,0.0,0.0,52,336.56787514686584
3,0.4678899082568807,0.34,0.75,0.6219312602291326,0.5013192612137203,0.8189655172413793,0.6352941176470588,0.4986807387862796,0.875,52,330.45946741104126
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53,338.9810075759888
2,1.0,1.0,1.0,0.9409090909090908,1.0,0.8884120171673819,0.0,0.0,0.0,53,335.15743494033813
3,0.6477987421383647,0.5175879396984925,0.865546218487395,0.2638376383763837,0.1680376028202115,0.6137339055793991,0.993006993006993,1.0,0.9861111111111112,53,331.28777289390564
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54,340.2165288925171
2,0.7596253902185224,0.6124161073825504,1.0,1.0,1.0,1.0,0.0,0.0,0.0,54,332.65601897239685
3,0.9875173370319,1.0,0.9753424657534246,0.6046511627906976,0.5069637883008357,0.7489711934156379,0.6156521739130435,0.4930362116991643,0.8194444444444444,54,327.478538274765
1,0.968609865470852,1.0,0.9391304347826088,0.0,0.0,0.0,0.0,0.0,0.0,55,342.3538556098938
2,1.0,1.0,1.0,0.9823788546255507,1.0,0.9653679653679652,0.0,0.0,0.0,55,330.86822271347046
3,1.0,1.0,1.0,1.0,1.0,1.0,0.9770992366412212,1.0,0.9552238805970148,55,325.8178594112396
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56,344.41938757896423
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,56,338.3131799697876
3,0.4628450106157112,0.340625,0.7218543046357616,1.0,1.0,1.0,0.4715261958997722,0.3234375,0.8697478991596639,56,327.8837094306946
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57,334.9570574760437
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,57,329.02860927581787
3,0.4592074592074591,0.3203252032520325,0.8106995884773662,0.5728770595690748,0.4640657084188911,0.7483443708609272,0.6174496644295302,0.44921875,0.9871244635193132,57,320.4150114059448
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58,337.8647232055664
2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,58,328.97394037246704
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58,317.8808982372284
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59,337.63527727127075
2,0.3472498343273691,0.211802748585287,0.9632352941176472,1.0,1.0,1.0,0.0,0.0,0.0,59,329.76231622695923
3,0.7074122236671001,0.5472837022132797,1.0,1.0,1.0,1.0,0.544704264099037,0.3983903420523139,0.8608695652173913,59,320.0360252857208
1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,344.7533595561981
