n_groups,f1_0,precision_0,recall_0,f1_1,precision_1,recall_1,f1_2,precision_2,recall_2,seed,runtime
1,1.0,1.0,1.0,0,0,0,0,0,0,0,207.7897720336914
1,1.0,1.0,1.0,0,0,0,0,0,0,1,208.3135249614716
1,1.0,1.0,1.0,0,0,0,0,0,0,10,223.0495443344116
1,1.0,1.0,1.0,0,0,0,0,0,0,11,223.07680583000183
1,1.0,1.0,1.0,0,0,0,0,0,0,12,223.68600344657895
1,1.0,1.0,1.0,0,0,0,0,0,0,13,212.6227986812592
1,1.0,1.0,1.0,0,0,0,0,0,0,14,202.24332880973816
1,1.0,1.0,1.0,0,0,0,0,0,0,15,212.29820370674133
1,1.0,1.0,1.0,0,0,0,0,0,0,16,219.80041980743408
1,1.0,1.0,1.0,0,0,0,0,0,0,17,220.68842768669128
1,1.0,1.0,1.0,0,0,0,0,0,0,18,207.05356097221372
1,1.0,1.0,1.0,0,0,0,0,0,0,19,218.94504499435425
1,1.0,1.0,1.0,0,0,0,0,0,0,2,223.7830035686493
1,1.0,1.0,1.0,0,0,0,0,0,0,20,210.70204401016235
1,1.0,1.0,1.0,0,0,0,0,0,0,21,277.3990201950073
1,1.0,1.0,1.0,0,0,0,0,0,0,22,218.39493203163147
1,1.0,1.0,1.0,0,0,0,0,0,0,23,211.97417044639587
1,1.0,1.0,1.0,0,0,0,0,0,0,24,212.05020475387573
1,1.0,1.0,1.0,0,0,0,0,0,0,25,211.0188300609589
1,1.0,1.0,1.0,0,0,0,0,0,0,26,216.16372084617612
1,1.0,1.0,1.0,0,0,0,0,0,0,27,203.23281145095825
1,1.0,1.0,1.0,0,0,0,0,0,0,28,205.5922255516052
1,1.0,1.0,1.0,0,0,0,0,0,0,29,213.10783195495603
1,1.0,1.0,1.0,0,0,0,0,0,0,3,224.13557291030884
1,1.0,1.0,1.0,0,0,0,0,0,0,30,222.11528062820437
1,1.0,1.0,1.0,0,0,0,0,0,0,31,213.43264508247373
1,1.0,1.0,1.0,0,0,0,0,0,0,32,203.89957094192505
1,1.0,1.0,1.0,0,0,0,0,0,0,33,227.78000783920288
1,1.0,1.0,1.0,0,0,0,0,0,0,34,201.5159876346588
1,1.0,1.0,1.0,0,0,0,0,0,0,35,221.1747941970825
1,1.0,1.0,1.0,0,0,0,0,0,0,36,215.79001116752625
1,1.0,1.0,1.0,0,0,0,0,0,0,37,215.3024244308472
1,1.0,1.0,1.0,0,0,0,0,0,0,38,215.80258774757385
1,1.0,1.0,1.0,0,0,0,0,0,0,39,213.32211327552795
1,1.0,1.0,1.0,0,0,0,0,0,0,4,207.563591003418
1,1.0,1.0,1.0,0,0,0,0,0,0,40,208.04396271705627
1,1.0,1.0,1.0,0,0,0,0,0,0,41,212.29656887054443
1,1.0,1.0,1.0,0,0,0,0,0,0,42,213.30506491661072
1,1.0,1.0,1.0,0,0,0,0,0,0,43,213.98404550552368
1,1.0,1.0,1.0,0,0,0,0,0,0,44,210.0739583969116
1,1.0,1.0,1.0,0,0,0,0,0,0,45,216.82082867622373
1,1.0,1.0,1.0,0,0,0,0,0,0,46,222.36126828193665
1,1.0,1.0,1.0,0,0,0,0,0,0,47,214.95528507232663
1,1.0,1.0,1.0,0,0,0,0,0,0,48,205.1281509399414
1,1.0,1.0,1.0,0,0,0,0,0,0,49,211.0150864124298
1,1.0,1.0,1.0,0,0,0,0,0,0,5,226.65772938728333
1,1.0,1.0,1.0,0,0,0,0,0,0,50,213.065037727356
1,1.0,1.0,1.0,0,0,0,0,0,0,51,209.50540137290955
1,1.0,1.0,1.0,0,0,0,0,0,0,52,217.0755078792572
1,1.0,1.0,1.0,0,0,0,0,0,0,53,210.2940459251404
1,1.0,1.0,1.0,0,0,0,0,0,0,54,221.32593870162964
1,1.0,1.0,1.0,0,0,0,0,0,0,55,212.4091169834137
1,1.0,1.0,1.0,0,0,0,0,0,0,56,223.0617971420288
1,1.0,1.0,1.0,0,0,0,0,0,0,57,209.8762924671173
1,1.0,1.0,1.0,0,0,0,0,0,0,58,222.53238534927368
1,1.0,1.0,1.0,0,0,0,0,0,0,59,209.5749764442444
1,1.0,1.0,1.0,0,0,0,0,0,0,6,212.46223068237305
1,1.0,1.0,1.0,0,0,0,0,0,0,60,222.6458511352539
1,1.0,1.0,1.0,0,0,0,0,0,0,61,219.38728857040405
1,1.0,1.0,1.0,0,0,0,0,0,0,62,227.12438893318176
1,1.0,1.0,1.0,0,0,0,0,0,0,63,214.62932300567627
1,1.0,1.0,1.0,0,0,0,0,0,0,64,211.23864817619324
1,1.0,1.0,1.0,0,0,0,0,0,0,65,212.10517406463623
