sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,68640,8580,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND mtOff==1,0,1.0,1.0,1.0,0
random_2,24,1,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,x==2 AND mtOff==1,0,0.0,0.0,0.0,0
random_5,60,6,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1,BlockSize==2048 AND Deflate==1,0,0.0,0.0,0.0,0
random_10,120,15,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,x==4 AND HeaderCompressionOff==0 AND mtOff==1,0,0.0,0.0,0.0,0
random_20,240,29,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1,x==2 AND Files==70 AND HeaderCompressionOff==1 AND mtOff==0,0,0.0,0.0,0.0,0
2-wise,165,29,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,BZip2==1 AND Files==20 AND HeaderCompressionOff==0,0,0.0,0.0,0.0,0
3-wise,1121,149,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND filterOff==1,0,1.0,1.0,1.0,0
4-wise,4875,615,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND mtOff==1,0,1.0,1.0,1.0,0
full,68640,8580,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,tmOff==1 AND HeaderCompressionOff==1 AND mtOff==1,0,1.0,1.0,1.0,10
random_2,24,1,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,BlockSize==1 AND LZMA2==0,0,0.0,0.0,0.0,10
random_5,60,2,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,x==8 AND mtOff==1,0,0.0,0.0,0.0,10
random_10,120,8,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,x==6 AND Files==30,0,0.0,0.0,0.0,10
random_20,240,25,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,BlockSize==256 AND Deflate==1,0,0.0,0.0,0.0,10
