sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,60000,7500,max = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,pollyoptmaxcoefficient_1==0,0,0.2162162162162162,0.125,0.8,0
random_2,46,5,parallel = 1 AND polly_parallel = 1 AND value_based = 1,pollyrtcmaxparameters==2 AND value_based==0,0,0.0,0.0,0.0,0
random_5,115,19,max = 1 AND parallel = 1 AND polly_parallel = 1,min==0 AND parallel==1,0,1.0,1.0,1.0,0
random_10,230,31,max = 1 AND polly = 1 AND polly_no_tiling = 1,pollydefaulttilesize==1024 AND pollyoptmaxcoefficient_100==1 AND value_based==0,0,0.0,0.0,0.0,0
random_20,460,69,max = 1 AND polly = 1 AND value_based = 1,value_based==1 AND min==0 AND polly==1,0,1.0,1.0,1.0,0
2-wise,54,9,none = 1 AND parallel_force = 1 AND polly_parallel = 1,pollyoptmaxconstantterm_100==1 AND parallel_force==1 AND polly==1 AND polly_opt_simplify_deps==1,0,0.0,0.0,0.0,0
3-wise,257,32,max = 1 AND memory_based = 1 AND polly = 1,pollydefaulttilesize==16 AND pollyoptmaxconstantterm_10000==1 AND pollyrtcmaxparameters==16,0,0.0,0.0,0.0,0
4-wise,943,151,polly_no_tiling = 1 AND polly_parallel = 1 AND value_based = 1,pollyoptmaxconstantterm_1==0 AND pollyrtcmaxparameters==1 AND value_based==0 AND polly_parallel==1,0,0.0,0.0,0.0,0
full,60000,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,polly==1,0,0.0,0.0,0.0,10
random_2,46,5,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxcoefficient_10==1 AND pollyoptmaxconstantterm_10==0 AND polly_opt_simplify_deps==1,0,0.0,0.0,0.0,10
random_5,115,12,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyrtcmaxparameters==8 AND polly_no_tiling==1 AND polly_opt_simplify_deps==1,0,0.0,0.0,0.0,10
random_10,230,21,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxcoefficient_10==1 AND min==1 AND polly==1 AND polly_no_tiling==0,0,0.0,0.0,0.0,10
random_20,460,53,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxcoefficient_1==0 AND parallel_force==1 AND polly==0 AND polly_no_tiling==0,0,0.0,0.0,0.0,10
2-wise,52,5,none = 1 AND polly_no_tiling = 1 AND value_based = 1,value_based==0 AND parallel_force==1 AND polly_no_tiling==0,0,0.0,0.0,0.0,10
3-wise,247,33,none = 1 AND polly_no_tiling = 1 AND value_based = 1,value_based==0 AND min==0 AND polly_opt_simplify_deps==0 AND polly_parallel==1,0,0.0,0.0,0.0,10
4-wise,960,135,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize==64 AND pollyoptmaxcoefficient_10==0 AND pollyoptmaxconstantterm_1==0 AND value_based==0,0,0.0,0.0,0.0,10
full,60000,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxconstantterm_1000==0,0,0.2162162162162162,0.125,0.8,11
random_2,46,4,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxcoefficient_10==1 AND pollyoptmaxconstantterm_1000==1 AND polly_opt_simplify_deps==1,0,0.0,0.0,0.0,11
random_5,115,12,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxcoefficient_100==1 AND polly==0 AND polly_parallel==0,0,0.0,0.0,0.0,11
random_10,230,27,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyrtcmaxparameters==16 AND min==0 AND parallel_force==1 AND polly_opt_simplify_deps==1,0,0.0,0.0,0.0,11
random_20,460,65,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxconstantterm_1000==0 AND min==0 AND polly_no_tiling==0 AND polly_opt_simplify_deps==0,0,0.0,0.0,0.0,11
2-wise,60,4,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollydefaulttilesize==4 AND value_based==0 AND min==1 AND parallel==1,0,0.0,0.0,0.0,11
3-wise,250,26,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxcoefficient_1==0 AND value_based==0 AND parallel==0,0,0.0,0.0,0.0,11
4-wise,952,109,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxcoefficient_1000==0,0,0.2050691244239631,0.1172595520421607,0.8165137614678899,11
full,60000,10000,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel==1 AND polly_opt_simplify_deps==1,0,1.0,1.0,1.0,12
random_2,46,6,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,min==1 AND polly_no_tiling==0 AND polly_parallel==0,0,0.0,0.0,0.0,12
random_5,115,19,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,pollydefaulttilesize==1024 AND pollyrtcmaxparameters==16 AND polly==1 AND polly_parallel==0,0,0.0,0.0,0.0,12
random_10,230,36,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel==1 AND polly_opt_simplify_deps==1,1,1.0,1.0,1.0,12
random_20,460,90,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel_force==0 AND polly_opt_simplify_deps==1 AND polly_parallel==1,0,1.0,1.0,1.0,12
2-wise,55,9,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,pollyoptmaxconstantterm_1000==1 AND value_based==0,0,0.0,0.0,0.0,12
3-wise,252,41,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel==1 AND polly_opt_simplify_deps==1,0,1.0,1.0,1.0,12
4-wise,945,160,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel_force==0 AND polly_opt_simplify_deps==1 AND polly_parallel==1,0,1.0,1.0,1.0,12
full,60000,10000,max = 1 AND polly_parallel = 1 AND value_based = 1,value_based==1 AND min==0 AND polly_parallel==1,0,1.0,1.0,1.0,13
random_2,46,11,max = 1 AND polly_parallel = 1 AND value_based = 1,pollyoptmaxcoefficient_1==0 AND pollyoptmaxconstantterm_10==1 AND polly_no_tiling==1 AND polly_parallel==1,0,0.0,0.0,0.0,13
random_5,115,25,max = 1 AND polly_parallel = 1 AND value_based = 1,pollyoptmaxconstantterm_10000==1 AND pollyrtcmaxparameters==16 AND min==1,0,0.0,0.0,0.0,13
random_10,230,38,max = 1 AND polly_parallel = 1 AND value_based = 1,pollyoptmaxconstantterm_10000==0 AND polly==1 AND polly_parallel==0,0,0.0,0.0,0.0,13
random_20,460,80,max = 1 AND polly_parallel = 1 AND value_based = 1,value_based==1 AND min==0 AND polly_parallel==1,0,1.0,1.0,1.0,13
2-wise,48,10,max = 1 AND polly_parallel = 1 AND value_based = 1,pollyrtcmaxparameters==4 AND min==1 AND polly==1,0,0.0,0.0,0.0,13
3-wise,256,35,max = 1 AND polly_parallel = 1 AND value_based = 1,pollydefaulttilesize==256 AND pollyrtcmaxparameters==4 AND value_based==0 AND polly_no_tiling==1,0,0.0,0.0,0.0,13
4-wise,986,167,max = 1 AND polly_parallel = 1 AND value_based = 1,value_based==1 AND min==0 AND polly_parallel==1,0,1.0,1.0,1.0,13
full,60000,7500,max = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxcoefficient_10==0,0,0.2162162162162162,0.125,0.8,14
random_2,46,4,max = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize==64 AND pollyrtcmaxparameters==4 AND value_based==0,0,0.0,0.0,0.0,14
random_5,115,16,max = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize==16 AND pollyoptmaxconstantterm_100==1 AND polly_opt_simplify_deps==0,0,0.0,0.0,0.0,14
random_10,230,30,max = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxconstantterm_1==1 AND pollyrtcmaxparameters==4 AND parallel==1 AND polly_no_tiling==1,0,0.0,0.0,0.0,14
random_20,460,50,max = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize==16 AND pollyoptmaxcoefficient_10000==1 AND parallel_force==1 AND polly_no_tiling==0,0,0.0,0.0,0.0,14
2-wise,53,7,max = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxconstantterm_10==1 AND value_based==0 AND polly_no_tiling==0 AND polly_parallel==1,0,0.0,0.0,0.0,14
