n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
10000,10,46768.33056062735,1230,X_3==1 AND X_1==8 AND X_7==1 AND X_8==0,X_1==8 AND X_3==1 AND X_7==1 AND X_8==0,0,1.0,1.0,1.0,0,0.6412584781646729
10000,25,36190.51223163405,1208,X_10==0 AND X_13==1 AND X_1==2 AND X_6==1,X_10==0 AND X_13==1 AND X_1==2 AND X_6==1,0,1.0,1.0,1.0,0,1.5929479598999023
10000,50,35846.43808843335,1575,X_25==1 AND X_45==0 AND X_23==0 AND X_18==1,X_18==1 AND X_23==0 AND X_25==1 AND X_45==0,0,1.0,1.0,1.0,0,2.8776237964630127
10000,100,37514.81774109844,1571,X_44==0 AND X_89==0 AND X_72==0 AND X_33==1,X_33==1 AND X_44==0 AND X_72==0 AND X_89==0,0,1.0,1.0,1.0,0,5.567008018493652
10000,250,46226.61232682442,1087,X_98==1 AND X_23==8 AND X_235==1 AND X_10==8,X_235==1,3,0.3277057582152547,0.1959617811429601,1.0,0,7.069375038146973
10000,500,33634.94459339299,1205,X_240==1 AND X_348==1 AND X_457==1 AND X_0==1,X_0==1 AND X_240==1 AND X_348==1 AND X_457==1,0,1.0,1.0,1.0,0,44.75261187553406
10000,1000,33567.95679950051,1586,X_939==1 AND X_686==1 AND X_935==0 AND X_336==1,X_336==1 AND X_686==1 AND X_935==0 AND X_939==1,0,1.0,1.0,1.0,0,106.27660822868349
10000,10,35725.70584375301,1101,X_8==0 AND X_1==4 AND X_3==0 AND X_0==16,X_0==16 AND X_1==4 AND X_3==0 AND X_8==0,0,1.0,1.0,1.0,1,0.6093144416809082
10000,25,43568.63328409023,1606,X_17==0 AND X_11==0 AND X_7==1 AND X_18==1,X_11==0 AND X_17==0 AND X_18==1 AND X_7==1,0,1.0,1.0,1.0,1,1.4774112701416016
10000,50,31582.16965748004,1105,X_27==1 AND X_36==1 AND X_7==16 AND X_6==2,X_27==1,0,0.3370957901159243,0.2027150981471289,1.0,1,1.3981435298919678
10000,100,47408.11118008606,1514,X_67==0 AND X_83==0 AND X_78==0 AND X_63==0,X_63==0 AND X_67==0 AND X_78==0 AND X_83==0,0,1.0,1.0,1.0,1,5.359339952468872
10000,250,23334.79642280237,1548,X_234==0 AND X_105==0 AND X_58==0 AND X_133==1,X_234==0,2,0.4463667820069204,0.2873051224944321,1.0,1,6.987549781799316
10000,500,26717.205697846177,1236,X_204==0 AND X_143==0 AND X_82==8 AND X_171==0,X_143==0 AND X_171==0 AND X_204==0 AND X_82==8,0,1.0,1.0,1.0,1,44.83605432510376
10000,1000,41395.99080811495,1214,X_104==8 AND X_401==0 AND X_456==1 AND X_367==0,X_367==0,2,0.3639088729016786,0.2224257969952363,1.0,1,59.7719795703888
10000,10,28382.251417979987,1260,X_0==8 AND X_4==1 AND X_3==1 AND X_7==0,X_0==8 AND X_3==1 AND X_4==1 AND X_7==0,0,1.0,1.0,1.0,10,0.6008408069610596
10000,25,28789.90726744397,1559,X_10==0 AND X_19==1 AND X_15==1 AND X_16==1,X_10==0 AND X_15==1 AND X_16==1 AND X_19==1,0,1.0,1.0,1.0,10,1.3556878566741943
10000,50,35378.821933236235,1556,X_43==0 AND X_40==1 AND X_44==1 AND X_23==0,X_23==0 AND X_40==1 AND X_43==0 AND X_44==1,0,1.0,1.0,1.0,10,2.72430682182312
10000,100,40836.414509840426,1540,X_47==1 AND X_78==0 AND X_87==0 AND X_66==0,X_87==0,3,0.4422745548535324,0.2839233038348082,1.0,10,2.371809959411621
10000,250,23920.74331307846,1199,X_8==16 AND X_183==0 AND X_85==1 AND X_221==0,X_183==0 AND X_221==0 AND X_85==1 AND X_8==16,0,1.0,1.0,1.0,10,18.11591649055481
10000,500,43841.82947657256,1211,X_12==16 AND X_206==0 AND X_393==1 AND X_199==1,X_12==16 AND X_199==1 AND X_206==0 AND X_393==1,0,1.0,1.0,1.0,10,43.33270525932312
10000,1000,38241.44936629431,1550,X_542==0 AND X_696==1 AND X_653==0 AND X_249==0,X_249==0 AND X_542==0 AND X_653==0 AND X_696==1,0,1.0,1.0,1.0,10,84.22796034812927
10000,10,36660.28957753525,1217,X_6==0 AND X_9==1 AND X_0==2 AND X_8==1,X_0==2 AND X_6==0 AND X_8==1 AND X_9==1,0,1.0,1.0,1.0,11,0.5621039867401123
10000,25,35663.5540401749,1084,X_2==8 AND X_0==2 AND X_19==0 AND X_8==0,X_0==2 AND X_19==0 AND X_2==8 AND X_8==0,0,1.0,1.0,1.0,11,1.5868749618530271
10000,50,35825.48030803074,1566,X_29==1 AND X_13==0 AND X_10==1 AND X_41==0,X_10==1 AND X_13==0 AND X_29==1 AND X_41==0,0,1.0,1.0,1.0,11,2.73618745803833
10000,100,38885.643132894416,1559,X_91==1 AND X_20==1 AND X_22==0 AND X_29==1,X_20==1 AND X_22==0 AND X_29==1 AND X_91==1,0,1.0,1.0,1.0,11,5.221293210983276
10000,250,43083.87139709537,1227,X_95==1 AND X_16==1 AND X_88==1 AND X_186==1,X_16==1 AND X_186==1 AND X_88==1 AND X_95==1,0,1.0,1.0,1.0,11,18.043782711029053
10000,500,26945.263784502717,1094,X_42==1 AND X_155==1 AND X_62==4 AND X_456==1,X_456==1,1,0.3306134783922635,0.1980448950036205,1.0,11,20.04012966156006
10000,1000,38951.67457535087,1241,X_652==0 AND X_984==0 AND X_161==2 AND X_360==1,X_161==2 AND X_360==1 AND X_652==0 AND X_984==0,0,1.0,1.0,1.0,11,103.68320655822754
10000,10,27451.247574543697,1096,X_0==2 AND X_1==2 AND X_7==0 AND X_9==0,X_0==2 AND X_1==2 AND X_7==0 AND X_9==0,0,1.0,1.0,1.0,12,0.6030325889587402
10000,25,25211.25664592614,1577,X_5==0 AND X_6==1 AND X_12==0 AND X_10==0,X_10==0 AND X_12==0 AND X_5==0 AND X_6==1,0,1.0,1.0,1.0,12,1.3780887126922607
10000,50,48471.88391351747,1600,X_45==1 AND X_30==0 AND X_39==1 AND X_13==1,X_13==1 AND X_30==0 AND X_39==1 AND X_45==1,0,1.0,1.0,1.0,12,3.42680025100708
10000,100,33526.00891150286,1555,X_51==1 AND X_39==0 AND X_94==0 AND X_25==1,X_25==1 AND X_39==0 AND X_51==1 AND X_94==0,0,1.0,1.0,1.0,12,5.336047887802124
10000,250,38113.48841815274,1552,X_126==0 AND X_219==0 AND X_133==1 AND X_149==0,X_126==0 AND X_133==1 AND X_149==0 AND X_219==0,0,1.0,1.0,1.0,12,14.082483053207396
10000,500,34661.90129804835,1568,X_333==1 AND X_168==1 AND X_225==1 AND X_238==1,X_168==1 AND X_225==1 AND X_238==1 AND X_333==1,0,1.0,1.0,1.0,12,36.52980947494507
10000,1000,41042.90097578894,1622,X_884==0 AND X_738==0 AND X_338==0 AND X_272==1,X_272==1 AND X_338==0 AND X_738==0 AND X_884==0,0,1.0,1.0,1.0,12,88.66089701652527
10000,10,45596.38101804103,1591,X_8==0 AND X_5==1 AND X_6==0 AND X_2==1,X_2==1 AND X_5==1 AND X_6==0 AND X_8==0,0,1.0,1.0,1.0,13,0.5657923221588135
10000,25,35884.17192730469,1566,X_24==0 AND X_15==0 AND X_5==0 AND X_8==0,X_15==0 AND X_24==0 AND X_5==0 AND X_8==0,0,1.0,1.0,1.0,13,1.3871078491210938
10000,50,28230.350867927937,1228,X_46==1 AND X_11==0 AND X_5==2 AND X_49==0,X_11==0 AND X_46==1 AND X_49==0 AND X_5==2,0,1.0,1.0,1.0,13,3.531325340270996
10000,100,26599.39199806075,1201,X_24==0 AND X_87==1 AND X_12==4 AND X_20==1,X_12==4 AND X_20==1 AND X_24==0 AND X_87==1,0,1.0,1.0,1.0,13,7.198837995529175
10000,250,32802.61308005496,1234,X_177==1 AND X_22==4 AND X_127==0 AND X_192==1,X_127==0 AND X_177==1 AND X_192==1 AND X_22==4,0,1.0,1.0,1.0,13,19.08267617225647
10000,500,30963.03792746107,1230,X_390==0 AND X_477==1 AND X_72==1 AND X_306==1,X_306==1 AND X_390==0 AND X_477==1 AND X_72==1,0,1.0,1.0,1.0,13,45.44132113456726
10000,1000,32055.932932500826,1517,X_870==1 AND X_384==1 AND X_930==1 AND X_375==1,X_375==1 AND X_384==1 AND X_870==1 AND X_930==1,0,1.0,1.0,1.0,13,91.28458189964294
10000,10,36484.40053456024,1601,X_4==0 AND X_9==0 AND X_3==1 AND X_6==0,X_3==1 AND X_4==0 AND X_6==0 AND X_9==0,0,1.0,1.0,1.0,14,0.5605738162994385
10000,25,40307.66458697141,1240,X_10==1 AND X_5==0 AND X_19==1 AND X_0==8,X_0==8 AND X_10==1 AND X_19==1 AND X_5==0,0,1.0,1.0,1.0,14,1.6548678874969482
10000,50,39356.54357271984,1098,X_0==1 AND X_23==0 AND X_18==1 AND X_3==4,X_23==0,0,0.3309721175584024,0.1983023297814701,1.0,14,1.3383376598358154
10000,100,23969.68317732133,1218,X_98==1 AND X_13==1 AND X_44==0 AND X_48==0,X_44==0,2,0.3682539682539682,0.22568093385214,1.0,14,2.486191511154175
10000,250,36078.49419837767,1577,X_137==0 AND X_82==1 AND X_217==1 AND X_93==0,X_137==0 AND X_217==1 AND X_82==1 AND X_93==0,0,1.0,1.0,1.0,14,14.484967947006226
10000,500,30071.626320992476,1216,X_465==1 AND X_16==2 AND X_254==1 AND X_248==0,X_16==2 AND X_248==0 AND X_254==1 AND X_465==1,0,1.0,1.0,1.0,14,44.4382643699646
10000,1000,46108.39139250671,1033,X_57==8 AND X_186==1 AND X_771==0 AND X_14==1,X_771==0,0,0.3112852192255537,0.1843326195574589,1.0,14,57.82288932800293
10000,10,35953.428294630816,1574,X_5==0 AND X_9==1 AND X_6==0 AND X_4==0,X_4==0 AND X_5==0 AND X_6==0 AND X_9==1,0,1.0,1.0,1.0,15,0.5704226493835449
10000,25,30141.937606512427,1227,X_18==0 AND X_16==1 AND X_20==1 AND X_0==2,X_0==2 AND X_16==1 AND X_18==0 AND X_20==1,0,1.0,1.0,1.0,15,1.72391939163208
10000,50,47060.96234417136,1216,X_14==0 AND X_10==1 AND X_2==16 AND X_34==1,X_10==1 AND X_14==0 AND X_2==16 AND X_34==1,0,1.0,1.0,1.0,15,3.678785562515259
10000,100,28690.10992058473,1241,X_66==1 AND X_46==1 AND X_58==1 AND X_6==4,X_46==1 AND X_58==1 AND X_66==1 AND X_6==4,0,1.0,1.0,1.0,15,7.209820985794067
10000,250,48304.97558580088,1574,X_51==1 AND X_94==1 AND X_59==1 AND X_194==1,X_194==1 AND X_51==1 AND X_59==1 AND X_94==1,0,1.0,1.0,1.0,15,18.74365830421448
10000,500,27766.87013564441,1203,X_486==0 AND X_445==1 AND X_412==1 AND X_21==8,X_21==8 AND X_412==1 AND X_445==1 AND X_486==0,0,1.0,1.0,1.0,15,44.77662563323975
10000,1000,26459.40687923877,1207,X_800==1 AND X_6==8 AND X_503==0 AND X_738==1,X_800==1,2,0.3627347858752817,0.2215491923641703,1.0,15,59.50378346443176
10000,10,39987.55732688801,1208,X_0==1 AND X_4==1 AND X_6==1 AND X_9==1,X_0==1 AND X_4==1 AND X_6==1 AND X_9==1,0,1.0,1.0,1.0,16,0.5738792419433594
10000,25,44892.83338389809,1544,X_8==1 AND X_13==0 AND X_9==1 AND X_7==1,X_13==0 AND X_7==1 AND X_8==1 AND X_9==1,0,1.0,1.0,1.0,16,1.3733789920806885
10000,50,35242.5847699852,1566,X_49==0 AND X_25==0 AND X_21==1 AND X_34==0,X_21==1 AND X_25==0 AND X_34==0 AND X_49==0,0,1.0,1.0,1.0,16,2.8013713359832764
10000,100,34192.47400411562,1043,X_88==1 AND X_9==4 AND X_12==16 AND X_17==8,X_88==1,0,0.3179393385154702,0.189017760057992,1.0,16,2.500157594680786
10000,250,46311.68351007606,1580,X_220==0 AND X_114==1 AND X_139==1 AND X_84==1,X_114==1 AND X_139==1 AND X_220==0 AND X_84==1,0,1.0,1.0,1.0,16,15.147806406021118
10000,500,48554.22700053421,1547,X_325==1 AND X_439==1 AND X_382==1 AND X_224==0,X_224==0 AND X_325==1 AND X_382==1 AND X_439==1,0,1.0,1.0,1.0,16,43.03913187980652
10000,1000,43160.147682317285,1079,X_61==4 AND X_708==0 AND X_880==0 AND X_1==16,X_880==0,0,0.3312864599324532,0.1985280588776448,1.0,16,59.26711940765381
10000,10,45881.28168868053,1534,X_7==1 AND X_3==1 AND X_8==1 AND X_9==0,X_3==1 AND X_7==1 AND X_8==1 AND X_9==0,0,1.0,1.0,1.0,17,0.5605602264404297
10000,25,42063.49645358593,1581,X_23==1 AND X_11==0 AND X_13==1 AND X_19==1,X_11==0 AND X_13==1 AND X_19==1 AND X_23==1,0,1.0,1.0,1.0,17,1.3324480056762695
10000,50,38489.38831560563,1207,X_11==0 AND X_12==0 AND X_39==0 AND X_9==4,X_11==0 AND X_12==0 AND X_39==0 AND X_9==4,0,1.0,1.0,1.0,17,3.2444090843200684
10000,100,46105.00852085112,1204,X_35==1 AND X_92==0 AND X_53==1 AND X_13==8,X_13==8 AND X_35==1 AND X_53==1 AND X_92==0,0,1.0,1.0,1.0,17,7.098485708236694
10000,250,35116.91108698356,1244,X_125==0 AND X_167==1 AND X_51==0 AND X_28==4,X_125==0 AND X_167==1 AND X_28==4 AND X_51==0,0,1.0,1.0,1.0,17,18.44213104248047
10000,500,26819.006063508023,1233,X_261==1 AND X_234==1 AND X_53==16 AND X_256==0,X_234==1 AND X_256==0 AND X_261==1 AND X_53==16,0,1.0,1.0,1.0,17,43.70476126670837
10000,1000,33489.88059596518,1089,X_877==0 AND X_77==1 AND X_285==1 AND X_44==4,X_285==1,0,0.3280120481927711,0.1961808683120158,1.0,17,57.727179765701294
10000,10,23394.64842861636,1209,X_6==1 AND X_9==0 AND X_7==1 AND X_0==1,X_0==1 AND X_6==1 AND X_7==1 AND X_9==0,0,1.0,1.0,1.0,18,0.6225893497467041
10000,25,36186.62456253768,1540,X_24==1 AND X_8==1 AND X_5==0 AND X_11==1,X_11==1 AND X_24==1 AND X_5==0 AND X_8==1,0,1.0,1.0,1.0,18,1.4617114067077637
10000,50,41867.36848067764,1215,X_30==1 AND X_48==1 AND X_2==1 AND X_36==0,X_2==1 AND X_30==1 AND X_36==0 AND X_48==1,0,1.0,1.0,1.0,18,3.676321506500244
10000,100,40398.46573316603,1239,X_23==0 AND X_44==0 AND X_1==16 AND X_79==1,X_1==16 AND X_23==0 AND X_44==0 AND X_79==1,0,1.0,1.0,1.0,18,7.369269132614136
10000,250,35818.62363110976,1594,X_101==1 AND X_226==1 AND X_221==1 AND X_176==1,X_101==1 AND X_176==1 AND X_221==1 AND X_226==1,0,1.0,1.0,1.0,18,15.74869704246521
10000,500,26893.327043802197,1563,X_438==0 AND X_199==1 AND X_418==1 AND X_173==0,X_173==0 AND X_199==1 AND X_418==1 AND X_438==0,0,1.0,1.0,1.0,18,38.691505670547485
10000,1000,42401.51979004184,1088,X_160==4 AND X_48==1 AND X_549==0 AND X_582==0,X_582==0,1,0.3312024353120243,0.1984677125136811,1.0,18,59.5666298866272
10000,10,31844.964142403976,1563,X_7==0 AND X_2==0 AND X_8==0 AND X_3==1,X_2==0 AND X_3==1 AND X_7==0 AND X_8==0,0,1.0,1.0,1.0,19,0.5661258697509766
10000,25,34097.093884949325,1548,X_11==1 AND X_7==0 AND X_8==0 AND X_22==1,X_11==1 AND X_22==1 AND X_7==0 AND X_8==0,0,1.0,1.0,1.0,19,1.3516128063201904
10000,50,39169.49486817444,1574,X_11==0 AND X_45==1 AND X_31==1 AND X_29==1,X_11==0 AND X_29==1 AND X_31==1 AND X_45==1,0,1.0,1.0,1.0,19,2.769333839416504
10000,100,43365.30462670813,1090,X_40==1 AND X_32==0 AND X_12==16 AND X_7==1,X_40==1,1,0.3326212999694843,0.1994875549048316,1.0,19,2.476179599761963
10000,250,47695.07966902136,1200,X_136==1 AND X_26==1 AND X_62==1 AND X_238==0,X_136==1 AND X_238==0 AND X_26==1 AND X_62==1,0,1.0,1.0,1.0,19,18.44271278381348
10000,500,43555.64187710375,1560,X_167==1 AND X_209==0 AND X_213==0 AND X_304==1,X_213==0,1,0.443938531587934,0.2852962692026335,1.0,19,20.760749578475952
10000,1000,26011.117172301543,1036,X_23==4 AND X_170==2 AND X_935==0 AND X_60==1,X_935==0,0,0.3180353031465848,0.1890855995619638,1.0,19,58.89593434333801
10000,10,41572.89410924184,1243,X_2==1 AND X_8==0 AND X_0==16 AND X_4==1,X_0==16 AND X_2==1 AND X_4==1 AND X_8==0,0,1.0,1.0,1.0,2,0.5558817386627197
10000,25,44383.03811512763,1593,X_14==1 AND X_21==0 AND X_13==0 AND X_7==1,X_13==0 AND X_14==1 AND X_21==0 AND X_7==1,0,1.0,1.0,1.0,2,1.3155007362365725
10000,50,45753.01621588125,1068,X_8==8 AND X_33==1 AND X_29==0 AND X_9==16,X_33==1,1,0.3247681313668846,0.1938645852241786,1.0,2,1.1587622165679932
10000,100,33199.50742196711,1213,X_46==0 AND X_51==0 AND X_40==1 AND X_15==8,X_15==8 AND X_40==1 AND X_46==0 AND X_51==0,0,1.0,1.0,1.0,2,6.8110291957855225
10000,250,37371.699903958455,1568,X_79==1 AND X_220==0 AND X_90==1 AND X_134==1,X_134==1 AND X_220==0 AND X_79==1 AND X_90==1,0,1.0,1.0,1.0,2,13.9843909740448
10000,500,35550.547218111955,1099,X_192==1 AND X_437==0 AND X_63==4 AND X_86==8,X_192==1,0,0.334093327253382,0.2005474452554744,1.0,2,20.31766557693481
10000,1000,38248.481941060425,1210,X_586==1 AND X_951==0 AND X_91==16 AND X_388==0,X_388==0 AND X_586==1 AND X_91==16 AND X_951==0,0,1.0,1.0,1.0,2,100.93904995918274
10000,10,45059.76173397096,1234,X_8==0 AND X_2==0 AND X_5==0 AND X_1==1,X_1==1 AND X_2==0 AND X_5==0 AND X_8==0,0,1.0,1.0,1.0,20,0.6152539253234863
10000,25,37324.97024913231,1074,X_21==0 AND X_2==16 AND X_3==2 AND X_12==0,X_21==0,1,0.328440366972477,0.1964873765093304,1.0,20,0.5907468795776367
10000,50,34940.259455689134,1561,X_30==0 AND X_39==0 AND X_20==0 AND X_24==0,X_20==0 AND X_24==0 AND X_30==0 AND X_39==0,0,1.0,1.0,1.0,20,2.796508550643921
10000,100,47524.54888023484,1079,X_24==0 AND X_1==4 AND X_9==2 AND X_87==1,X_24==0,3,0.3263762855414397,0.1950117476956443,1.0,20,2.449518918991089
10000,250,41920.07145003948,1227,X_93==0 AND X_7==2 AND X_59==0 AND X_222==0,X_222==0 AND X_59==0 AND X_7==2 AND X_93==0,0,1.0,1.0,1.0,20,18.32654309272766
10000,500,26048.69980629592,1245,X_237==1 AND X_280==1 AND X_21==4 AND X_485==1,X_21==4 AND X_237==1 AND X_280==1 AND X_485==1,0,1.0,1.0,1.0,20,44.53265881538391
10000,1000,44184.02365114125,1241,X_475==1 AND X_472==0 AND X_3==2 AND X_678==0,X_3==2 AND X_472==0 AND X_475==1 AND X_678==0,0,1.0,1.0,1.0,20,107.6318986415863
10000,10,35520.78427839566,1222,X_5==0 AND X_0==2 AND X_8==0 AND X_3==0,X_0==2 AND X_3==0 AND X_5==0 AND X_8==0,0,1.0,1.0,1.0,21,0.6607358455657959
10000,25,40799.452353698536,1083,X_0==2 AND X_7==0 AND X_3==2 AND X_17==1,X_7==0,1,0.334724153917478,0.2010022271714922,1.0,21,0.6657576560974121
10000,50,45473.836149759256,1106,X_22==0 AND X_1==2 AND X_8==2 AND X_34==0,X_22==0,1,0.3360170135196718,0.2019353660763191,1.0,21,1.3339288234710691
10000,100,25168.101876414465,1222,X_1==1 AND X_68==0 AND X_66==1 AND X_40==0,X_1==1 AND X_40==0 AND X_66==1 AND X_68==0,0,1.0,1.0,1.0,21,8.15715479850769
10000,250,46460.63704447345,1236,X_104==1 AND X_121==1 AND X_178==0 AND X_23==1,X_104==1 AND X_121==1 AND X_178==0 AND X_23==1,0,1.0,1.0,1.0,21,21.949959754943848
10000,500,44989.21623229859,1225,X_141==1 AND X_41==8 AND X_180==0 AND X_464==0,X_141==1 AND X_180==0 AND X_41==8 AND X_464==0,0,1.0,1.0,1.0,21,50.84159255027771
10000,1000,46604.595251172446,1571,X_594==1 AND X_765==1 AND X_356==1 AND X_994==0,X_765==1,4,0.4452947845804988,0.2864175022789426,1.0,21,62.60007643699646
