n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1000,25,28352.29673922777,150,X_13==1 AND X_21==0 AND X_9==1 AND X_6==0,X_13==1 AND X_21==0 AND X_6==0 AND X_9==1,0,1.0,1.0,1.0,0,1.242849588394165
3000,25,36575.404380374704,366,X_0==8 AND X_11==0 AND X_23==0 AND X_21==0,X_0==8 AND X_11==0 AND X_21==0 AND X_23==0,0,1.0,1.0,1.0,0,1.172708511352539
10000,25,43652.486398073,1239,X_1==4 AND X_23==0 AND X_6==1 AND X_11==1,X_11==1 AND X_1==4 AND X_23==0 AND X_6==1,0,1.0,1.0,1.0,0,1.9882986545562744
30000,25,47318.38717040765,3615,X_11==0 AND X_5==1 AND X_7==0 AND X_4==8,X_11==0 AND X_4==8 AND X_5==1 AND X_7==0,0,1.0,1.0,1.0,0,2.9053022861480717
100000,25,42930.49309064445,10899,X_11==0 AND X_7==0 AND X_4==1 AND X_2==2,X_11==0,0,0.3299927334382947,0.1975995793824899,1.0,0,2.6992297172546387
300000,25,33285.88741550243,36667,X_0==2 AND X_16==1 AND X_14==0 AND X_21==1,X_0==2 AND X_14==0 AND X_16==1 AND X_21==1,0,1.0,1.0,1.0,0,23.01869535446167
1000000,25,43150.18200716411,156097,X_24==1 AND X_10==0 AND X_12==1 AND X_18==1,X_10==0,2,0.4423490005157531,0.2839846670802504,1.0,0,27.575573921203613
1000,25,26171.58155103601,127,X_11==1 AND X_20==1 AND X_3==8 AND X_14==0,X_11==1 AND X_14==0 AND X_20==1 AND X_3==8,0,1.0,1.0,1.0,1,1.2385485172271729
3000,25,27146.60629131795,378,X_17==1 AND X_6==0 AND X_7==1 AND X_2==8,X_17==1 AND X_2==8 AND X_6==0 AND X_7==1,0,1.0,1.0,1.0,1,1.205697536468506
10000,25,26627.37103716655,1240,X_21==1 AND X_18==0 AND X_16==1 AND X_4==16,X_16==1 AND X_18==0 AND X_21==1 AND X_4==16,0,1.0,1.0,1.0,1,1.775388479232788
30000,25,25659.80588356964,4705,X_21==0 AND X_6==0 AND X_20==1 AND X_13==0,X_13==0 AND X_20==1 AND X_21==0 AND X_6==0,0,1.0,1.0,1.0,1,2.250847816467285
100000,25,47198.09706017822,15545,X_6==0 AND X_23==0 AND X_13==1 AND X_5==1,X_13==1 AND X_23==0 AND X_5==1 AND X_6==0,0,1.0,1.0,1.0,1,5.841993808746338
300000,25,26605.827810281076,47070,X_11==1 AND X_17==0 AND X_6==0 AND X_21==0,X_11==1 AND X_17==0 AND X_21==0 AND X_6==0,0,1.0,1.0,1.0,1,19.59289836883545
1000000,25,41728.12155473352,156421,X_15==1 AND X_24==1 AND X_5==1 AND X_8==0,X_15==1 AND X_24==1 AND X_5==1 AND X_8==0,0,1.0,1.0,1.0,1,61.55480861663818
1000,25,26031.84085939962,159,X_23==1 AND X_10==1 AND X_15==0 AND X_6==1,X_10==1 AND X_15==0 AND X_23==1 AND X_6==1,0,1.0,1.0,1.0,10,1.100898265838623
3000,25,41094.7950112149,374,X_17==0 AND X_21==0 AND X_15==1 AND X_0==8,X_0==8 AND X_15==1 AND X_17==0 AND X_21==0,0,1.0,1.0,1.0,10,1.3279778957366943
10000,25,28766.142616225054,1224,X_12==1 AND X_7==1 AND X_2==1 AND X_23==0,X_12==1 AND X_23==0 AND X_2==1 AND X_7==1,0,1.0,1.0,1.0,10,1.750453233718872
30000,25,29100.611397669207,4693,X_20==0 AND X_18==0 AND X_14==0 AND X_21==0,X_14==0 AND X_18==0 AND X_20==0 AND X_21==0,0,1.0,1.0,1.0,10,2.300688505172729
100000,25,31553.995269992844,12225,X_10==1 AND X_3==2 AND X_11==0 AND X_22==0,X_10==1 AND X_11==0 AND X_22==0 AND X_3==2,0,1.0,1.0,1.0,10,6.310311317443848
300000,25,29207.14119680477,36801,X_24==1 AND X_16==1 AND X_2==2 AND X_14==1,X_14==1 AND X_16==1 AND X_24==1 AND X_2==2,0,1.0,1.0,1.0,10,18.50384020805359
1000000,25,37204.44349075466,122279,X_11==0 AND X_1==2 AND X_16==0 AND X_15==1,X_11==0 AND X_15==1 AND X_16==0 AND X_1==2,0,1.0,1.0,1.0,10,57.74291777610779
