n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
10000,10,27864.30372642172,1203,X_0==4 AND X_9==1 AND X_5==1 AND X_6==1,X_2==0 AND X_5==0 AND X_6==0 AND X_9==0,0,0.0,0.0,0.0,0,0.6597270965576172
10000,25,47332.05361932914,1540,X_17==0 AND X_9==1 AND X_23==1 AND X_18==1,X_17==0 AND X_18==1 AND X_23==1 AND X_9==1,0,1.0,1.0,1.0,0,2.6863367557525635
10000,50,38017.91450227567,1207,X_29==0 AND X_43==0 AND X_41==1 AND X_0==16,X_0==16 AND X_29==0 AND X_41==1 AND X_43==0,0,1.0,1.0,1.0,0,5.4643714427948
10000,100,31356.603946483134,1208,X_16==2 AND X_51==0 AND X_29==0 AND X_56==1,X_27==1 AND X_37==1 AND X_5==4 AND X_66==1 AND X_71==0 AND X_85==0,0,0.0094861660079051,0.1052631578947368,0.0049668874172185,0,14.122483015060425
10000,250,31779.69999372769,1585,X_249==1 AND X_182==0 AND X_230==1 AND X_140==1,X_102==0 AND X_154==0 AND X_15==2 AND X_236==0 AND X_244==1 AND X_249==0,0,0.0,0.0,0.0,0,35.94006538391113
10000,500,31891.8308594924,1222,X_201==1 AND X_192==0 AND X_61==8 AND X_486==0,X_191==0 AND X_327==1 AND X_339==1 AND X_376==0 AND X_391==1 AND X_76==8,0,0.0047095761381475,0.0576923076923076,0.0024549918166939,0,76.75461292266846
10000,1000,39523.20564170345,1031,X_122==16 AND X_502==1 AND X_75==8 AND X_39==4,X_122==16 AND X_39==4 AND X_502==1 AND X_75==8,0,1.0,1.0,1.0,0,133.94651412963867
10000,10,34986.96661787653,1254,X_7==1 AND X_6==0 AND X_3==1 AND X_1==16,X_1==16 AND X_3==1 AND X_6==0 AND X_7==1,0,1.0,1.0,1.0,1,0.6648573875427246
10000,25,46847.63121386067,1204,X_19==0 AND X_0==8 AND X_17==0 AND X_8==0,X_0==8 AND X_17==0 AND X_19==0 AND X_8==0,0,1.0,1.0,1.0,1,2.481289863586426
10000,50,45878.34029863282,1556,X_48==1 AND X_42==1 AND X_15==0 AND X_37==1,X_15==0 AND X_37==1 AND X_42==1 AND X_48==1,0,1.0,1.0,1.0,1,5.772736072540283
10000,100,28733.030285727516,1575,X_54==0 AND X_39==1 AND X_81==0 AND X_41==0,X_26==1 AND X_29==1 AND X_41==1 AND X_47==1 AND X_49==0 AND X_58==0 AND X_61==0 AND X_62==1,0,0.0,0.0,0.0,1,12.954955101013184
10000,250,27085.07976715396,1513,X_100==0 AND X_97==0 AND X_108==0 AND X_83==1,X_114==1 AND X_118==1 AND X_172==0 AND X_173==0 AND X_196==0 AND X_51==0 AND X_84==1 AND X_97==1,0,0.0,0.0,0.0,1,33.338022232055664
10000,500,45447.193240421606,1082,X_230==0 AND X_66==2 AND X_454==1 AND X_16==4,X_16==4 AND X_230==0 AND X_454==1 AND X_66==2,0,1.0,1.0,1.0,1,60.10298418998718
10000,1000,43039.68290816109,1254,X_697==1 AND X_745==1 AND X_135==2 AND X_501==0,X_135==2 AND X_501==0 AND X_697==1 AND X_745==1,0,1.0,1.0,1.0,1,142.32440567016602
