n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1000,25,45696.805576947576,124,X_7==0 AND X_0==16 AND X_15==1 AND X_9==0,X_0==16 AND X_15==1 AND X_7==0 AND X_9==0,0,1.0,1.0,1.0,0,1.3167753219604492
3000,25,28760.156044954307,354,X_3==4 AND X_13==0 AND X_14==1 AND X_6==0,X_12==0 AND X_1==16 AND X_21==1 AND X_22==0 AND X_3==1,0,0.0,0.0,0.0,0,2.2246267795562744
10000,25,28973.84203853405,1553,X_13==1 AND X_22==1 AND X_7==1 AND X_12==0,X_11==0 AND X_13==1 AND X_1==8 AND X_23==1 AND X_24==1 AND X_7==0,0,0.0,0.0,0.0,0,2.9000606536865234
30000,25,46656.79412561338,3651,X_11==1 AND X_16==0 AND X_10==0 AND X_2==16,X_10==0 AND X_11==1 AND X_16==0 AND X_2==16,0,1.0,1.0,1.0,0,4.906952619552612
100000,25,39983.70510573007,12283,X_19==0 AND X_7==0 AND X_0==16 AND X_9==1,X_0==16 AND X_19==0 AND X_7==0 AND X_9==1,0,1.0,1.0,1.0,0,14.665565490722656
300000,25,41398.58008257324,46919,X_14==1 AND X_5==1 AND X_9==0 AND X_17==0,X_14==1 AND X_17==0 AND X_5==1 AND X_9==0,0,1.0,1.0,1.0,0,48.31263303756714
1000000,25,47166.1665078224,156147,X_16==0 AND X_7==0 AND X_11==1 AND X_13==0,X_11==1 AND X_13==0 AND X_16==0 AND X_7==0,0,1.0,1.0,1.0,0,158.61140990257263
1000,25,28725.05494836488,176,X_24==0 AND X_17==0 AND X_15==0 AND X_11==1,X_14==0 AND X_15==1 AND X_16==0 AND X_22==1 AND X_4==16,0,0.0,0.0,0.0,1,1.6974120140075684
3000,25,34530.83369811553,461,X_13==0 AND X_10==1 AND X_7==1 AND X_14==1,X_11==0 AND X_18==0 AND X_1==2 AND X_6==0 AND X_9==0,2,0.0239520958083832,0.15,0.0130151843817787,1,2.1227118968963623
10000,25,36444.25405760336,1252,X_18==0 AND X_1==16 AND X_8==0 AND X_17==0,X_17==0 AND X_18==0 AND X_1==16 AND X_8==0,0,1.0,1.0,1.0,1,2.448808193206787
30000,25,31918.71555156324,3701,X_18==1 AND X_6==1 AND X_1==8 AND X_21==0,X_14==1 AND X_16==0 AND X_17==1 AND X_18==0 AND X_19==0 AND X_3==1 AND X_5==0 AND X_9==0,0,0.0,0.0,0.0,1,5.667174339294434
100000,25,35912.13180687946,12289,X_19==1 AND X_0==1 AND X_21==0 AND X_16==0,X_0==1 AND X_16==0 AND X_19==1 AND X_21==0,0,1.0,1.0,1.0,1,13.69884467124939
