sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,2560,320,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_VERIFY AND HAVE_CRYPTO,0,1.0,1.0,1.0,0
random_2,32,3,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,NOT HAVE_HASH.1 AND HAVE_REPLICATION AND NOT HAVE_VERIFY AND PAGESIZE <= 10.0,0,0.0,0.0,0.0,0
random_5,80,9,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND HAVE_STATISTICS AND PAGESIZE <= 2.5,0,0.0,0.0,0.0,0
random_10,160,21,DIAGNOSTIC = 1 AND HAVE_HASH = 1 AND HAVE_CRYPTO = 1,HAVE_HASH AND DIAGNOSTIC,0,1.0,1.0,1.0,0
random_20,320,39,HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,NOT DIAGNOSTIC.1 AND HAVE_HASH,4,0.3484848484848485,0.2473118279569892,0.5897435897435898,0
2-wise,56,3,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH.1 AND CACHESIZE <= 48.0 AND CACHESIZE > 24.0 AND NOT HAVE_VERIFY,0,0.0,0.0,0.0,0
3-wise,200,12,HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_CRYPTO AND HAVE_STATISTICS AND HAVE_VERIFY,0,1.0,1.0,1.0,0
4-wise,436,30,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_CRYPTO AND HAVE_STATISTICS AND HAVE_SEQUENCE,0,1.0,1.0,1.0,0
full,2560,320,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND DIAGNOSTIC AND HAVE_CRYPTO,0,1.0,1.0,1.0,10
random_2,32,5,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,NOT HAVE_SEQUENCE AND HAVE_HASH.1 AND CACHESIZE <= 288.0 AND CACHESIZE > 40.0,0,0.0,0.0,0.0,10
random_5,80,13,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND DIAGNOSTIC AND NOT HAVE_HASH.1 AND NOT HAVE_VERIFY.1,1,0.962962962962963,0.9285714285714286,1.0,10
random_10,160,16,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC AND HAVE_SEQUENCE AND HAVE_CRYPTO,0,1.0,1.0,1.0,10
random_20,320,47,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE AND DIAGNOSTIC AND HAVE_CRYPTO,0,1.0,1.0,1.0,10
2-wise,58,6,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_CRYPTO AND HAVE_SEQUENCE AND DIAGNOSTIC,0,1.0,1.0,1.0,10
3-wise,204,14,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION AND DIAGNOSTIC AND PAGESIZE <= 2.5 AND CACHESIZE > 24.0,1,0.3333333333333333,0.75,0.2142857142857142,10
