sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,13485,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread > 2.5 AND pixelPerThread <= 3.5 AND TextureMemory AND CUDA,0,1.0,1.0,1.0,0
random_2,62,17,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1,NOT bs_256x4,3,0.4155844155844156,0.2666666666666666,0.9411764705882352,0
random_5,155,25,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1,Ldg,0,1.0,1.0,1.0,0
random_10,310,58,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1,padding > 112.0 AND pixelPerThread <= 3.5 AND NOT bs_128x2,1,0.340080971659919,0.2222222222222222,0.7241379310344828,0
random_20,620,97,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,TextureMemory AND pixelPerThread <= 2.5 AND pixelPerThread > 1.5 AND CUDA,0,1.0,1.0,1.0,0
2-wise,380,65,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1,Ldg,0,1.0,1.0,1.0,0
3-wise,2039,378,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND TextureMemory AND CUDA,0,1.0,1.0,1.0,0
4-wise,6771,719,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND LocalMemory AND NOT OpenCL,0,1.0,1.0,1.0,0
full,13485,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND TextureMemory AND CUDA,0,1.0,1.0,1.0,10
random_2,62,8,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND TextureMemory,1,1.0,1.0,1.0,10
random_5,155,30,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND TextureMemory,0,1.0,1.0,1.0,10
random_10,310,49,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND TextureMemory AND CUDA,0,1.0,1.0,1.0,10
random_20,620,119,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND TextureMemory AND NOT OpenCL,0,1.0,1.0,1.0,10
2-wise,368,73,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND TextureMemory AND NOT OpenCL,0,1.0,1.0,1.0,10
3-wise,2051,359,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND TextureMemory AND CUDA,0,1.0,1.0,1.0,10
4-wise,6743,1202,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread <= 1.5 AND TextureMemory AND NOT OpenCL,0,1.0,1.0,1.0,10
full,13485,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,TextureMemory AND pixelPerThread <= 2.5 AND pixelPerThread > 1.5 AND CUDA,0,1.0,1.0,1.0,11
random_2,62,9,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,NOT bs_64x1 AND padding <= 240.0 AND pixelPerThread <= 3.5 AND NOT bs_32x16,4,0.3076923076923076,0.2352941176470588,0.4444444444444444,11
random_5,155,33,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread <= 2.5 AND pixelPerThread > 1.5 AND NOT OpenCL AND NOT bs_256x4,1,0.9166666666666666,0.8461538461538461,1.0,11
random_10,310,40,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread <= 2.5 AND bs_64x4,0,0.0,0.0,0.0,11
random_20,620,96,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,TextureMemory AND pixelPerThread <= 3.5 AND pixelPerThread > 1.5 AND pixelPerThread <= 2.5,0,0.9948186528497408,0.9896907216494846,1.0,11
2-wise,376,65,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread <= 2.5 AND NOT bs_256x4 AND pixelPerThread > 1.5 AND TextureMemory,0,0.9763779527559054,1.0,0.953846153846154,11
