sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,193536,24192,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizePolicyFootprintGoal AND UseAdaptiveGCBoundary AND DisableExplicitGC,0,1.0,1.0,1.0,0
random_2,26,3,UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveGCBoundary AND UseAdaptiveSizePolicy,2,1.0,1.0,1.0,0
random_5,65,8,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,UseAdaptiveSizePolicy AND UseAdaptiveGCBoundary AND DisableExplicitGC,1,1.0,1.0,1.0,0
random_10,130,14,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizePolicy = 1,UseAdaptiveSizePolicy AND UseAdaptiveGCBoundary AND DisableExplicitGC,0,1.0,1.0,1.0,0
random_20,260,40,UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizePolicyFootprintGoal AND UseAdaptiveGCBoundary AND UseAdaptiveSizeDecayMajorGCCost,0,1.0,1.0,1.0,0
2-wise,60,6,UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1,NOT UseAdaptiveGCBoundary AND SurvivorRatio > 8.5 AND MinSurvivorRatio <= 8.5 AND NewRatio > 1.5,0,0.0,0.0,0.0,0
3-wise,288,39,UseAdaptiveSizeDecayMajorGCCost = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,UseAdaptiveSizePolicy AND UseAdaptiveSizePolicyFootprintGoal AND UseAdaptiveSizeDecayMajorGCCost,0,1.0,1.0,1.0,0
4-wise,1148,151,DisableExplicitGC = 1 AND UseAdaptiveGCBoundary = 1 AND UseAdaptiveSizeDecayMajorGCCost = 1,UseAdaptiveSizeDecayMajorGCCost AND DisableExplicitGC AND UseAdaptiveGCBoundary,0,1.0,1.0,1.0,0
full,193536,24192,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,DisableExplicitGC AND UseAdaptiveSizePolicy AND UseAdaptiveSizePolicyFootprintGoal,0,1.0,1.0,1.0,10
random_2,26,2,DisableExplicitGC = 1 AND UseAdaptiveSizePolicy = 1 AND UseAdaptiveSizePolicyFootprintGoal = 1,MinSurvivorRatio <= 5.5 AND DisableExplicitGC AND NOT TenuredGenerationSizeSupplement_70 AND NOT UseAdaptiveGCBoundary,3,1.0,1.0,1.0,10
