sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,432,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting AND unlimitedWindowSize AND encryption,0,1.0,1.0,1.0,0
random_2,20,3,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,NOT compressionZpaq AND disableCompressibilityTesting AND NOT compressionBzip2 AND level > 6.5,3,0.4,0.5,0.3333333333333333,0
random_5,50,4,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting AND level > 8.5 AND NOT compressionBzip2 AND NOT compressionLrzip,0,0.0,0.0,0.0,0
random_10,100,13,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting AND encryption AND unlimitedWindowSize,3,1.0,1.0,1.0,0
random_20,200,38,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption AND unlimitedWindowSize AND disableCompressibilityTesting,0,1.0,1.0,1.0,0
2-wise,56,6,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND encryption AND disableCompressibilityTesting,2,1.0,1.0,1.0,0
3-wise,154,18,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting AND unlimitedWindowSize AND encryption,1,1.0,1.0,1.0,0
4-wise,303,34,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND disableCompressibilityTesting AND encryption,0,1.0,1.0,1.0,0
full,432,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND encryption AND disableCompressibilityTesting,0,1.0,1.0,1.0,10
random_2,20,2,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,level <= 8.0 AND NOT compressionBzip2,0,0.0,0.0,0.0,10
random_5,50,9,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption AND disableCompressibilityTesting AND unlimitedWindowSize,0,1.0,1.0,1.0,10
random_10,100,9,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting AND encryption AND unlimitedWindowSize,1,1.0,1.0,1.0,10
random_20,200,29,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting AND unlimitedWindowSize AND encryption,0,1.0,1.0,1.0,10
2-wise,58,8,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND encryption AND disableCompressibilityTesting,1,1.0,1.0,1.0,10
3-wise,160,14,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize AND encryption AND disableCompressibilityTesting,0,1.0,1.0,1.0,10
