sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,60000,10000,polly = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,NOT none AND polly_opt_simplify_deps AND polly_parallel,0,1.0,1.0,1.0,0
random_2,46,8,polly = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,NOT polly_opt_simplify_deps AND NOT polly_no_tiling AND pollyrtcmaxparameters <= 3.0 AND pollydefaulttilesize <= 136.0,0,0.0,0.0,0.0,0
random_5,115,18,min = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,polly_no_tiling AND polly_opt_simplify_deps AND min,0,1.0,1.0,1.0,0
random_10,230,30,memory_based = 1 AND none = 1 AND polly_no_tiling = 1,polly_no_tiling AND pollydefaulttilesize > 160.0 AND NOT value_based AND none,4,0.5,1.0,0.3333333333333333,0
random_20,460,63,max = 1 AND polly = 1 AND polly_no_tiling = 1,NOT none AND polly_no_tiling AND NOT min,0,1.0,1.0,1.0,0
2-wise,54,15,min = 1 AND polly_no_tiling = 1 AND polly_parallel = 1,NOT polly_opt_simplify_deps AND pollydefaulttilesize <= 40.0 AND NOT none AND NOT pollyoptmaxconstantterm_1000,0,0.0,0.0,0.0,0
3-wise,257,43,polly_no_tiling = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,NOT pollyoptmaxconstantterm_1000 AND pollyrtcmaxparameters <= 1.5 AND NOT parallel_force AND NOT pollyoptmaxcoefficient_1000,3,0.03125,0.0476190476190476,0.0232558139534883,0
4-wise,943,118,polly = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly AND value_based AND polly_opt_simplify_deps,0,1.0,1.0,1.0,0
full,60000,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,NOT memory_based AND none AND polly_no_tiling,0,1.0,1.0,1.0,10
random_2,46,5,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize <= 40.0 AND pollyrtcmaxparameters > 3.0 AND NOT polly_opt_simplify_deps AND NOT pollyoptmaxcoefficient_1000,4,0.6,0.6,0.6,10
random_5,115,12,none = 1 AND polly_no_tiling = 1 AND value_based = 1,value_based AND none AND polly_no_tiling,1,1.0,1.0,1.0,10
random_10,230,21,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize <= 640.0 AND NOT polly AND NOT memory_based AND polly_no_tiling,0,0.8333333333333333,1.0,0.7142857142857143,10
random_20,460,53,none = 1 AND polly_no_tiling = 1 AND value_based = 1,NOT polly AND value_based AND polly_no_tiling,0,1.0,1.0,1.0,10
2-wise,52,5,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize > 160.0 AND pollyoptmaxconstantterm_1000 AND NOT pollyoptmaxcoefficient_100 AND NOT polly,4,0.5714285714285715,1.0,0.4,10
3-wise,247,33,none = 1 AND polly_no_tiling = 1 AND value_based = 1,NOT polly AND value_based AND polly_no_tiling,0,1.0,1.0,1.0,10
4-wise,960,135,none = 1 AND polly_no_tiling = 1 AND value_based = 1,NOT polly AND value_based AND polly_no_tiling,0,1.0,1.0,1.0,10
full,60000,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly_opt_simplify_deps AND NOT max AND NOT memory_based,0,1.0,1.0,1.0,11
random_2,46,4,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,NOT pollyoptmaxconstantterm_10 AND parallel AND NOT memory_based AND NOT polly_no_tiling,0,0.0,0.0,0.0,11
random_5,115,12,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,max AND pollydefaulttilesize <= 40.0 AND pollyoptmaxconstantterm_100 AND NOT polly_no_tiling,0,0.0,0.0,0.0,11
random_10,230,27,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly_opt_simplify_deps AND NOT max AND value_based,0,1.0,1.0,1.0,11
random_20,460,65,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,value_based AND polly_opt_simplify_deps AND min,0,1.0,1.0,1.0,11
2-wise,60,4,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly AND NOT pollyoptmaxconstantterm_10,0,0.0,0.0,0.0,11
3-wise,250,26,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,value_based AND polly_opt_simplify_deps AND min,0,1.0,1.0,1.0,11
4-wise,952,109,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,value_based AND polly_opt_simplify_deps AND NOT max,0,1.0,1.0,1.0,11
full,60000,10000,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel AND polly_opt_simplify_deps,0,1.0,1.0,1.0,12
random_2,46,6,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,pollyrtcmaxparameters > 1.5 AND pollydefaulttilesize > 160.0,3,0.1818181818181818,0.125,0.3333333333333333,12
random_5,115,19,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,pollyrtcmaxparameters <= 1.5 AND min AND pollyoptmaxcoefficient_10000 AND parallel,2,0.1904761904761905,1.0,0.1052631578947368,12
random_10,230,36,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,polly_opt_simplify_deps AND NOT pollyoptmaxconstantterm_10 AND memory_based AND parallel,1,0.5306122448979591,1.0,0.3611111111111111,12
random_20,460,90,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel AND NOT pollyoptmaxcoefficient_100 AND pollyrtcmaxparameters <= 1.5 AND polly_opt_simplify_deps,0,0.2857142857142857,1.0,0.1666666666666666,12
