sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,216000,27000,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,FrameBoost AND AutoAltRef AND lossless,0,1.0,1.0,1.0,0
random_2,34,3,realtime = 1 AND AutoAltRef = 1 AND FrameBoost = 1,cpuUsed > 5.0 AND lossless AND TileColumns <= 1.5,0,0.0,0.0,0.0,0
random_5,85,6,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,NOT AutoAltRef AND variance,0,0.0,0.0,0.0,0
random_10,170,16,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,off AND NOT AutoAltRef AND Threads > 7.0 AND lagInFrames <= 12.0,0,0.0,0.0,0.0,0
random_20,340,45,good = 1 AND AutoAltRef = 1 AND lossless = 1,AutoAltRef AND FrameBoost AND good AND lossless,0,0.59375,1.0,0.4222222222222222,0
2-wise,52,6,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND Threads <= 7.0 AND NOT variableBitrate,4,0.4,0.3333333333333333,0.5,0
3-wise,242,33,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,lossless,3,0.4150943396226415,0.2619047619047619,1.0,0
4-wise,947,119,good = 1 AND lossless = 1 AND FrameBoost = 1,cpuUsed > 1.0,0,0.2242562929061784,0.1298013245033112,0.8235294117647058,0
full,216000,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,AutoAltRef AND lossless AND realtime,0,1.0,1.0,1.0,10
random_2,34,4,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,Threads > 3.0 AND TileColumns > 4.5 AND cyclicRefresh AND NOT realtime,0,0.0,0.0,0.0,10
random_5,85,9,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,lagInFrames > 4.0 AND cpuUsed <= 1.0 AND lagInFrames > 12.0 AND good,0,0.0,0.0,0.0,10
random_10,170,19,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,cpuUsed > 1.0 AND Threads > 3.0 AND bitRate > 1350.0 AND Threads > 7.0,0,0.0,0.0,0.0,10
random_20,340,32,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,Threads <= 7.0 AND NOT FrameBoost,4,0.1884057971014492,0.1226415094339622,0.40625,10
2-wise,51,3,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,cyclicRefresh AND lagInFrames > 4.0 AND NOT variableBitrate AND NOT FrameBoost,0,0.0,0.0,0.0,10
3-wise,244,35,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime,2,0.4430379746835443,0.2845528455284553,1.0,10
4-wise,945,118,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,lossless,0,0.3926788685524127,0.2443064182194617,1.0,10
full,216000,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,AutoAltRef AND NOT good AND lossless,0,1.0,1.0,1.0,11
random_2,34,8,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,off AND Threads <= 9.0 AND cpuUsed > 5.0 AND lossless,0,0.4,1.0,0.25,11
random_5,85,15,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,NOT good AND Threads > 7.0 AND NOT complexity AND AutoAltRef,4,0.4761904761904761,0.8333333333333334,0.3333333333333333,11
random_10,170,18,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,Threads <= 3.0 AND NOT constrainedQuality AND bitRate <= 750.0,0,0.0,0.0,0.0,11
random_20,340,48,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,lossless,4,0.4085106382978723,0.2566844919786096,1.0,11
2-wise,51,7,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,cpuUsed <= 7.0 AND NOT AutoAltRef AND lagInFrames > 4.0 AND NOT off,0,0.0,0.0,0.0,11
3-wise,241,25,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,lagInFrames <= 12.0 AND Threads > 5.0 AND off AND AutoAltRef,1,0.2857142857142856,0.3529411764705882,0.24,11
4-wise,939,128,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,AutoAltRef AND NOT good AND lossless,0,1.0,1.0,1.0,11
full,216000,27000,realtime = 1 AND lossless = 1 AND FrameBoost = 1,lossless AND NOT good AND FrameBoost,0,1.0,1.0,1.0,12
random_2,34,1,realtime = 1 AND lossless = 1 AND FrameBoost = 1,bitRate > 1350.0 AND TileColumns > 1.5 AND Threads > 3.0 AND NOT AutoAltRef,0,0.0,0.0,0.0,12
random_5,85,7,realtime = 1 AND lossless = 1 AND FrameBoost = 1,cpuUsed > 5.0 AND FrameBoost AND NOT good AND NOT constantBitrate,4,0.4444444444444445,1.0,0.2857142857142857,12
random_10,170,22,realtime = 1 AND lossless = 1 AND FrameBoost = 1,NOT realtime AND TileColumns <= 1.5 AND Threads <= 7.0,0,0.0,0.0,0.0,12
