sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,1152,144,no_8x8dct = 1 AND no_cabac = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_cabac AND no_8x8dct,0,1.0,1.0,1.0,0
random_2,18,3,no_cabac = 1 AND no_deblock = 1 AND no_fast_pskip = 1,ref <= 3.0 AND rc_lookahead <= 50.0 AND no_deblock,4,0.8,1.0,0.6666666666666666,0
random_5,45,4,no_deblock = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_fast_pskip AND no_mbtree AND NOT no_8x8dct AND rc_lookahead > 30.0,0,0.0,0.0,0.0,0
random_10,90,13,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_fast_pskip AND no_8x8dct AND no_mixed_refs,0,1.0,1.0,1.0,0
random_20,180,27,no_8x8dct = 1 AND no_deblock = 1 AND no_weightb = 1,no_weightb AND NOT no_fast_pskip,2,0.4266666666666667,0.3333333333333333,0.5925925925925926,0
2-wise,19,3,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_weightb = 1,no_fast_pskip AND no_weightb AND rc_lookahead <= 50.0,4,0.8571428571428571,0.75,1.0,0
3-wise,43,4,no_8x8dct = 1 AND no_cabac = 1 AND no_fast_pskip = 1,ref > 3.0 AND no_8x8dct AND NOT no_mixed_refs AND no_fast_pskip,4,0.5714285714285715,0.6666666666666666,0.5,0
4-wise,94,13,no_deblock = 1 AND no_mixed_refs = 1 AND no_weightb = 1,NOT no_fast_pskip,4,0.2903225806451613,0.1836734693877551,0.6923076923076923,0
full,1152,144,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_fast_pskip AND no_mixed_refs AND no_mbtree,0,1.0,1.0,1.0,10
random_5,45,8,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mixed_refs AND no_mbtree,1,0.8,0.6666666666666666,1.0,10
random_10,90,14,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mbtree AND no_fast_pskip AND no_mixed_refs,0,1.0,1.0,1.0,10
random_20,180,23,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mbtree AND no_fast_pskip AND no_mixed_refs,0,1.0,1.0,1.0,10
2-wise,16,2,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_fast_pskip AND rc_lookahead <= 30.0 AND no_weightb,1,0.5,0.5,0.5,10
3-wise,44,11,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_fast_pskip AND no_mbtree AND rc_lookahead > 30.0 AND NOT no_weightb,1,0.761904761904762,0.8,0.7272727272727273,10
4-wise,98,15,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,rc_lookahead > 30.0 AND no_mixed_refs AND no_fast_pskip AND no_mbtree,1,0.6956521739130436,1.0,0.5333333333333333,10
full,1152,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_fast_pskip AND no_mixed_refs AND no_8x8dct,0,1.0,1.0,1.0,11
random_2,18,5,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_mixed_refs AND NOT no_mbtree AND rc_lookahead > 30.0 AND ref > 7.0,3,0.6666666666666665,0.75,0.6,11
random_5,45,6,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_weightb AND no_cabac AND NOT no_deblock,3,0.6666666666666666,1.0,0.5,11
random_10,90,10,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,rc_lookahead <= 50.0 AND no_8x8dct AND no_fast_pskip AND no_deblock,2,0.6666666666666665,0.75,0.6,11
random_20,180,28,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct AND no_mixed_refs AND no_fast_pskip,0,1.0,1.0,1.0,11
2-wise,14,3,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_weightb AND ref > 7.0 AND no_8x8dct,2,0.8,1.0,0.6666666666666666,11
