sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,13485,1872,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,pixelPerThread==3 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,0
random_2,62,8,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,Array2D==0 AND padding==128 AND Ldg==0 AND bs_128x1==0,0,0.0,0.0,0.0,0
random_5,155,28,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Array2D==0 AND pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,0
random_10,310,58,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Ldg==1,0,1.0,1.0,1.0,0
random_20,620,78,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread==4 AND OpenCL==0 AND TextureMemory==1,2,1.0,1.0,1.0,0
2-wise,380,73,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Array2D==0 AND CUDA==1 AND Linear2D==1,0,1.0,1.0,1.0,0
3-wise,2039,206,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND LocalMemory==1 AND OpenCL==0,0,1.0,1.0,1.0,0
4-wise,6771,1191,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,pixelPerThread==2 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,0
full,13485,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,10
random_2,62,8,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA==1 AND pixelPerThread==1 AND OpenCL==0 AND TextureMemory==1,0,1.0,1.0,1.0,10
random_5,155,30,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA==1 AND pixelPerThread==1 AND TextureMemory==1 AND bs_128x1==0,0,1.0,1.0,1.0,10
