sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,1024,128,inline = 1 AND licm = 1 AND sccp = 1,ipsccp==1 AND print_used_types==0 AND sccp==0 AND simplifycfg==0,0,0.0,0.0,0.0,0
random_2,20,2,gvn = 1 AND iv_users = 1 AND print_used_types = 1,inline==1 AND print_used_types==0,0,0.0,0.0,0.0,0
random_5,50,5,iv_users = 1 AND licm = 1 AND simplifycfg = 1,inline==0 AND jump_threading==0 AND licm==0 AND sccp==1,0,0.0,0.0,0.0,0
random_10,100,15,ipsccp = 1 AND iv_users = 1 AND sccp = 1,ipsccp==0 AND iv_users==0 AND print_used_types==1 AND simplifycfg==0,0,0.0,0.0,0.0,0
random_20,200,25,gvn = 1 AND licm = 1 AND print_used_types = 1,gvn==0 AND iv_users==0 AND jump_threading==1,0,0.0,0.0,0.0,0
2-wise,12,1,gvn = 1 AND inline = 1 AND print_used_types = 1,gvn==0 AND ipsccp==1 AND print_used_types==1 AND sccp==0,0,0.0,0.0,0.0,0
3-wise,34,4,inline = 1 AND iv_users = 1 AND licm = 1,ipsccp==0 AND licm==0 AND print_used_types==0 AND simplifycfg==0,0,0.0,0.0,0.0,0
4-wise,63,7,instcombine = 1 AND iv_users = 1 AND print_used_types = 1,gvn==0 AND ipsccp==0 AND jump_threading==1 AND simplifycfg==0,0,0.0,0.0,0.0,0
full,1024,128,inline = 1 AND ipsccp = 1 AND licm = 1,gvn==1 AND inline==0 AND licm==1 AND simplifycfg==1,0,0.0,0.0,0.0,10
random_2,20,1,inline = 1 AND ipsccp = 1 AND licm = 1,inline==0 AND instcombine==0 AND jump_threading==1,0,0.0,0.0,0.0,10
random_5,50,9,inline = 1 AND ipsccp = 1 AND licm = 1,print_used_types==0 AND sccp==0,0,0.0,0.0,0.0,10
random_10,100,12,inline = 1 AND ipsccp = 1 AND licm = 1,gvn==1 AND inline==0 AND instcombine==1 AND ipsccp==1,0,0.0,0.0,0.0,10
random_20,200,24,inline = 1 AND ipsccp = 1 AND licm = 1,inline==0 AND jump_threading==0 AND print_used_types==1 AND sccp==0,0,0.0,0.0,0.0,10
2-wise,12,1,inline = 1 AND ipsccp = 1 AND licm = 1,sccp==0 AND simplifycfg==1,0,0.0,0.0,0.0,10
3-wise,28,3,inline = 1 AND ipsccp = 1 AND licm = 1,gvn==1 AND inline==0 AND ipsccp==0,0,0.0,0.0,0.0,10
4-wise,62,9,inline = 1 AND ipsccp = 1 AND licm = 1,gvn==0 AND inline==0 AND ipsccp==0 AND sccp==0,0,0.0,0.0,0.0,10
full,1024,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,gvn==0 AND ipsccp==0 AND licm==1 AND simplifycfg==0,0,0.0,0.0,0.0,11
random_2,20,2,ipsccp = 1 AND licm = 1 AND print_used_types = 1,iv_users==0 AND print_used_types==0,0,0.0,0.0,0.0,11
random_5,50,2,ipsccp = 1 AND licm = 1 AND print_used_types = 1,gvn==0 AND instcombine==1 AND iv_users==0 AND simplifycfg==0,0,0.0,0.0,0.0,11
random_10,100,7,ipsccp = 1 AND licm = 1 AND print_used_types = 1,instcombine==0 AND licm==1 AND simplifycfg==0,1,0.0909090909090909,0.0666666666666666,0.1428571428571428,11
random_20,200,23,ipsccp = 1 AND licm = 1 AND print_used_types = 1,instcombine==1 AND ipsccp==0 AND licm==1 AND sccp==1,0,0.0,0.0,0.0,11
2-wise,10,3,ipsccp = 1 AND licm = 1 AND print_used_types = 1,gvn==0 AND inline==1 AND instcombine==1,0,0.0,0.0,0.0,11
3-wise,32,7,ipsccp = 1 AND licm = 1 AND print_used_types = 1,instcombine==0 AND iv_users==1 AND sccp==0 AND simplifycfg==0,0,0.0,0.0,0.0,11
4-wise,70,12,ipsccp = 1 AND licm = 1 AND print_used_types = 1,gvn==0 AND ipsccp==0 AND print_used_types==1 AND simplifycfg==0,0,0.0,0.0,0.0,11
full,1024,128,gvn = 1 AND licm = 1 AND sccp = 1,gvn==1 AND licm==1 AND sccp==1,0,1.0,1.0,1.0,12
random_2,20,4,gvn = 1 AND licm = 1 AND sccp = 1,jump_threading==0 AND print_used_types==1,0,0.6,0.5,0.75,12
random_5,50,3,gvn = 1 AND licm = 1 AND sccp = 1,gvn==0 AND licm==1 AND simplifycfg==0,0,0.0,0.0,0.0,12
random_10,100,13,gvn = 1 AND licm = 1 AND sccp = 1,inline==1 AND ipsccp==1 AND simplifycfg==1,2,0.0952380952380952,0.125,0.0769230769230769,12
random_20,200,28,gvn = 1 AND licm = 1 AND sccp = 1,gvn==1 AND licm==1 AND sccp==1,3,1.0,1.0,1.0,12
2-wise,14,1,gvn = 1 AND licm = 1 AND sccp = 1,inline==1 AND ipsccp==1,0,0.0,0.0,0.0,12
3-wise,31,4,gvn = 1 AND licm = 1 AND sccp = 1,ipsccp==1 AND licm==0 AND print_used_types==0 AND sccp==0,0,0.0,0.0,0.0,12
4-wise,62,11,gvn = 1 AND licm = 1 AND sccp = 1,ipsccp==1 AND iv_users==0 AND sccp==1,1,0.3157894736842105,0.375,0.2727272727272727,12
full,1024,128,inline = 1 AND iv_users = 1 AND simplifycfg = 1,gvn==1 AND inline==1 AND ipsccp==1 AND iv_users==1,1,0.3333333333333333,0.5,0.25,13
random_2,20,1,inline = 1 AND iv_users = 1 AND simplifycfg = 1,iv_users==0 AND jump_threading==1 AND licm==0,0,0.0,0.0,0.0,13
random_5,50,9,inline = 1 AND iv_users = 1 AND simplifycfg = 1,instcombine==1 AND licm==1 AND print_used_types==1,2,0.1176470588235294,0.125,0.1111111111111111,13
random_10,100,18,inline = 1 AND iv_users = 1 AND simplifycfg = 1,gvn==0 AND jump_threading==0 AND print_used_types==0,1,0.0689655172413793,0.0909090909090909,0.0555555555555555,13
random_20,200,18,inline = 1 AND iv_users = 1 AND simplifycfg = 1,gvn==0 AND inline==0 AND sccp==1 AND simplifycfg==0,0,0.0,0.0,0.0,13
2-wise,12,2,inline = 1 AND iv_users = 1 AND simplifycfg = 1,gvn==0 AND inline==1 AND iv_users==1,0,0.0,0.0,0.0,13
3-wise,27,4,inline = 1 AND iv_users = 1 AND simplifycfg = 1,instcombine==0 AND ipsccp==1 AND print_used_types==0 AND simplifycfg==1,4,0.25,0.25,0.25,13
4-wise,63,8,inline = 1 AND iv_users = 1 AND simplifycfg = 1,gvn==0 AND ipsccp==1 AND licm==1 AND simplifycfg==0,0,0.0,0.0,0.0,13
full,1024,128,gvn = 1 AND inline = 1 AND simplifycfg = 1,inline==0 AND instcombine==0 AND ipsccp==0 AND jump_threading==1,0,0.0,0.0,0.0,14
random_2,20,3,gvn = 1 AND inline = 1 AND simplifycfg = 1,gvn==0 AND inline==1 AND licm==0 AND print_used_types==0,0,0.0,0.0,0.0,14
random_5,50,3,gvn = 1 AND inline = 1 AND simplifycfg = 1,ipsccp==0 AND jump_threading==0 AND print_used_types==1 AND sccp==0,0,0.0,0.0,0.0,14
random_10,100,15,gvn = 1 AND inline = 1 AND simplifycfg = 1,ipsccp==0 AND jump_threading==0 AND sccp==1 AND simplifycfg==0,0,0.0,0.0,0.0,14
random_20,200,25,gvn = 1 AND inline = 1 AND simplifycfg = 1,inline==0 AND iv_users==1 AND print_used_types==1 AND sccp==0,0,0.0,0.0,0.0,14
2-wise,13,1,gvn = 1 AND inline = 1 AND simplifycfg = 1,ipsccp==1 AND iv_users==0 AND jump_threading==0,0,0.0,0.0,0.0,14
3-wise,27,3,gvn = 1 AND inline = 1 AND simplifycfg = 1,ipsccp==0 AND jump_threading==1 AND sccp==0 AND simplifycfg==0,0,0.0,0.0,0.0,14
4-wise,63,10,gvn = 1 AND inline = 1 AND simplifycfg = 1,gvn==1 AND inline==0 AND ipsccp==1 AND licm==1,0,0.0,0.0,0.0,14
full,1024,128,iv_users = 1 AND jump_threading = 1 AND sccp = 1,iv_users==1 AND jump_threading==1 AND sccp==1,0,1.0,1.0,1.0,15
random_2,20,1,iv_users = 1 AND jump_threading = 1 AND sccp = 1,inline==0 AND iv_users==0 AND licm==1,0,0.0,0.0,0.0,15
random_5,50,7,iv_users = 1 AND jump_threading = 1 AND sccp = 1,instcombine==0 AND ipsccp==0 AND jump_threading==1 AND licm==0,0,0.5,0.6,0.4285714285714285,15
random_10,100,9,iv_users = 1 AND jump_threading = 1 AND sccp = 1,inline==1 AND simplifycfg==1,1,0.16,0.125,0.2222222222222222,15
random_20,200,26,iv_users = 1 AND jump_threading = 1 AND sccp = 1,iv_users==1 AND jump_threading==1 AND sccp==1,0,1.0,1.0,1.0,15
2-wise,12,3,iv_users = 1 AND jump_threading = 1 AND sccp = 1,gvn==1 AND jump_threading==1,4,0.8571428571428571,0.75,1.0,15
3-wise,27,3,iv_users = 1 AND jump_threading = 1 AND sccp = 1,gvn==0 AND licm==0 AND simplifycfg==1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,15
4-wise,65,8,iv_users = 1 AND jump_threading = 1 AND sccp = 1,instcombine==1 AND sccp==0 AND simplifycfg==0,0,0.0,0.0,0.0,15
full,1024,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp==1 AND jump_threading==1 AND print_used_types==0 AND sccp==1,0,0.0,0.0,0.0,16
random_2,20,1,ipsccp = 1 AND licm = 1 AND print_used_types = 1,gvn==1 AND licm==0 AND simplifycfg==1,0,0.0,0.0,0.0,16
random_5,50,5,ipsccp = 1 AND licm = 1 AND print_used_types = 1,inline==0 AND jump_threading==0 AND simplifycfg==0,4,0.1538461538461538,0.125,0.2,16
random_10,100,12,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp==1 AND licm==1 AND print_used_types==0 AND simplifycfg==1,0,0.0,0.0,0.0,16
random_20,200,31,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp==1 AND licm==1 AND print_used_types==0 AND sccp==0,0,0.0,0.0,0.0,16
2-wise,9,1,ipsccp = 1 AND licm = 1 AND print_used_types = 1,instcombine==1 AND ipsccp==0 AND sccp==1,0,0.0,0.0,0.0,16
3-wise,26,4,ipsccp = 1 AND licm = 1 AND print_used_types = 1,gvn==0 AND iv_users==1 AND simplifycfg==1,0,0.0,0.0,0.0,16
4-wise,64,7,ipsccp = 1 AND licm = 1 AND print_used_types = 1,instcombine==1 AND iv_users==1 AND jump_threading==0,4,0.1428571428571428,0.1428571428571428,0.1428571428571428,16
full,1024,128,inline = 1 AND jump_threading = 1 AND print_used_types = 1,inline==1 AND jump_threading==1 AND print_used_types==1,0,1.0,1.0,1.0,17
random_5,50,10,inline = 1 AND jump_threading = 1 AND print_used_types = 1,inline==1 AND jump_threading==1 AND licm==0,0,0.8000000000000002,0.8,0.8,17
random_10,100,16,inline = 1 AND jump_threading = 1 AND print_used_types = 1,inline==1 AND jump_threading==1 AND print_used_types==1,0,1.0,1.0,1.0,17
random_20,200,27,inline = 1 AND jump_threading = 1 AND print_used_types = 1,inline==1 AND jump_threading==1 AND print_used_types==1,0,1.0,1.0,1.0,17
2-wise,11,2,inline = 1 AND jump_threading = 1 AND print_used_types = 1,gvn==1 AND inline==1 AND sccp==1,0,0.5,0.5,0.5,17
3-wise,29,1,inline = 1 AND jump_threading = 1 AND print_used_types = 1,gvn==0 AND inline==1 AND simplifycfg==1,0,0.5,0.3333333333333333,1.0,17
4-wise,68,11,inline = 1 AND jump_threading = 1 AND print_used_types = 1,inline==1 AND jump_threading==1 AND print_used_types==1,0,1.0,1.0,1.0,17
full,1024,128,instcombine = 1 AND iv_users = 1 AND simplifycfg = 1,instcombine==0 AND sccp==0,0,0.0,0.0,0.0,18
random_2,20,2,instcombine = 1 AND iv_users = 1 AND simplifycfg = 1,instcombine==0 AND iv_users==1 AND licm==0 AND simplifycfg==0,0,0.0,0.0,0.0,18
random_5,50,3,instcombine = 1 AND iv_users = 1 AND simplifycfg = 1,inline==0 AND ipsccp==0 AND iv_users==1,0,0.0,0.0,0.0,18
random_10,100,15,instcombine = 1 AND iv_users = 1 AND simplifycfg = 1,inline==0 AND instcombine==0 AND licm==1,0,0.0,0.0,0.0,18
random_20,200,26,instcombine = 1 AND iv_users = 1 AND simplifycfg = 1,instcombine==1 AND ipsccp==1 AND iv_users==0 AND print_used_types==1,0,0.0,0.0,0.0,18
2-wise,13,2,instcombine = 1 AND iv_users = 1 AND simplifycfg = 1,iv_users==0 AND sccp==1 AND simplifycfg==0,0,0.0,0.0,0.0,18
3-wise,26,4,instcombine = 1 AND iv_users = 1 AND simplifycfg = 1,instcombine==1 AND licm==1 AND print_used_types==1,0,0.0,0.0,0.0,18
4-wise,64,5,instcombine = 1 AND iv_users = 1 AND simplifycfg = 1,instcombine==1 AND iv_users==0 AND print_used_types==0 AND sccp==1,0,0.0,0.0,0.0,18
full,1024,128,ipsccp = 1 AND jump_threading = 1 AND licm = 1,inline==0 AND licm==0 AND sccp==0 AND simplifycfg==1,0,0.0,0.0,0.0,19
random_2,20,2,ipsccp = 1 AND jump_threading = 1 AND licm = 1,instcombine==0 AND simplifycfg==0,0,0.0,0.0,0.0,19
random_5,50,8,ipsccp = 1 AND jump_threading = 1 AND licm = 1,gvn==1 AND inline==0 AND iv_users==1 AND jump_threading==1,0,0.0,0.0,0.0,19
random_10,100,15,ipsccp = 1 AND jump_threading = 1 AND licm = 1,inline==1 AND iv_users==1 AND sccp==1,2,0.125,0.1176470588235294,0.1333333333333333,19
random_20,200,23,ipsccp = 1 AND jump_threading = 1 AND licm = 1,gvn==0 AND inline==0 AND sccp==1,3,0.0888888888888888,0.0909090909090909,0.0869565217391304,19
2-wise,12,1,ipsccp = 1 AND jump_threading = 1 AND licm = 1,ipsccp==1 AND iv_users==1,0,0.0,0.0,0.0,19
3-wise,29,2,ipsccp = 1 AND jump_threading = 1 AND licm = 1,iv_users==0 AND licm==0 AND simplifycfg==0,0,0.0,0.0,0.0,19
4-wise,59,8,ipsccp = 1 AND jump_threading = 1 AND licm = 1,instcombine==0 AND iv_users==1 AND licm==0,0,0.0,0.0,0.0,19
