sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,60000,10000,min = 1 AND parallel_force = 1 AND polly_parallel = 1,parallel_force==0,0,0.0,0.0,0.0,0
random_2,46,3,max = 1 AND polly = 1 AND polly_no_tiling = 1,pollyoptmaxcoefficient_10==0 AND polly_opt_simplify_deps==1,0,0.0,0.0,0.0,0
random_5,115,10,max = 1 AND memory_based = 1 AND polly_no_tiling = 1,pollyoptmaxcoefficient_1==0 AND pollyoptmaxcoefficient_10==0 AND pollyoptmaxconstantterm_1000==0 AND min==1,0,0.0,0.0,0.0,0
random_10,230,20,polly_no_tiling = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyoptmaxconstantterm_1000==0 AND polly_no_tiling==0 AND polly_opt_simplify_deps==0,0,0.0,0.0,0.0,0
random_20,460,78,none = 1 AND polly_parallel = 1 AND value_based = 1,pollyoptmaxcoefficient_1000==0 AND pollyoptmaxconstantterm_10000==0 AND value_based==0 AND polly_parallel==1,0,0.0,0.0,0.0,0
2-wise,54,5,max = 1 AND memory_based = 1 AND none = 1,pollyoptmaxcoefficient_100==0 AND pollyoptmaxconstantterm_1==0 AND value_based==1,0,0.0,0.0,0.0,0
3-wise,257,33,max = 1 AND polly_no_tiling = 1 AND value_based = 1,value_based==0 AND polly_opt_simplify_deps==1 AND polly_parallel==1,0,0.0,0.0,0.0,0
4-wise,943,125,memory_based = 1 AND min = 1 AND polly_opt_simplify_deps = 1,pollyoptmaxconstantterm_1==0 AND pollyoptmaxconstantterm_100==0 AND min==0,0,0.0,0.0,0.0,0
full,60000,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,value_based==0,0,0.0,0.0,0.0,10
random_2,46,5,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollyoptmaxconstantterm_100==0 AND pollyoptmaxconstantterm_10000==0 AND polly_no_tiling==0,0,0.0,0.0,0.0,10
random_5,115,12,none = 1 AND polly_no_tiling = 1 AND value_based = 1,polly_no_tiling==0 AND polly_parallel==1,0,0.0,0.0,0.0,10
