sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,1152,144,no_8x8dct = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_8x8dct==1 AND no_mixed_refs==1 AND no_weightb==1,0,1.0,1.0,1.0,0
random_5,45,7,no_8x8dct = 1 AND no_deblock = 1 AND no_mbtree = 1,no_deblock==0 AND no_mixed_refs==1 AND rc_lookahead==40,0,0.0,0.0,0.0,0
random_10,90,13,no_deblock = 1 AND no_fast_pskip = 1 AND no_weightb = 1,no_deblock==1 AND no_fast_pskip==1 AND no_weightb==1,0,1.0,1.0,1.0,0
random_20,180,21,no_8x8dct = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_8x8dct==1 AND no_mixed_refs==1 AND no_weightb==1,0,1.0,1.0,1.0,0
2-wise,19,3,no_cabac = 1 AND no_mixed_refs = 1 AND no_weightb = 1,no_8x8dct==0 AND no_cabac==1 AND no_deblock==1,0,0.0,0.0,0.0,0
3-wise,43,4,no_deblock = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_deblock==1 AND no_fast_pskip==1 AND no_mixed_refs==1,0,1.0,1.0,1.0,0
4-wise,94,11,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1,no_8x8dct==0 AND no_mbtree==1 AND no_weightb==1 AND ref==9,0,0.0,0.0,0.0,0
full,1152,144,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct==0 AND no_deblock==0 AND no_fast_pskip==0,0,0.0,0.0,0.0,10
random_5,45,8,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_cabac==1 AND no_weightb==0 AND rc_lookahead==20 AND ref==5,0,0.0,0.0,0.0,10
random_10,90,14,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct==1 AND no_deblock==1 AND no_weightb==1 AND ref==5,0,0.0,0.0,0.0,10
random_20,180,23,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct==0 AND no_deblock==0 AND no_fast_pskip==0 AND no_mbtree==1,0,0.0,0.0,0.0,10
2-wise,16,2,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_fast_pskip==0 AND no_mbtree==1,0,0.0,0.0,0.0,10
3-wise,44,11,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mbtree==0 AND no_weightb==1 AND rc_lookahead==60 AND ref==5,0,0.0,0.0,0.0,10
4-wise,98,15,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct==0 AND no_cabac==0 AND no_deblock==0 AND rc_lookahead==60,0,0.0,0.0,0.0,10
full,1152,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==1 AND no_fast_pskip==1 AND no_mixed_refs==1,0,1.0,1.0,1.0,11
random_2,18,5,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==1 AND rc_lookahead==40,1,0.7272727272727272,0.6666666666666666,0.8,11
random_5,45,6,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==1 AND no_cabac==0 AND no_weightb==0 AND rc_lookahead==40,4,0.4615384615384615,0.4285714285714285,0.5,11
random_10,90,10,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_deblock==0 AND no_fast_pskip==0 AND no_weightb==0 AND rc_lookahead==20,0,0.0,0.0,0.0,11
random_20,180,28,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==1 AND no_fast_pskip==1 AND no_mixed_refs==1,0,1.0,1.0,1.0,11
2-wise,14,3,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_cabac==0 AND rc_lookahead==60,0,0.0,0.0,0.0,11
3-wise,41,6,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==1 AND no_fast_pskip==1 AND no_mixed_refs==1,2,1.0,1.0,1.0,11
4-wise,111,12,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_cabac==0 AND no_fast_pskip==1 AND no_weightb==0 AND rc_lookahead==40,2,0.2222222222222222,0.3333333333333333,0.1666666666666666,11
full,1152,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac==1 AND no_deblock==1 AND no_mixed_refs==1,0,1.0,1.0,1.0,12
random_2,18,2,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_8x8dct==0 AND no_deblock==1 AND no_mbtree==0,0,0.0,0.0,0.0,12
random_5,45,7,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_mbtree==0 AND rc_lookahead==40 AND ref==5,0,0.0,0.0,0.0,12
random_10,90,7,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_deblock==1 AND no_fast_pskip==1 AND no_mixed_refs==1 AND ref==1,2,0.1538461538461538,0.1666666666666666,0.1428571428571428,12
random_20,180,12,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_fast_pskip==0 AND no_mbtree==1 AND no_weightb==1 AND ref==9,2,0.1,0.125,0.0833333333333333,12
2-wise,18,1,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_8x8dct==0 AND no_fast_pskip==0 AND no_mbtree==0,0,0.0,0.0,0.0,12
3-wise,40,4,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac==1 AND rc_lookahead==60 AND ref==9,0,0.0,0.0,0.0,12
4-wise,96,14,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_deblock==1 AND no_fast_pskip==1 AND no_weightb==0,3,0.2727272727272727,0.375,0.2142857142857142,12
full,1152,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==1 AND no_deblock==1 AND no_fast_pskip==0,0,0.0,0.0,0.0,13
random_2,18,1,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_deblock==0 AND no_mbtree==1 AND no_weightb==0,0,0.0,0.0,0.0,13
random_5,45,10,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==0 AND no_deblock==0 AND no_mbtree==1 AND no_weightb==1,0,0.0,0.0,0.0,13
random_10,90,9,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==0 AND no_cabac==0 AND no_deblock==0 AND no_fast_pskip==0,0,0.0,0.0,0.0,13
random_20,180,26,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_cabac==0 AND no_mbtree==0 AND no_weightb==1 AND ref==9,3,0.0588235294117647,0.125,0.0384615384615384,13
2-wise,19,2,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==0 AND no_deblock==0 AND no_mbtree==0 AND no_mixed_refs==0,0,0.0,0.0,0.0,13
3-wise,45,3,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_cabac==1 AND no_deblock==1 AND no_fast_pskip==0 AND no_mixed_refs==1,0,0.0,0.0,0.0,13
4-wise,106,16,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct==0 AND no_deblock==0 AND no_weightb==0 AND ref==5,0,0.0,0.0,0.0,13
full,1152,144,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_cabac==0 AND no_deblock==1 AND no_mixed_refs==1 AND no_weightb==0,0,0.0,0.0,0.0,14
random_2,18,4,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_mixed_refs==1 AND rc_lookahead==20,1,0.2857142857142857,0.3333333333333333,0.25,14
random_5,45,7,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_8x8dct==0 AND no_mixed_refs==0 AND rc_lookahead==20,2,0.1538461538461538,0.1666666666666666,0.1428571428571428,14
random_10,90,10,no_cabac = 1 AND no_deblock = 1 AND no_mbtree = 1,no_cabac==0 AND no_deblock==1 AND no_fast_pskip==1,0,0.0,0.0,0.0,14
