n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
10000,10,46596.472211815024,1563,X_4==0 AND X_6==1 AND X_8==1 AND X_3==1,X_3==1 AND X_4==0 AND X_6==1 AND X_8==1,0,1.0,1.0,1.0,0,0.5567188262939453
10000,25,35105.93222587768,1073,X_2==8 AND X_11==0 AND X_3==4 AND X_14==1,X_11==0 AND X_14==1 AND X_2==8 AND X_3==4,0,1.0,1.0,1.0,0,4282.4616911411285
10000,50,38208.327044381054,1221,X_15==1 AND X_44==0 AND X_42==1 AND X_9==1,X_15==1 AND X_42==1 AND X_44==0 AND X_9==1,0,1.0,1.0,1.0,0,8939.30404806137
10000,10,24825.183591834582,1562,X_9==0 AND X_3==0 AND X_7==1 AND X_8==1,X_9==1,0,0.0,0.0,0.0,1,7.253697395324707
10000,25,33025.5674413126,1561,X_16==0 AND X_11==0 AND X_8==1 AND X_20==0,X_16==1 AND X_20==1 AND X_3==1 AND X_4==8 AND X_5==1,0,0.0,0.0,0.0,1,7108.263773441315
10000,10,30702.79330721619,1225,X_0==1 AND X_4==0 AND X_8==0 AND X_3==1,X_1==8 AND X_2==1 AND X_4==0 AND X_5==1 AND X_7==0 AND X_8==1 AND X_9==0,0,0.0,0.0,0.0,10,8.529486894607544
10000,25,31029.190217772997,1235,X_22==1 AND X_4==8 AND X_6==0 AND X_13==1,X_12==1 AND X_13==0 AND X_16==1 AND X_17==1 AND X_1==8 AND X_23==0 AND X_6==0 AND X_8==1,0,0.0,0.0,0.0,10,7213.7357432842255
10000,50,41224.514091600126,1516,X_28==1 AND X_39==0 AND X_31==1 AND X_13==1,X_13==1 AND X_28==1 AND X_31==1 AND X_39==0,0,1.0,1.0,1.0,10,977.9294097423552
10000,10,43874.51322743659,1583,X_3==1 AND X_7==1 AND X_9==0 AND X_2==0,X_2==0 AND X_3==1 AND X_7==1 AND X_9==0,0,1.0,1.0,1.0,11,0.6383457183837891
10000,25,36541.80401444934,1089,X_4==8 AND X_13==0 AND X_2==8 AND X_18==1,X_13==0 AND X_18==1 AND X_2==8 AND X_4==8,0,1.0,1.0,1.0,11,1334.0675115585327
10000,10,48383.07386492368,1078,X_0==4 AND X_9==1 AND X_1==2 AND X_4==0,X_0==4 AND X_1==2 AND X_4==0 AND X_9==1,0,1.0,1.0,1.0,12,3.117462396621704
10000,25,31977.977140570743,1232,X_0==16 AND X_6==0 AND X_17==0 AND X_22==0,X_0==1 AND X_13==0 AND X_20==0 AND X_21==1 AND X_23==1 AND X_5==1 AND X_6==0 AND X_9==0,0,0.0,0.0,0.0,12,6905.54913687706
10000,10,23792.16526454451,1569,X_2==0 AND X_3==0 AND X_8==0 AND X_7==0,X_7==1,0,0.0,0.0,0.0,13,6.309763908386231
10000,25,44603.91464576772,1212,X_16==0 AND X_21==0 AND X_4==1 AND X_20==1,X_16==0 AND X_20==1 AND X_21==0 AND X_4==1,0,1.0,1.0,1.0,13,13.554126262664797
10000,50,40390.14241984587,1549,X_33==0 AND X_39==0 AND X_15==0 AND X_43==0,X_15==0 AND X_33==0 AND X_39==0 AND X_43==0,0,1.0,1.0,1.0,13,1501.78280377388
10000,10,34737.515519483706,1255,X_1==2 AND X_4==1 AND X_9==0 AND X_8==1,X_1==2 AND X_4==1 AND X_8==1 AND X_9==0,0,1.0,1.0,1.0,14,8.262002229690552
10000,25,32606.96105145809,1082,X_2==8 AND X_4==1 AND X_11==0 AND X_13==1,X_13==0 AND X_17==0 AND X_1==16 AND X_21==0 AND X_22==1 AND X_24==0 AND X_5==1 AND X_6==0,0,0.0,0.0,0.0,14,7740.738226890564
10000,10,38351.98400362503,1108,X_4==1 AND X_0==1 AND X_3==1 AND X_1==8,X_0==1 AND X_1==8 AND X_3==1 AND X_4==1,0,1.0,1.0,1.0,15,1.1120474338531494
10000,25,35818.10611190603,1194,X_23==1 AND X_14==0 AND X_1==16 AND X_11==0,X_11==0 AND X_14==0 AND X_1==16 AND X_23==1,0,1.0,1.0,1.0,15,2263.383314609528
10000,10,36474.7356760182,1520,X_6==0 AND X_7==0 AND X_5==0 AND X_8==1,X_5==0 AND X_6==0 AND X_7==0 AND X_8==1,0,1.0,1.0,1.0,16,4.941774606704712
10000,25,34223.17985229372,1218,X_17==0 AND X_12==0 AND X_4==16 AND X_18==0,X_12==0 AND X_17==0 AND X_18==0 AND X_4==16,0,1.0,1.0,1.0,16,7184.744529485703
