n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1000,25,24485.129064536373,152,X_17==0 AND X_7==0 AND X_14==1 AND X_16==1,X_11==1 AND X_14==0 AND X_17==0 AND X_19==0 AND X_20==1 AND X_21==0 AND X_5==1,0,0.0,0.0,0.0,0,63.74810743331909
3000,25,36476.22280442843,311,X_4==2 AND X_2==1 AND X_1==16 AND X_20==1,X_1==16 AND X_20==1 AND X_2==1 AND X_4==2,0,1.0,1.0,1.0,0,299.8181505203247
10000,25,42028.9499322364,1096,X_19==1 AND X_3==16 AND X_22==1 AND X_1==2,X_19==1 AND X_1==2 AND X_22==1 AND X_3==16,0,1.0,1.0,1.0,0,23.960225582122803
30000,25,43139.924132058615,4716,X_10==1 AND X_12==1 AND X_23==0 AND X_22==0,X_10==1 AND X_12==1 AND X_22==0 AND X_23==0,0,1.0,1.0,1.0,0,53.464730978012085
1000,25,29421.22362371073,120,X_22==1 AND X_4==2 AND X_8==0 AND X_6==0,X_11==0 AND X_12==0 AND X_14==1 AND X_16==1 AND X_21==1 AND X_22==0,0,0.0,0.0,0.0,1,51.25377583503723
3000,25,24776.57094035733,327,X_23==1 AND X_2==16 AND X_0==4 AND X_5==1,X_11==0 AND X_13==0 AND X_16==0 AND X_1==1 AND X_21==1 AND X_6==0,3,0.0115606936416184,0.1052631578947368,0.0061162079510703,1,648.2546277046204
10000,25,34606.18756645157,1557,X_20==1 AND X_5==0 AND X_9==0 AND X_14==0,X_14==0 AND X_20==1 AND X_5==0 AND X_9==0,0,1.0,1.0,1.0,1,5546.747928142548
1000,25,44207.82989155349,120,X_11==0 AND X_22==0 AND X_7==1 AND X_0==2,X_0==2 AND X_11==0 AND X_22==0 AND X_7==1,0,1.0,1.0,1.0,10,3.5214879512786865
3000,25,42963.79830288192,380,X_16==0 AND X_14==0 AND X_4==2 AND X_17==1,X_14==0 AND X_16==0 AND X_17==1 AND X_4==2,0,1.0,1.0,1.0,10,9.075242519378662
10000,25,35808.512495348645,1256,X_19==0 AND X_3==1 AND X_12==0 AND X_16==1,X_12==0 AND X_16==1 AND X_19==0 AND X_3==1,0,1.0,1.0,1.0,10,2492.909463644028
1000,25,42738.25831529937,153,X_20==0 AND X_21==1 AND X_10==0 AND X_17==1,X_10==0 AND X_17==1 AND X_20==0 AND X_21==1,0,1.0,1.0,1.0,11,7.754470586776733
3000,25,42286.83026169829,452,X_23==1 AND X_14==1 AND X_18==1 AND X_19==1,X_14==1 AND X_18==1 AND X_19==1 AND X_23==1,0,1.0,1.0,1.0,11,15.996243000030518
10000,25,30599.688786239712,1234,X_10==1 AND X_13==1 AND X_1==8 AND X_9==1,X_0==8 AND X_12==1 AND X_19==1 AND X_1==1 AND X_2==8 AND X_6==0,0,0.0,0.0,0.0,11,6323.041400194168
1000,25,39638.59248805217,152,X_18==0 AND X_20==1 AND X_24==1 AND X_10==0,X_10==0 AND X_18==0 AND X_20==1 AND X_24==1,0,1.0,1.0,1.0,12,28.14160680770874
3000,25,46777.36600679914,465,X_13==1 AND X_8==0 AND X_5==0 AND X_21==1,X_13==1 AND X_21==1 AND X_5==0 AND X_8==0,0,1.0,1.0,1.0,12,3.759049892425537
10000,25,25900.74611782012,1584,X_14==0 AND X_22==0 AND X_15==0 AND X_9==0,X_14==1,0,0.0,0.0,0.0,12,6135.832587242127
1000,25,44748.78835573885,109,X_0==8 AND X_17==1 AND X_3==1 AND X_18==0,X_0==8 AND X_17==1 AND X_18==0 AND X_3==1,0,1.0,1.0,1.0,13,5.435711145401001
3000,25,31805.98933934734,363,X_2==2 AND X_21==1 AND X_10==1 AND X_7==1,X_10==0 AND X_12==1 AND X_13==1 AND X_15==0 AND X_24==1 AND X_2==2 AND X_7==0,0,0.0,0.0,0.0,13,566.6387119293213
10000,25,32377.477329761125,1242,X_22==1 AND X_1==4 AND X_12==0 AND X_7==0,X_10==1 AND X_19==0 AND X_1==1 AND X_24==0 AND X_4==1 AND X_5==1 AND X_7==0,0,0.0,0.0,0.0,13,6961.059999704361
30000,25,43253.35257739106,4686,X_17==1 AND X_18==1 AND X_6==0 AND X_5==1,X_17==1 AND X_18==1 AND X_5==1 AND X_6==0,0,1.0,1.0,1.0,13,36.279871225357056
100000,25,37051.3397851358,12258,X_19==0 AND X_9==1 AND X_4==2 AND X_13==1,X_13==1 AND X_19==0 AND X_4==2 AND X_9==1,0,1.0,1.0,1.0,13,7392.241896152496
1000,25,28191.87266219757,123,X_13==1 AND X_9==0 AND X_4==8 AND X_12==0,X_12==1 AND X_14==0 AND X_15==1 AND X_17==0 AND X_20==0 AND X_24==1 AND X_6==1,0,0.0,0.0,0.0,14,72.31620597839355
3000,25,40621.63653528085,473,X_8==1 AND X_5==0 AND X_10==1 AND X_16==1,X_10==1 AND X_16==1 AND X_5==0 AND X_8==1,0,1.0,1.0,1.0,14,30.11227822303772
10000,25,29527.00057471201,1230,X_18==1 AND X_1==4 AND X_9==1 AND X_14==0,X_15==1 AND X_16==1 AND X_21==0 AND X_24==0 AND X_3==4 AND X_5==0 AND X_7==0 AND X_9==0,0,0.0,0.0,0.0,14,7452.265622377396
30000,25,38643.19430756691,4674,X_24==0 AND X_16==0 AND X_20==0 AND X_23==1,X_16==0 AND X_20==0 AND X_23==1 AND X_24==0,0,1.0,1.0,1.0,14,524.9939949512482
1000,25,24801.42827034229,145,X_6==1 AND X_11==0 AND X_10==0 AND X_14==1,X_10==0 AND X_11==1 AND X_16==1 AND X_5==1 AND X_6==0 AND X_7==0 AND X_9==1,0,0.0,0.0,0.0,15,66.70854330062866
3000,25,44747.462959639015,372,X_15==1 AND X_7==0 AND X_1==8 AND X_12==1,X_12==1 AND X_15==1 AND X_1==8 AND X_7==0,0,1.0,1.0,1.0,15,5.603399991989136
10000,25,28367.52527052757,1234,X_6==0 AND X_18==0 AND X_1==16 AND X_16==1,X_13==0 AND X_1==16 AND X_21==1 AND X_24==1 AND X_4==16 AND X_5==0 AND X_6==1,0,0.0,0.0,0.0,15,6780.560015201569
1000,25,42388.350921916055,109,X_23==0 AND X_0==4 AND X_7==0 AND X_1==4,X_0==4 AND X_1==4 AND X_23==0 AND X_7==0,0,1.0,1.0,1.0,16,5.090847492218018
3000,25,38817.175896189,364,X_8==1 AND X_17==1 AND X_21==1 AND X_2==1,X_17==1 AND X_21==1 AND X_2==1 AND X_8==1,0,1.0,1.0,1.0,16,70.7995924949646
10000,25,41755.35627891678,1096,X_4==4 AND X_22==1 AND X_3==16 AND X_21==1,X_21==1 AND X_22==1 AND X_3==16 AND X_4==4,0,1.0,1.0,1.0,16,39.75636792182922
1000,25,27229.374357655728,151,X_24==0 AND X_12==0 AND X_11==0 AND X_22==0,X_10==0 AND X_14==1 AND X_18==0 AND X_19==0 AND X_22==1 AND X_24==0 AND X_5==0,0,0.0,0.0,0.0,17,60.42738175392151
3000,25,43740.264190835245,379,X_3==8 AND X_8==0 AND X_9==1 AND X_20==1,X_20==1 AND X_3==8 AND X_8==0 AND X_9==1,0,1.0,1.0,1.0,17,10.53325343132019
10000,25,39522.05480588167,1571,X_11==0 AND X_16==1 AND X_18==1 AND X_7==1,X_11==0 AND X_16==1 AND X_18==1 AND X_7==1,0,1.0,1.0,1.0,17,133.14273619651794
1000,25,26066.436723114963,121,X_7==0 AND X_20==0 AND X_1==16 AND X_11==0,X_10==1 AND X_11==0 AND X_15==1 AND X_20==1 AND X_24==1 AND X_8==0,0,0.0,0.0,0.0,18,60.37056589126587
3000,25,43433.95079652825,372,X_24==0 AND X_2==2 AND X_23==1 AND X_14==1,X_14==1 AND X_23==1 AND X_24==0 AND X_2==2,0,1.0,1.0,1.0,18,8.317439556121826
10000,25,33350.65708094204,1520,X_15==0 AND X_10==0 AND X_11==0 AND X_17==0,X_11==1 AND X_17==0 AND X_18==0 AND X_24==0 AND X_2==4 AND X_5==1 AND X_9==1,0,0.0,0.0,0.0,18,6590.539988040924
1000,25,40645.05769121031,110,X_11==1 AND X_4==4 AND X_1==1 AND X_5==1,X_11==1 AND X_1==1 AND X_4==4 AND X_5==1,1,1.0,1.0,1.0,19,9.341469764709473
3000,25,46082.62235993666,370,X_23==0 AND X_14==0 AND X_19==0 AND X_2==1,X_14==0 AND X_19==0 AND X_23==0 AND X_2==1,0,1.0,1.0,1.0,19,3.012298822402954
10000,25,29648.017239895136,1226,X_3==16 AND X_19==0 AND X_16==1 AND X_15==0,X_10==1 AND X_12==1 AND X_14==1 AND X_15==1 AND X_19==1 AND X_22==0 AND X_4==16,0,0.0,0.0,0.0,19,6765.951474189758
30000,25,40218.855794113246,3679,X_8==1 AND X_3==8 AND X_23==0 AND X_6==0,X_23==0 AND X_3==8 AND X_6==0 AND X_8==1,0,1.0,1.0,1.0,19,136.4176516532898
1000,25,48295.71846527881,149,X_6==0 AND X_13==0 AND X_23==0 AND X_8==1,X_13==0 AND X_23==0 AND X_6==0 AND X_8==1,0,1.0,1.0,1.0,2,1.3896856307983398
3000,25,32706.69335197581,326,X_4==1 AND X_14==0 AND X_16==0 AND X_3==8,X_0==1 AND X_12==1 AND X_19==1 AND X_23==1 AND X_24==0 AND X_6==1,0,0.0058823529411764,0.0714285714285714,0.0030674846625766,2,563.4489789009094
10000,25,25230.58203545677,1594,X_16==0 AND X_10==1 AND X_12==1 AND X_9==1,X_12==0,0,0.0,0.0,0.0,2,5507.616180181503
30000,25,46781.46092055536,3255,X_0==1 AND X_4==1 AND X_15==1 AND X_18==1,X_0==1 AND X_15==1 AND X_18==1 AND X_4==1,0,1.0,1.0,1.0,2,4.601607084274292
100000,25,45610.76026166539,15653,X_17==0 AND X_9==1 AND X_20==1 AND X_23==1,X_17==0 AND X_20==1 AND X_23==1 AND X_9==1,0,1.0,1.0,1.0,2,81.67731165885925
1000,25,35178.67775972392,161,X_15==1 AND X_17==1 AND X_22==0 AND X_16==1,X_10==1 AND X_11==1 AND X_17==1 AND X_19==1 AND X_23==0 AND X_5==1,1,0.0116279069767441,0.0909090909090909,0.0062111801242236,20,49.804388999938965
3000,25,29506.249097906453,357,X_17==0 AND X_1==1 AND X_11==1 AND X_16==1,X_10==0 AND X_15==1 AND X_21==1 AND X_23==0 AND X_24==0 AND X_5==0 AND X_8==0 AND X_9==1,0,0.0,0.0,0.0,20,641.1720414161682
10000,25,27114.202240630635,1191,X_23==1 AND X_2==16 AND X_12==1 AND X_17==0,X_0==16 AND X_11==1 AND X_16==1 AND X_17==1 AND X_19==0 AND X_23==0 AND X_4==1,0,0.0,0.0,0.0,20,6610.988823890686
30000,25,41952.69884751255,3695,X_20==1 AND X_1==8 AND X_24==0 AND X_5==1,X_1==8 AND X_20==1 AND X_24==0 AND X_5==1,0,1.0,1.0,1.0,20,486.0726647377014
1000,25,44825.84388963917,104,X_15==1 AND X_20==0 AND X_3==8 AND X_1==2,X_15==1 AND X_1==2 AND X_20==0 AND X_3==8,0,1.0,1.0,1.0,21,1.4844260215759275
3000,25,26797.38533703441,321,X_2==2 AND X_1==4 AND X_15==0 AND X_11==1,X_13==1 AND X_14==1 AND X_17==1 AND X_21==1 AND X_3==8 AND X_5==0 AND X_8==0,0,0.0,0.0,0.0,21,697.8678820133209
10000,25,30512.09917717696,1240,X_0==2 AND X_6==0 AND X_23==0 AND X_22==0,X_0==16 AND X_10==0 AND X_11==1 AND X_14==0 AND X_16==0 AND X_20==0 AND X_21==0 AND X_6==0,0,0.0,0.0,0.0,21,7312.234627723694
