sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,2560,280,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_STATISTICS >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  DIAGNOSTIC >= 1.0,0.0,1.0,1.0,1.0,0
random_2,32,0,HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,0
random_5,80,0,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,0
random_10,160,18,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,CACHESIZE < 512.0  AND  HAVE_VERIFY.1 >= 1.0,0.0,0.0,0.0,0.0,0
random_20,320,0,HAVE_REPLICATION = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,0
2-wise,56,5,HAVE_HASH = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH >= 0.5,1.0,0.7692307692307693,0.625,1.0,0
3-wise,200,0,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,0
4-wise,436,40,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_STATISTICS >= 1.0  AND  HAVE_VERIFY >= 1.0,0.0,1.0,1.0,1.0,0
full,2560,320,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC >= 1.0  AND  HAVE_SEQUENCE >= 1.0  AND  HAVE_CRYPTO >= 1.0,0.0,1.0,1.0,1.0,10
random_2,32,5,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH.1 >= 0.5,0.0,0.0,0.0,0.0,10
random_5,80,13,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_CRYPTO >= 1.0  AND  DIAGNOSTIC >= 0.5,0.0,1.0,1.0,1.0,10
random_10,160,16,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_HASH >= 1.0  AND  HAVE_REPLICATION >= 1.0  AND  HAVE_VERIFY >= 0.5,0.0,0.0,0.0,0.0,10
random_20,320,47,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_CRYPTO >= 1.0  AND  DIAGNOSTIC >= 1.0,0.0,1.0,1.0,1.0,10
2-wise,58,0,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,10
3-wise,204,14,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_CRYPTO >= 1.0  AND  DIAGNOSTIC >= 1.0,0.0,1.0,1.0,1.0,10
4-wise,437,26,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC >= 1.0  AND  HAVE_SEQUENCE >= 1.0  AND  HAVE_CRYPTO >= 1.0,0.0,1.0,1.0,1.0,10
full,2560,320,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,DIAGNOSTIC >= 1.0  AND  HAVE_CRYPTO >= 1.0  AND  HAVE_STATISTICS >= 1.0,0.0,1.0,1.0,1.0,11
random_2,32,0,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,11
random_5,80,6,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,0.0 <= DIAGNOSTIC < 1.0  AND  HAVE_SEQUENCE >= 1.0,0.0,0.0,0.0,0.0,11
random_10,160,0,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,11
random_20,320,0,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,11
2-wise,61,5,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,0.0 <= DIAGNOSTIC < 1.0  AND  8.0 <= PAGESIZE < 32.0  AND  0.0 <= HAVE_SEQUENCE < 1.0,0.0,0.0,0.0,0.0,11
3-wise,195,0,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,11
4-wise,449,28,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,4.0 <= PAGESIZE < 16.0  AND  HAVE_STATISTICS.1 >= 1.0,0.0,0.0,0.0,0.0,11
full,2560,280,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  0.0 <= HAVE_REPLICATION < 1.0  AND  DIAGNOSTIC >= 1.0,0.0,0.7272727272727273,1.0,0.5714285714285714,12
random_2,32,0,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,,,0.0,0.0,0.0,12
random_5,80,16,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  DIAGNOSTIC >= 1.0,1.0,1.0,1.0,1.0,12
random_10,160,0,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,,,0.0,0.0,0.0,12
random_20,320,0,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,,,0.0,0.0,0.0,12
2-wise,60,6,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,PAGESIZE.1 >= 0.5,0.0,0.0,0.0,0.0,12
3-wise,199,0,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,,,0.0,0.0,0.0,12
4-wise,445,29,DIAGNOSTIC = 1 AND HAVE_SEQUENCE = 1 AND HAVE_VERIFY = 1,PAGESIZE >= 16.0  AND  HAVE_SEQUENCE.1 >= 1.0,0.0,0.0,0.0,0.0,12
full,2560,320,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_REPLICATION >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  0.0 <= HAVE_HASH.1 < 1.0,0.0,1.0,1.0,1.0,13
random_2,32,0,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,13
random_5,80,9,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,CACHESIZE >= 512.0  AND  0.0 <= HAVE_REPLICATION < 1.0  AND  0.0 <= HAVE_REPLICATION.1 < 1.0,0.0,0.0,0.0,0.0,13
random_10,160,11,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,CACHESIZE < 64.0  AND  6.0 <= PAGESIZE < 16.0  AND  HAVE_SEQUENCE >= 1.0,0.0,0.0,0.0,0.0,13
random_20,320,37,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,0.0 <= HAVE_STATISTICS < 1.0  AND  HAVE_VERIFY.1 >= 1.0,0.0,0.0,0.0,0.0,13
2-wise,64,0,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,13
3-wise,202,0,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,13
4-wise,439,29,HAVE_REPLICATION = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,16.0 <= PAGESIZE < 32.0  AND  HAVE_HASH.1 >= 1.0,0.0,0.0,0.0,0.0,13
full,2560,280,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_STATISTICS >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  DIAGNOSTIC >= 1.0,1.0,1.0,1.0,1.0,14
random_2,32,4,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,0.0 <= HAVE_STATISTICS < 1.0  AND  0.0 <= HAVE_REPLICATION.1 < 0.5  AND  4.0 <= PAGESIZE < 32.0,0.0,0.0,0.0,0.0,14
random_5,80,7,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,0.0 <= HAVE_VERIFY < 1.0  AND  PAGESIZE >= 8.0  AND  0.0 <= HAVE_HASH < 1.0  AND  CACHESIZE < 64.0,0.0,0.0,0.0,0.0,14
random_10,160,18,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,0.0 <= HAVE_VERIFY < 1.0  AND  PAGESIZE >= 24.0,0.0,0.0,0.0,0.0,14
random_20,320,0,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,,,0.0,0.0,0.0,14
2-wise,60,0,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,,,0.0,0.0,0.0,14
3-wise,197,17,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,HAVE_STATISTICS >= 1.0  AND  HAVE_VERIFY >= 1.0  AND  DIAGNOSTIC >= 1.0,0.0,1.0,1.0,1.0,14
4-wise,441,39,DIAGNOSTIC = 1 AND HAVE_STATISTICS = 1 AND HAVE_VERIFY = 1,4.0 <= PAGESIZE < 16.0  AND  HAVE_STATISTICS.1 >= 1.0,0.0,0.0,0.0,0.0,14
full,2560,320,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_STATISTICS >= 1.0  AND  HAVE_CRYPTO >= 1.0,1.0,1.0,1.0,1.0,15
random_2,32,0,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,15
random_5,80,0,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,15
random_10,160,23,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,0.0 <= HAVE_REPLICATION < 1.0  AND  8.0 <= PAGESIZE < 32.0  AND  0.0 <= HAVE_HASH.1 < 1.0,0.0,0.1016949152542372,0.0833333333333333,0.1304347826086956,15
random_20,320,42,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,HAVE_SEQUENCE >= 1.0  AND  HAVE_STATISTICS >= 1.0  AND  HAVE_CRYPTO >= 1.0,0.0,1.0,1.0,1.0,15
2-wise,58,0,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,15
3-wise,205,13,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,CACHESIZE < 32.0  AND  0.0 <= DIAGNOSTIC < 1.0,0.0,0.0952380952380952,0.0689655172413793,0.1538461538461538,15
4-wise,435,0,HAVE_SEQUENCE = 1 AND HAVE_STATISTICS = 1 AND HAVE_CRYPTO = 1,,,0.0,0.0,0.0,15
full,2560,320,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,HAVE_VERIFY >= 1.0  AND  HAVE_CRYPTO >= 1.0  AND  DIAGNOSTIC >= 1.0,0.0,1.0,1.0,1.0,16
random_2,32,3,DIAGNOSTIC = 1 AND HAVE_VERIFY = 1 AND HAVE_CRYPTO = 1,0.0 <= HAVE_HASH.1 < 0.5  AND  HAVE_STATISTICS >= 0.5,0.0,0.0,0.0,0.0,16
