sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,13485,1380,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,0.0 <= OpenCL < 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  LocalMemory >= 1.0  AND  0.0 <= bs_32x8 < 1.0,0.0,0.9743589743589745,1.0,0.95,0
random_2,62,0,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 3,,,0.0,0.0,0.0,0
random_5,155,13,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,TextureMemory >= 1.0  AND  pixelPerThread >= 4.0,0.0,1.0,1.0,1.0,0
random_10,310,64,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Linear2D >= 1.0,0.0,1.0,1.0,1.0,0
random_20,620,78,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,pixelPerThread >= 4.0  AND  TextureMemory >= 1.0,0.0,0.9936305732484078,0.9873417721518988,1.0,0
2-wise,380,45,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 2,2.0 <= pixelPerThread < 3.0  AND  LocalMemory >= 0.5  AND  0.0 <= OpenCL < 1.0,0.0,1.0,1.0,1.0,0
3-wise,2039,437,CUDA = 1 AND Linear2D = 1 AND TextureMemory = 1,Linear2D >= 1.0,1.0,1.0,1.0,1.0,0
4-wise,6771,1534,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Linear1D >= 1.0  AND  0.0 <= bs_128x4 < 1.0  AND  0.0 <= bs_128x2 < 1.0,2.0,0.9482344874871445,1.0,0.9015645371577576,0
full,13485,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,TextureMemory >= 1.0  AND  pixelPerThread < 2.0  AND  128.0 <= padding < 256.0  AND  0.0 <= bs_256x1 < 1.0,1.0,0.3603603603603603,1.0,0.2197802197802197,10
random_2,62,8,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,TextureMemory >= 1.0  AND  pixelPerThread < 2.0,0.0,1.0,1.0,1.0,10
random_5,155,30,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,TextureMemory >= 1.0  AND  pixelPerThread < 2.0,0.0,1.0,1.0,1.0,10
random_10,310,49,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,0.0 <= OpenCL < 1.0  AND  pixelPerThread < 2.0  AND  TextureMemory >= 1.0,0.0,1.0,1.0,1.0,10
random_20,620,119,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,TextureMemory >= 1.0  AND  pixelPerThread < 2.0  AND  0.0 <= OpenCL < 1.0,0.0,1.0,1.0,1.0,10
2-wise,368,73,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,0.0 <= OpenCL < 1.0  AND  pixelPerThread < 1.5  AND  TextureMemory >= 1.0,0.0,1.0,1.0,1.0,10
3-wise,2051,359,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,TextureMemory >= 1.0  AND  pixelPerThread < 2.0  AND  padding >= 32.0,0.0,0.96987087517934,1.0,0.9415041782729804,10
4-wise,6743,1202,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,pixelPerThread < 2.0  AND  Ldg >= 1.0,2.0,0.4946775203506575,1.0,0.3286189683860233,10
full,13485,2132,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,2.0 <= pixelPerThread < 3.0  AND  32.0 <= padding < 288.0  AND  TextureMemory >= 1.0  AND  0.0 <= bs_128x2 < 1.0,1.0,0.6101694915254238,1.0,0.4390243902439024,11
random_2,62,0,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,,,0.0,0.0,0.0,11
random_5,155,33,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,TextureMemory >= 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  0.0 <= OpenCL < 1.0,0.0,1.0,1.0,1.0,11
random_10,310,40,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,TextureMemory >= 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  0.0 <= OpenCL < 1.0,0.0,1.0,1.0,1.0,11
random_20,620,96,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,TextureMemory >= 1.0  AND  2.0 <= pixelPerThread < 3.0,1.0,0.9948186528497408,0.9896907216494846,1.0,11
2-wise,376,65,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,TextureMemory >= 1.0  AND  2.0 <= pixelPerThread < 3.0,0.0,1.0,1.0,1.0,11
3-wise,2037,366,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 2,0.0 <= OpenCL < 1.0  AND  2.0 <= pixelPerThread < 3.0  AND  TextureMemory >= 1.0,0.0,1.0,1.0,1.0,11
