sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,1024,128,inline = 1 AND instcombine = 1 AND simplifycfg = 1,inline >= 1.0  AND  instcombine >= 1.0  AND  simplifycfg >= 1.0,0.0,1.0,1.0,1.0,0
random_5,50,0,instcombine = 1 AND ipsccp = 1 AND licm = 1,,,0.0,0.0,0.0,0
random_10,100,0,gvn = 1 AND instcombine = 1 AND simplifycfg = 1,,,0.0,0.0,0.0,0
random_20,200,0,inline = 1 AND print_used_types = 1 AND sccp = 1,,,0.0,0.0,0.0,0
2-wise,12,0,inline = 1 AND iv_users = 1 AND licm = 1,,,0.0,0.0,0.0,0
3-wise,34,0,instcombine = 1 AND iv_users = 1 AND licm = 1,,,0.0,0.0,0.0,0
4-wise,63,0,instcombine = 1 AND ipsccp = 1 AND sccp = 1,,,0.0,0.0,0.0,0
full,1024,128,inline = 1 AND ipsccp = 1 AND licm = 1,inline >= 1.0  AND  ipsccp >= 1.0  AND  licm >= 1.0,0.0,1.0,1.0,1.0,10
random_2,20,0,inline = 1 AND ipsccp = 1 AND licm = 1,,,0.0,0.0,0.0,10
random_5,50,0,inline = 1 AND ipsccp = 1 AND licm = 1,,,0.0,0.0,0.0,10
random_10,100,0,inline = 1 AND ipsccp = 1 AND licm = 1,,,0.0,0.0,0.0,10
random_20,200,0,inline = 1 AND ipsccp = 1 AND licm = 1,,,0.0,0.0,0.0,10
2-wise,12,0,inline = 1 AND ipsccp = 1 AND licm = 1,,,0.0,0.0,0.0,10
3-wise,28,0,inline = 1 AND ipsccp = 1 AND licm = 1,,,0.0,0.0,0.0,10
4-wise,62,0,inline = 1 AND ipsccp = 1 AND licm = 1,,,0.0,0.0,0.0,10
full,1024,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp >= 1.0  AND  print_used_types >= 1.0  AND  licm >= 1.0,0.0,1.0,1.0,1.0,11
random_2,20,0,ipsccp = 1 AND licm = 1 AND print_used_types = 1,,,0.0,0.0,0.0,11
random_5,50,0,ipsccp = 1 AND licm = 1 AND print_used_types = 1,,,0.0,0.0,0.0,11
