sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,60000,10000,none = 1 AND parallel = 1 AND polly_parallel = 1,parallel >= 0.5  AND  0.0 <= polly < 1.0  AND  pollyrtcmaxparameters < 8.0  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0,2.0,0.6486486486486487,1.0,0.48,0
random_2,46,4,memory_based = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,0.0 <= memory_based < 1.0  AND  0.0 <= pollyoptmaxconstantterm_10 < 0.5  AND  0.0 <= pollyoptmaxcoefficient_1000 < 1.0,0.0,0.0,0.0,0.0,0
random_5,115,12,max = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= parallel_force < 1.0  AND  0.0 <= memory_based < 1.0,2.0,0.4090909090909091,0.28125,0.75,0
random_10,230,34,max = 1 AND polly = 1 AND value_based = 1,0.0 <= min < 1.0  AND  0.0 <= parallel < 1.0  AND  0.0 <= none < 1.0,0.0,0.6216216216216216,0.575,0.6764705882352942,0
random_20,460,0,polly_no_tiling = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,,,0.0,0.0,0.0,0
2-wise,54,10,memory_based = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,pollydefaulttilesize < 64.0,1.0,0.4,0.3,0.6,0
3-wise,257,26,polly = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= none < 1.0  AND  polly_opt_simplify_deps >= 1.0,0.0,1.0,1.0,1.0,0
4-wise,943,119,min = 1 AND polly = 1 AND polly_opt_simplify_deps = 1,0.0 <= none < 1.0  AND  polly_opt_simplify_deps >= 1.0  AND  0.0 <= max < 1.0  AND  0.0 <= pollyoptmaxcoefficient_10 < 1.0,0.0,0.8981481481481481,1.0,0.8151260504201681,0
full,60000,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  polly_no_tiling >= 1.0  AND  0.0 <= polly < 1.0  AND  parallel >= 0.5,3.0,0.5,1.0,0.3333333333333333,10
random_2,46,5,none = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= polly < 0.5  AND  4.0 <= pollyrtcmaxparameters < 12.0,1.0,0.5000000000000001,0.3636363636363636,0.8,10
random_5,115,12,none = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  0.0 <= polly < 1.0  AND  polly_no_tiling >= 1.0,1.0,1.0,1.0,1.0,10
random_10,230,21,none = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= memory_based < 0.5  AND  polly_no_tiling >= 1.0  AND  0.0 <= polly < 1.0,0.0,1.0,1.0,1.0,10
random_20,460,53,none = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= polly < 1.0  AND  polly_no_tiling >= 1.0  AND  0.0 <= memory_based < 1.0  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0,0.0,0.9072164948453608,1.0,0.8301886792452831,10
2-wise,52,5,none = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= polly_no_tiling < 1.0  AND  0.0 <= pollyoptmaxconstantterm_1000 < 1.0  AND  pollyrtcmaxparameters >= 1.5,0.0,0.0,0.0,0.0,10
3-wise,247,33,none = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= polly < 1.0  AND  polly_no_tiling >= 1.0  AND  0.0 <= memory_based < 1.0,0.0,1.0,1.0,1.0,10
4-wise,960,135,none = 1 AND polly_no_tiling = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  polly_no_tiling >= 1.0  AND  0.0 <= polly < 1.0,0.0,1.0,1.0,1.0,10
full,60000,7500,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,0.0 <= memory_based < 1.0  AND  polly_opt_simplify_deps >= 1.0  AND  0.0 <= max < 1.0  AND  0.0 <= pollyoptmaxconstantterm_1 < 1.0,1.0,0.888888888888889,1.0,0.8,11
random_2,46,0,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,,,0.0,0.0,0.0,11
random_5,115,12,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,polly_no_tiling >= 1.0  AND  0.0 <= polly_opt_simplify_deps < 1.0,0.0,0.0,0.0,0.0,11
random_10,230,27,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,0.0 <= value_based < 1.0  AND  pollyrtcmaxparameters >= 16.0,0.0,0.0,0.0,0.0,11
random_20,460,65,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,0.0 <= max < 1.0  AND  polly_opt_simplify_deps >= 1.0  AND  0.0 <= memory_based < 1.0,0.0,1.0,1.0,1.0,11
2-wise,60,4,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,pollyrtcmaxparameters >= 4.0  AND  0.0 <= value_based < 1.0,0.0,0.0,0.0,0.0,11
3-wise,250,26,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,4.0 <= pollyrtcmaxparameters < 8.0  AND  0.0 <= value_based < 1.0,0.0,0.0,0.0,0.0,11
4-wise,952,109,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,0.0 <= max < 1.0  AND  polly_opt_simplify_deps >= 1.0  AND  0.0 <= memory_based < 1.0,0.0,1.0,1.0,1.0,11
