n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
10000,10,40817.5131628484,1223,X_1==8 AND X_7==0 AND X_2==1 AND X_3==1,0.30101570013601786 <= X_1 < 1.8277548119651834  AND  X_2 >= 0.9058138973739709  AND  X_3 >= 0.9010673946599257  AND  -0.9032556172011577 <= X_7 < 1.1071063173662976,0,1.0,1.0,1.0,0,59.32962512969971
10000,25,44157.12694125121,1545,X_16==0 AND X_7==0 AND X_24==1 AND X_17==0,-0.9054480740168187 <= X_7 < 1.104425564200315  AND  -0.9072783787337874 <= X_16 < 1.1021975431572146  AND  X_24 >= 0.908377991214218  AND  -0.9089282011243474 <= X_17 < 1.1001969118826096  AND  -1.0004000800319814 <= X_9 < 0.9996000799679815,3,0.6611785095320624,1.0,0.4938511326860841,0,462.9167206287384
10000,50,32152.010623605987,1255,X_21==1 AND X_9==1 AND X_22==1 AND X_18==0,X_9 < -0.6652077120756124  AND  X_22 >= 0.9007031003534804  AND  -0.8965220598243706 <= X_18 < 1.1154215214691003  AND  X_21 >= 0.9048995611198846  AND  X_3 >= -0.767488913222588,1,0.8854351687388987,1.0,0.7944223107569721,0,626.1957995891571
10000,100,29407.468585036346,1213,X_38==1 AND X_0==16 AND X_80==0 AND X_58==0,X_0 >= 1.5036897692951359  AND  -0.9019786414951345 <= X_80 < 1.1086737024530031  AND  X_38 >= 0.9048995611198846  AND  -0.9027081658364356 <= X_58 < 1.1077777268950466  AND  X_1 >= -0.762397440266645  AND  -1.0032051364234484 <= X_57 < 0.9968051036551967,0,0.5636471284783896,1.0,0.3924154987633965,0,1308.343458890915
10000,250,45881.28914635074,1582,X_109==1 AND X_146==1 AND X_208==1 AND X_177==0,X_146 >= 0.8947089700900186  AND  X_109 >= 0.8943466953698951  AND  -0.8994289875348117 <= X_177 < 1.1118165123194184  AND  X_208 >= 0.899610916439405  AND  -1.0014009813733913 <= X_160 < 0.9986009786293872,1,0.6604572396274344,1.0,0.4930467762326169,0,5437.188403606415
10000,10,41163.98303489627,1091,X_0==1 AND X_4==1 AND X_1==2 AND X_9==1,X_0 < -0.6857594033227467  AND  X_9 >= 0.9025257407721273  AND  X_4 >= 0.9041686244780012  AND  -0.7113854875417353 <= X_1 < -0.3363898429663497,1,1.0,1.0,1.0,1,79.08580875396729
10000,25,27373.313494543785,1556,X_10==1 AND X_12==1 AND X_5==0 AND X_7==0,X_12 >= 0.9173988370119458  AND  -0.9039859641036279 <= X_5 < 1.1062118657910307  AND  X_10 >= 0.9098458174009707  AND  X_3 >= -0.40482207284544813,4,0.6647747428166016,0.7418844022169437,0.6021850899742931,1,412.0454285144806
10000,50,46236.531916714855,1552,X_35==1 AND X_18==1 AND X_37==1 AND X_15==0,X_35 >= 0.908928201124346  AND  X_37 >= 0.9096622340830457  AND  -0.9127872524778566 <= X_15 < 1.095545536252301  AND  X_18 >= 0.9109479493990258  AND  -0.9980019960059517 <= X_42 < 1.0020020040059756  AND  X_2 >= -0.7831122472634294  AND  X_4 < 1.7719670630089686,1,0.4754420432220039,1.0,0.3118556701030928,1,1051.6517386436462
10000,100,43730.92692174616,1098,X_89==0 AND X_0==2 AND X_8==8 AND X_56==1,-0.7117763825159749 <= X_0 < -0.33968354832915126  AND  0.2962812097457665 <= X_8 < 1.820459512083964  AND  X_56 >= 0.8871249673232555  AND  -0.8894670935734007 <= X_89 < 1.1242686854019235  AND  -1.0082338973934943 <= X_46 < 0.9918333459976867,1,0.6731117824773414,1.0,0.5072859744990893,1,2101.731402397156
10000,250,40203.7039934324,1536,X_200==1 AND X_227==1 AND X_84==0 AND X_228==1,X_200 >= 0.9229582069908391  AND  X_227 >= 0.8921754376210087  AND  -0.9138922907566815 <= X_84 < 1.0942208508752267  AND  X_228 >= 0.9149984263124691  AND  X_7 >= -0.7754163202737168  AND  -1.0114657271785272 <= X_124 < 0.9886642454901046,4,0.559774964838256,1.0,0.388671875,1,5339.739349365234
10000,10,48121.38373743184,1217,X_6==1 AND X_2==1 AND X_1==4 AND X_8==0,-0.3750390634686266 <= X_1 < 0.3867322531791704  AND  X_6 >= 0.8965220598243709  AND  X_2 >= 0.8896474529100508  AND  -0.9118672225175614 <= X_8 < 1.0966508887546003,0,1.0,1.0,1.0,10,93.23462557792664
10000,25,29835.29788674953,1236,X_4==2 AND X_20==0 AND X_22==1 AND X_6==0,X_22 >= 0.8939845347246321  AND  -0.7167771949934792 <= X_4 < -0.3418741169070317  AND  -0.8961592125816602 <= X_20 < 1.1158731461557898  AND  -0.9052652067842717 <= X_6 < 1.104648662630186,1,1.0,1.0,1.0,10,326.0724506378174
10000,50,42124.89478091108,1212,X_0==1 AND X_37==1 AND X_43==0 AND X_31==0,X_0 < -0.687569498395865  AND  X_37 >= 0.8994289875348133  AND  -0.9023433450392382 <= X_43 < 1.1082256055829502  AND  -0.9240734569289757 <= X_31 < 1.0821650513840415  AND  X_3 >= -0.7773060863801633,1,0.8829493087557604,1.0,0.7904290429042904,10,833.6059482097626
10000,100,30287.25799825992,1246,X_90==0 AND X_17==8 AND X_80==0 AND X_73==1,0.3204404487885327 <= X_17 < 1.8659421008704413  AND  X_73 >= 0.8994289875348113  AND  -0.8945278184616339 <= X_80 < 1.117908218572413  AND  -0.9094786808149319 <= X_90 < 1.0995309962668705  AND  X_2 >= -0.7805155381191666  AND  -1.0018016229198698 <= X_47 < 0.9982016170878558  AND  X_1 >= -0.773632723341541,1,0.496077248038624,1.0,0.3298555377207062,10,1326.3895885944366
10000,250,43971.399293019895,1597,X_90==1 AND X_223==1 AND X_206==1 AND X_87==1,X_223 >= 0.9003389226448053  AND  X_206 >= 0.8939845347246324  AND  X_87 >= 0.8954338623269869  AND  X_90 >= 0.915921047073544  AND  X_20 >= -0.7665097892340792  AND  X_18 >= -0.765654837040172  AND  X_33 < 1.7953855217184693,2,0.6607966457023061,1.0,0.493425172197871,10,5443.79327249527
10000,10,27897.56412069567,1549,X_7==0 AND X_6==1 AND X_3==0 AND X_2==1,X_2 >= 0.898883374883281  AND  -0.9091116643542119 <= X_7 < 1.0999748867048198  AND  -0.8959778320160767 <= X_3 < 1.1160990420375427  AND  X_6 >= 0.9012495855825835,2,1.0,1.0,1.0,11,127.53225994110107
10000,25,39544.75096394384,1546,X_23==0 AND X_7==1 AND X_11==1 AND X_14==1,X_14 >= 0.8999748613884657  AND  -0.9188786006324291 <= X_23 < 1.0882830433877306  AND  X_7 >= 0.9039859641036277  AND  -0.9868859812522026 <= X_12 < 1.0132882815208062,3,0.6055323986358468,0.7310155535224153,0.5168175937904269,11,396.99321365356445
10000,50,25526.51251030147,1236,X_46==0 AND X_35==1 AND X_4==2 AND X_33==1,X_33 >= 0.8957964801304181  AND  -0.7090157245879406 <= X_4 < -0.3361733379300695  AND  X_35 >= 0.9153673827062547  AND  -0.9067289751641362 <= X_46 < 1.1028653846854564,3,1.0,1.0,1.0,11,878.2966432571411
10000,100,45368.31180522254,1084,X_28==1 AND X_2==8 AND X_16==4 AND X_74==1,0.31444924655142964 <= X_2 < 1.8542631489884973  AND  X_28 >= 0.9083779912142184  AND  -0.3871185145656097 <= X_16 < 0.3745884352412864  AND  X_74 >= 0.90234334503924  AND  X_13 < 1.7958402717972786,1,0.9110999497739828,1.0,0.8367158671586716,11,2053.566235303879
10000,250,23931.310279294998,1619,X_209==1 AND X_153==0 AND X_71==1 AND X_200==0,X_209 >= 0.9005209969335101  AND  -0.8970665462370186 <= X_200 < 1.1147445016145594  AND  X_71 >= 0.9061798393768712  AND  -0.9007031003534793 <= X_153 < 1.1102437635748068  AND  X_24 >= -0.770797071752289  AND  X_25 >= -0.7746576023150822,4,0.7931420052180395,1.0,0.6571957998764669,11,5145.983076572418
10000,500,28011.15804682221,1216,X_286==1 AND X_447==0 AND X_322==0 AND X_45==4,-0.38639287011011775 <= X_45 < 0.38067819070703  AND  X_286 >= 0.9047167826509361  AND  -0.9052652067842726 <= X_447 < 1.1046486626301868  AND  -0.912235143549764 <= X_322 < 1.0962085894968323  AND  X_56 < 0.3135189247743627  AND  X_83 < 1.8011317699025842,0,0.6503884572697003,1.0,0.4819078947368421,11,4551.270653009415
10000,10,38353.77682572647,1235,X_4==0 AND X_2==0 AND X_3==0 AND X_1==8,0.3243764036328308 <= X_1 < 1.8717891818455006  AND  -0.9061798393768724 <= X_4 < 1.1035337099175884  AND  -0.9048995611198845 <= X_3 < 1.105095021554226  AND  -0.90307310403282 <= X_2 < 1.1073300661203858,1,1.0,1.0,1.0,12,71.00051832199097
10000,25,28897.78701972364,1226,X_11==0 AND X_3==16 AND X_6==0 AND X_17==0,-0.9070952144261889 <= X_6 < 1.1024201033101622  AND  X_3 >= 1.4908218647314102  AND  -0.9025257407721262 <= X_11 < 1.1080016389831113,4,0.9211119459053344,0.8537604456824512,1.0,12,407.02051186561584
10000,50,46955.62120155871,1544,X_39==1 AND X_15==0 AND X_18==1 AND X_25==1,X_18 >= 0.9070952144261881  AND  X_39 >= 0.9050823691581935  AND  -0.9205457059932163 <= X_15 < 1.086312166239651  AND  X_25 >= 0.9063628549164182  AND  X_49 >= 0.9964064567347761,1,0.6701119724375538,1.0,0.5038860103626943,12,1056.4627537727356
