n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1000,25,44262.649148428136,153,X_10==0 AND X_14==1 AND X_7==0 AND X_17==1,-0.8756622935223477 <= X_10 < 1.1419927606766103  AND  X_14 >= 0.9100294307875225  AND  X_17 >= 0.9473822918078699  AND  -0.9137080416200329 <= X_7 < 1.0944415004020174,0,1.0,1.0,1.0,0,41.02231907844544
3000,25,29607.609713563463,474,X_17==0 AND X_11==0 AND X_8==1 AND X_23==0,-0.9186318358884608 <= X_17 < 1.0885753801824658  AND  X_8 >= 0.8792324183002235  AND  -0.876256568901657 <= X_23 < 1.1412182635657038  AND  -0.9291684654932555 <= X_11 < 1.0762311003195262,0,1.0,1.0,1.0,0,67.14241147041321
10000,25,45925.44608028609,1219,X_5==0 AND X_3==16 AND X_24==1 AND X_11==0,X_3 >= 1.5142192255032723  AND  X_24 >= 0.9056309708738696  AND  -0.9039859641036287 <= X_11 < 1.1062118657910316  AND  -0.8954338623269837 <= X_5 < 1.1167770642505077  AND  X_4 < 1.8163052111852436,1,0.8831882730187814,1.0,0.7908121410992617,0,437.6062812805176
30000,25,48597.27328967036,3605,X_15==0 AND X_22==1 AND X_17==1 AND X_4==8,0.32224954291644275 <= X_4 < 1.8619340066927215  AND  -0.9190020036620294 <= X_15 < 1.0881369094029738  AND  X_22 >= 0.9048386316789498  AND  X_17 >= 0.9037424627888553  AND  X_0 < 0.3198090172683086  AND  X_1 < 0.32858310387655476,4,0.5330620549338759,1.0,0.3633841886269071,0,2921.72269821167
1000,25,37496.60033092762,108,X_0==2 AND X_14==1 AND X_3==1 AND X_24==1,-0.7422647478640837 <= X_0 < -0.37929910098678116  AND  X_14 >= 0.9569267538639176  AND  X_24 >= 0.913708041620033  AND  X_3 < -0.6725715841161882,0,1.0,1.0,1.0,1,31.367915630340576
3000,25,44878.07698691834,372,X_22==0 AND X_16==0 AND X_19==1 AND X_4==4,-0.9124804915865065 <= X_22 < 1.095913840592158  AND  -0.36869953737375133 <= X_4 < 0.3967666301842099  AND  -0.9094175030668296 <= X_16 < 1.0996049632074625  AND  X_19 >= 0.9192488510651022,0,1.0,1.0,1.0,1,117.93960499763487
10000,25,31235.623206745597,1261,X_1==4 AND X_14==0 AND X_15==0 AND X_13==0,-0.38637569143597683 <= X_1 < 0.3812327151121047  AND  -0.909295157578204 <= X_13 < 1.099752914843811  AND  -0.9192488510650879 <= X_14 < 1.0878447102123967  AND  -0.9059968535355285 <= X_15 < 1.1037565926391133,1,1.0,1.0,1.0,1,335.2316145896912
30000,25,31601.59224352004,4652,X_5==1 AND X_6==0 AND X_13==0 AND X_23==1,-0.9070341662783098 <= X_6 < 1.102494301955151  AND  X_23 >= 0.9074615728504634  AND  X_5 >= 0.9066679468622193  AND  -0.9098458174010968 <= X_13 < 1.0990873188344887  AND  -0.776455490576609 <= X_0 < 0.3184545997803098  AND  X_1 < 1.7947998614381933,4,0.4888744518434302,1.0,0.3235167669819432,1,3025.1159014701843
1000,25,41735.964170929685,156,X_22==1 AND X_14==1 AND X_5==1 AND X_12==1,X_12 >= 0.9248175871885591  AND  X_14 >= 0.9118672225175297  AND  X_22 >= 0.8918139584270087  AND  X_5 >= 0.877446012256477,0,1.0,1.0,1.0,10,36.06713795661926
3000,25,44896.79083637434,361,X_14==1 AND X_7==0 AND X_1==16 AND X_16==1,X_16 >= 0.9075837188309078  AND  X_1 >= 1.4956152502231925  AND  -0.9008852329229118 <= X_7 < 1.110019304851445  AND  X_14 >= 0.9161672087472824,0,1.0,1.0,1.0,10,156.27661180496216
10000,25,47008.09266633816,1562,X_14==1 AND X_7==1 AND X_12==1 AND X_21==1,X_21 >= 0.9124191495230258  AND  X_14 >= 0.9116833074212238  AND  X_12 >= 0.9177685925048426  AND  X_20 >= 1.0022024253328812  AND  X_7 >= 0.92314400333765  AND  X_0 < 1.804026911886448,2,0.5597049331489166,1.0,0.3886043533930858,10,550.9254982471466
30000,25,25840.197222875657,3666,X_21==1 AND X_13==1 AND X_18==0 AND X_1==1,X_1 < -0.6755768188816962  AND  X_21 >= 0.9113768494846307  AND  X_13 >= 0.9064848817843892  AND  -0.9077669626697764 <= X_18 < 1.1016043115937293  AND  X_2 < 1.7902981382659184  AND  X_0 >= -0.40266178850049045  AND  X_3 < 1.7870725342979672,3,0.5512744516893895,1.0,0.3805237315875613,10,3313.8670716285706
1000,25,34142.06983796747,120,X_6==0 AND X_8==1 AND X_24==1 AND X_0==2,-0.8792324183002278 <= X_6 < 1.1373556970672674  AND  -0.7108714105491519 <= X_0 < -0.3359392319894726  AND  X_8 >= -0.04805539173531792  AND  X_24 >= 0.8936224880110956,0,1.0,1.0,1.0,11,35.24976348876953
3000,25,46640.21077088721,484,X_7==1 AND X_18==0 AND X_17==0 AND X_11==0,-0.9094175030668303 <= X_11 < 1.0996049632074634  AND  X_7 >= 0.8978534841434632  AND  -0.9063628549164522 <= X_17 < 1.1033108810402044  AND  -0.9051433117451002 <= X_18 < 1.1047974249205554,3,1.0,1.0,1.0,11,159.47978162765503
10000,25,33568.30748096724,1235,X_4==4 AND X_23==0 AND X_5==1 AND X_9==0,-0.8918139584269099 <= X_9 < 1.1213101012275142  AND  X_5 >= 0.9063628549164179  AND  -0.37248610546235605 <= X_4 < 0.39763040968181307  AND  -0.8961592125816584 <= X_23 < 1.1158731461557874,1,1.0,1.0,1.0,11,296.6888003349304
30000,25,29475.050077509124,3663,X_13==1 AND X_3==8 AND X_12==1 AND X_17==0,0.31745959897514486 <= X_3 < 1.857404294464569  AND  X_12 >= 0.9091116643539248  AND  X_13 >= 0.9041077344101625  AND  -0.9010673946600228 <= X_17 < 1.109794900943688  AND  -1.00133422340849 <= X_10 < 0.9986675543714502  AND  -0.7769812051375194 <= X_1 < 1.7708163820533724,4,0.456059009483667,1.0,0.2953862953862954,11,2891.738489151001
1000,25,44951.26175855967,122,X_16==0 AND X_15==1 AND X_0==2 AND X_6==0,-0.701526075072002 <= X_0 < -0.32767791356280834  AND  X_15 >= 0.8918139584270085  AND  -0.9435884527917618 <= X_6 < 1.0597840584434013  AND  -0.8828133611386833 <= X_16 < 1.1327422578994064,0,1.0,1.0,1.0,12,31.87479877471924
3000,25,45335.530746501376,322,X_12==0 AND X_4==2 AND X_2==2 AND X_7==1,-0.7212027073093012 <= X_2 < -0.34655195026550834  AND  -0.719724031914435 <= X_4 < -0.34408518435992824  AND  X_7 >= 0.8816185030012307  AND  -0.9100294307875102 <= X_12 < 1.0988655599133952,0,1.0,1.0,1.0,12,113.3890097141266
10000,25,42846.54717661439,1201,X_17==0 AND X_3==16 AND X_8==0 AND X_10==1,X_3 >= 1.480893138054016  AND  X_10 >= 0.9105804515440749  AND  -0.9114994225800115 <= X_8 < 1.0970933993239365  AND  -0.9074615728502622 <= X_17 < 1.1019750366498755,1,1.0,1.0,1.0,12,392.7224521636963
