sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
random_2,24,1,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,NOT BZip2 AND NOT Deflate AND Files <= 70.00 AND tmOff,1,0.25,0.1428571428571428,1.0,0
random_5,60,6,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1,NOT BZip2 AND BlockSize >= 2.00 AND filterOff AND mtOff,3,0.6666666666666667,0.5555555555555556,0.8333333333333334,0
random_10,120,13,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1,NOT LZMA2 AND NOT mtOff AND x >= 4.00,3,0.4347826086956521,0.303030303030303,0.7692307692307693,0
random_20,240,31,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND NOT tmOff,2,1.0,1.0,1.0,0
2-wise,165,21,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND mtOff AND tmOff,1,1.0,1.0,1.0,0
3-wise,1121,136,HeaderCompressionOff = 1 AND filterOff = 1 AND mtOff = 1,HeaderCompressionOff AND filterOff AND mtOff,0,1.0,1.0,1.0,0
4-wise,4875,628,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND NOT filterOff AND NOT tmOff,0,1.0,1.0,1.0,0
random_2,24,1,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,BZip2 AND Files <= 40.00 AND HeaderCompressionOff,1,1.0,1.0,1.0,10
random_5,60,2,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,Files != 0.00 AND HeaderCompressionOff AND x != 0.00,0,0.1818181818181818,0.1,1.0,10
random_10,120,8,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND NOT PPMd AND mtOff AND tmOff,1,1.0,1.0,1.0,10
random_20,240,25,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,BlockSize != 4096.00 AND HeaderCompressionOff AND mtOff AND tmOff,0,0.9583333333333334,1.0,0.92,10
2-wise,172,19,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND mtOff AND tmOff,2,1.0,1.0,1.0,10
3-wise,1106,154,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND mtOff AND tmOff,0,1.0,1.0,1.0,10
4-wise,4855,612,HeaderCompressionOff = 1 AND mtOff = 1 AND tmOff = 1,HeaderCompressionOff AND mtOff AND tmOff,0,1.0,1.0,1.0,10
full,68640,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,0,1.0,1.0,1.0,11
random_2,24,5,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,NOT Deflate AND HeaderCompressionOff AND tmOff,1,0.7692307692307693,0.625,1.0,11
random_5,60,11,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,11
random_10,120,22,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,3,1.0,1.0,1.0,11
random_20,240,38,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,11
2-wise,169,32,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,11
3-wise,1135,129,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,NOT HeaderCompressionOff AND filterOff AND tmOff,0,1.0,1.0,1.0,11
4-wise,4883,580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,11
full,68640,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,12
random_2,24,5,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,Files >= 10.00 AND NOT LZMA2 AND x >= 4.00,2,0.5333333333333333,0.4,0.8,12
random_5,60,7,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,BlockSize >= 2.00 AND Files <= 70.00 AND NOT LZMA AND NOT PPMd AND tmOff,0,0.3478260869565217,0.25,0.5714285714285714,12
random_10,120,17,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,2,1.0,1.0,1.0,12
random_20,240,41,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,0,1.0,1.0,1.0,12
2-wise,174,24,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,12
3-wise,1128,166,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,12
4-wise,4909,623,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,12
full,68640,8580,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,13
random_2,24,4,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,NOT BZip2 AND BlockSize <= 512.00 AND NOT LZMA AND NOT mtOff AND NOT tmOff,0,0.0,0.0,0.0,13
random_5,60,9,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,BlockSize != 4096.00 AND HeaderCompressionOff AND NOT LZMA2 AND filterOff AND tmOff,1,1.0,1.0,1.0,13
random_10,120,14,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND NOT LZMA2 AND filterOff AND tmOff,3,1.0,1.0,1.0,13
random_20,240,26,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND NOT LZMA2 AND filterOff AND tmOff,1,1.0,1.0,1.0,13
2-wise,172,24,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,0,1.0,1.0,1.0,13
3-wise,1112,130,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,2,1.0,1.0,1.0,13
4-wise,4890,594,HeaderCompressionOff = 1 AND filterOff = 1 AND tmOff = 1,HeaderCompressionOff AND filterOff AND tmOff,1,1.0,1.0,1.0,13
