sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,13485,1449,CUDA = 1 AND LocalMemory = 1 AND pixelPerThread = 1,CUDA AND LocalMemory AND pixelPerThread = 1.00,1,1.0,1.0,1.0,0
random_2,62,15,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,CUDA AND Linear1D AND NOT bs_128x1 AND NOT bs_256x4 AND NOT bs_32x2 AND NOT bs_512x2 AND NOT bs_64x16,0,1.0,1.0,1.0,0
random_5,155,30,CUDA = 1 AND Linear1D = 1 AND TextureMemory = 1,Linear1D AND NOT bs_256x4 AND NOT bs_32x32,0,1.0,1.0,1.0,0
random_10,310,58,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1,Ldg,3,1.0,1.0,1.0,0
random_20,620,116,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1,Ldg,1,1.0,1.0,1.0,0
2-wise,380,38,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 4,CUDA AND NOT LocalMemory AND TextureMemory AND NOT bs_128x4 AND NOT bs_256x2 AND NOT bs_256x4 AND NOT bs_32x2 AND NOT bs_32x32 AND NOT bs_32x8 AND padding <= 448.00,1,0.28125,0.2,0.4736842105263157,0
3-wise,2039,450,CUDA = 1 AND Ldg = 1 AND TextureMemory = 1,Ldg,1,1.0,1.0,1.0,0
4-wise,6771,1213,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND pixelPerThread = 1.00,1,1.0,1.0,1.0,0
full,13485,2184,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND pixelPerThread = 1.00,1,1.0,1.0,1.0,10
random_2,62,8,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,TextureMemory AND NOT bs_128x2 AND NOT bs_128x4 AND NOT bs_256x4 AND NOT bs_32x4 AND NOT bs_64x1 AND NOT bs_64x2 AND NOT bs_64x8,1,0.4324324324324324,0.2758620689655172,1.0,10
random_5,155,30,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,Ldg AND NOT bs_128x4 AND NOT bs_256x1 AND NOT bs_32x32 AND NOT bs_32x4 AND NOT bs_64x2 AND pixelPerThread != 4.00,2,0.5957446808510638,0.8235294117647058,0.4666666666666667,10
random_10,310,49,CUDA = 1 AND TextureMemory = 1 AND pixelPerThread = 1,CUDA AND TextureMemory AND NOT bs_256x1 AND NOT bs_256x2 AND NOT bs_256x4 AND NOT bs_32x16 AND NOT bs_64x16 AND NOT bs_64x4 AND pixelPerThread = 1.00,3,0.9111111111111112,1.0,0.8367346938775511,10
