sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,1024,128,inline = 1 AND iv_users = 1 AND licm = 1,inline AND iv_users AND licm,1,1.0,1.0,1.0,0
random_2,20,2,iv_users = 1 AND jump_threading = 1 AND licm = 1,jump_threading AND licm,2,0.6666666666666666,0.5,1.0,0
random_5,50,4,inline = 1 AND iv_users = 1 AND simplifycfg = 1,NOT instcombine AND NOT ipsccp AND NOT print_used_types AND NOT simplifycfg,0,0.0,0.0,0.0,0
random_10,100,15,gvn = 1 AND ipsccp = 1 AND simplifycfg = 1,gvn AND ipsccp,2,0.7499999999999999,0.6,1.0,0
random_20,200,20,gvn = 1 AND jump_threading = 1 AND simplifycfg = 1,gvn AND print_used_types AND simplifycfg,1,0.608695652173913,0.5384615384615384,0.7,0
2-wise,12,3,inline = 1 AND jump_threading = 1 AND simplifycfg = 1,NOT inline AND licm,3,0.8,1.0,0.6666666666666666,0
3-wise,34,5,inline = 1 AND instcombine = 1 AND jump_threading = 1,NOT gvn AND inline AND sccp,0,0.3636363636363636,0.3333333333333333,0.4,0
4-wise,63,10,instcombine = 1 AND jump_threading = 1 AND licm = 1,gvn AND inline AND NOT jump_threading,1,0.380952380952381,0.3636363636363636,0.4,0
full,1024,128,inline = 1 AND ipsccp = 1 AND licm = 1,inline AND print_used_types,1,0.3333333333333333,0.25,0.5,10
random_2,20,1,inline = 1 AND ipsccp = 1 AND licm = 1,inline AND iv_users AND licm AND simplifycfg,0,0.0,0.0,0.0,10
random_5,50,9,inline = 1 AND ipsccp = 1 AND licm = 1,inline AND licm,1,0.72,0.5625,1.0,10
random_10,100,12,inline = 1 AND ipsccp = 1 AND licm = 1,inline AND ipsccp AND licm,0,1.0,1.0,1.0,10
random_20,200,24,inline = 1 AND ipsccp = 1 AND licm = 1,NOT iv_users AND print_used_types,4,0.2222222222222221,0.1578947368421052,0.375,10
2-wise,12,1,inline = 1 AND ipsccp = 1 AND licm = 1,NOT jump_threading AND print_used_types,2,0.4,0.25,1.0,10
3-wise,28,3,inline = 1 AND ipsccp = 1 AND licm = 1,instcombine AND licm AND NOT sccp,0,0.5,0.4,0.6666666666666666,10
4-wise,62,9,inline = 1 AND ipsccp = 1 AND licm = 1,jump_threading AND licm,1,0.3636363636363637,0.3076923076923077,0.4444444444444444,10
full,1024,128,ipsccp = 1 AND licm = 1 AND print_used_types = 1,ipsccp AND licm AND print_used_types,0,1.0,1.0,1.0,11
