sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,60000,10000,polly_no_tiling = 1 AND polly_parallel = 1 AND value_based = 1,polly_no_tiling AND polly_parallel AND value_based,1,1.0,1.0,1.0,0
random_2,46,9,min = 1 AND none = 1 AND value_based = 1,min AND none AND pollydefaulttilesize != 1024.00 AND NOT pollyoptmaxcoefficient_1000 AND value_based,4,1.0,1.0,1.0,0
random_5,115,16,max = 1 AND parallel_force = 1 AND polly_parallel = 1,max AND parallel_force,2,1.0,1.0,1.0,0
random_10,230,43,memory_based = 1 AND polly = 1 AND polly_parallel = 1,memory_based AND polly AND polly_parallel,1,1.0,1.0,1.0,0
random_20,460,63,none = 1 AND polly_no_tiling = 1 AND value_based = 1,NOT parallel AND NOT pollyoptmaxcoefficient_10000 AND NOT pollyoptmaxconstantterm_10 AND NOT pollyoptmaxconstantterm_100 AND value_based,2,0.3172413793103448,0.2804878048780488,0.365079365079365,0
2-wise,54,7,min = 1 AND polly = 1 AND polly_opt_simplify_deps = 1,polly AND polly_no_tiling AND NOT pollyoptmaxcoefficient_100 AND NOT pollyoptmaxconstantterm_10,0,0.5,0.4444444444444444,0.5714285714285714,0
3-wise,257,31,none = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,none AND polly_no_tiling AND polly_opt_simplify_deps,0,1.0,1.0,1.0,0
4-wise,943,113,min = 1 AND polly_no_tiling = 1 AND polly_opt_simplify_deps = 1,min AND polly_no_tiling AND polly_opt_simplify_deps,2,1.0,1.0,1.0,0
full,60000,7500,none = 1 AND polly_no_tiling = 1 AND value_based = 1,none AND polly_no_tiling AND value_based,0,1.0,1.0,1.0,10
random_2,46,5,none = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize != 1024.00 AND NOT pollyoptmaxcoefficient_1000 AND NOT pollyoptmaxconstantterm_10000 AND pollyrtcmaxparameters >= 4.00 AND value_based,4,0.8000000000000002,0.8,0.8,10
random_5,115,12,none = 1 AND polly_no_tiling = 1 AND value_based = 1,none AND polly_no_tiling AND value_based,1,1.0,1.0,1.0,10
random_10,230,21,none = 1 AND polly_no_tiling = 1 AND value_based = 1,polly_no_tiling AND NOT pollyoptmaxcoefficient_10000 AND value_based,4,0.6428571428571428,0.5142857142857142,0.8571428571428571,10
random_20,460,53,none = 1 AND polly_no_tiling = 1 AND value_based = 1,none AND polly_no_tiling AND value_based,0,1.0,1.0,1.0,10
2-wise,52,5,none = 1 AND polly_no_tiling = 1 AND value_based = 1,none AND polly_no_tiling AND pollydefaulttilesize >= 16.00 AND NOT pollyoptmaxcoefficient_10 AND NOT pollyoptmaxconstantterm_10000,1,0.7499999999999999,1.0,0.6,10
3-wise,247,33,none = 1 AND polly_no_tiling = 1 AND value_based = 1,none AND polly_no_tiling AND value_based,2,1.0,1.0,1.0,10
4-wise,960,135,none = 1 AND polly_no_tiling = 1 AND value_based = 1,none AND polly_no_tiling AND value_based,1,1.0,1.0,1.0,10
random_2,46,4,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,min AND NOT pollyoptmaxconstantterm_100 AND NOT pollyoptmaxconstantterm_1000 AND NOT value_based,1,0.888888888888889,0.8,1.0,11
random_5,115,12,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,min AND polly_opt_simplify_deps AND value_based,0,1.0,1.0,1.0,11
random_10,230,27,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,min AND polly_opt_simplify_deps AND value_based,2,1.0,1.0,1.0,11
random_20,460,65,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,min AND polly_opt_simplify_deps AND value_based,0,1.0,1.0,1.0,11
2-wise,60,4,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,none AND polly_no_tiling AND polly_opt_simplify_deps AND NOT pollyoptmaxcoefficient_1 AND NOT pollyoptmaxconstantterm_1000,0,0.4444444444444445,0.4,0.5,11
3-wise,250,26,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,min AND polly_opt_simplify_deps AND NOT pollyoptmaxcoefficient_1 AND NOT pollyoptmaxconstantterm_10 AND value_based,0,0.8695652173913044,1.0,0.7692307692307693,11
4-wise,952,109,min = 1 AND polly_opt_simplify_deps = 1 AND value_based = 1,min AND polly_opt_simplify_deps AND value_based,0,1.0,1.0,1.0,11
random_2,46,6,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,max AND polly_parallel AND NOT pollyoptmaxcoefficient_100 AND NOT pollyoptmaxcoefficient_1000 AND NOT pollyoptmaxconstantterm_100,0,0.6,0.4285714285714285,1.0,12
random_5,115,19,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel AND polly_opt_simplify_deps,1,1.0,1.0,1.0,12
random_10,230,36,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel,2,0.6857142857142856,0.5217391304347826,1.0,12
random_20,460,90,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel AND polly_opt_simplify_deps,0,1.0,1.0,1.0,12
2-wise,55,9,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel AND NOT pollyoptmaxcoefficient_10000 AND NOT pollyoptmaxconstantterm_10 AND pollyrtcmaxparameters != 1.00,0,0.7368421052631577,0.7,0.7777777777777778,12
3-wise,252,41,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel AND NOT polly_opt_simplify_deps,0,1.0,1.0,1.0,12
4-wise,945,160,parallel = 1 AND polly_opt_simplify_deps = 1 AND polly_parallel = 1,parallel AND polly_opt_simplify_deps,0,1.0,1.0,1.0,12
full,60000,10000,max = 1 AND polly_parallel = 1 AND value_based = 1,max AND polly_parallel AND value_based,0,1.0,1.0,1.0,13
random_2,46,11,max = 1 AND polly_parallel = 1 AND value_based = 1,NOT polly_opt_simplify_deps AND pollydefaulttilesize != 1024.00 AND NOT pollyoptmaxconstantterm_100 AND NOT pollyoptmaxconstantterm_1000 AND pollyrtcmaxparameters >= 2.00,2,0.380952380952381,0.4,0.3636363636363636,13
random_5,115,25,max = 1 AND polly_parallel = 1 AND value_based = 1,max AND polly_parallel AND value_based,1,1.0,1.0,1.0,13
random_10,230,38,max = 1 AND polly_parallel = 1 AND value_based = 1,max AND polly_parallel AND value_based,1,1.0,1.0,1.0,13
random_20,460,80,max = 1 AND polly_parallel = 1 AND value_based = 1,max AND polly_parallel AND value_based,0,1.0,1.0,1.0,13
2-wise,48,10,max = 1 AND polly_parallel = 1 AND value_based = 1,max AND polly_parallel AND value_based,1,1.0,1.0,1.0,13
3-wise,256,35,max = 1 AND polly_parallel = 1 AND value_based = 1,max AND polly_parallel AND value_based,0,1.0,1.0,1.0,13
4-wise,986,167,max = 1 AND polly_parallel = 1 AND value_based = 1,max AND polly_parallel AND value_based,0,1.0,1.0,1.0,13
full,60000,7500,max = 1 AND polly_no_tiling = 1 AND value_based = 1,max AND polly_no_tiling AND value_based,0,1.0,1.0,1.0,14
random_2,46,4,max = 1 AND polly_no_tiling = 1 AND value_based = 1,pollydefaulttilesize >= 16.00 AND NOT pollyoptmaxconstantterm_1000 AND NOT pollyoptmaxconstantterm_10000 AND pollyrtcmaxparameters <= 4.00 AND value_based,2,0.888888888888889,0.8,1.0,14
random_5,115,16,max = 1 AND polly_no_tiling = 1 AND value_based = 1,NOT max AND NOT pollyoptmaxcoefficient_1000 AND NOT pollyoptmaxconstantterm_100 AND NOT pollyoptmaxconstantterm_1000 AND pollyrtcmaxparameters != 16.00 AND value_based,3,0.5714285714285715,0.6666666666666666,0.5,14
random_10,230,30,max = 1 AND polly_no_tiling = 1 AND value_based = 1,max AND polly_no_tiling AND value_based,0,1.0,1.0,1.0,14
