sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,216000,27000,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND AutoAltRef AND lossless,0,1.0,1.0,1.0,0
random_2,34,2,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,variableBitrate AND bitRate >= 1200.00,1,0.5714285714285715,0.4,1.0,0
random_5,85,11,good = 1 AND lossless = 1 AND FrameBoost = 1,good AND lossless AND FrameBoost,1,1.0,1.0,1.0,0
random_10,170,16,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,NOT variance AND NOT constantBitrate AND FrameBoost AND Threads != 2.00 AND TileColumns != 0.00,0,0.3255813953488372,0.2592592592592592,0.4375,0
random_20,340,48,good = 1 AND lossless = 1 AND FrameBoost = 1,good AND lossless,2,0.6486486486486487,0.48,1.0,0
2-wise,52,7,realtime = 1 AND AutoAltRef = 1 AND FrameBoost = 1,realtime AND AutoAltRef AND FrameBoost,3,1.0,1.0,1.0,0
3-wise,242,31,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND AutoAltRef AND lossless,0,1.0,1.0,1.0,0
4-wise,947,108,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,AutoAltRef AND lossless AND FrameBoost,0,1.0,1.0,1.0,0
full,216000,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,0,1.0,1.0,1.0,10
random_2,34,4,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND NOT variance AND NOT lossless,3,1.0,1.0,1.0,10
random_5,85,9,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,NOT variance AND NOT variableBitrate AND bitRate >= 900.00 AND Threads != 2.00 AND cpuUsed != 8.00,4,0.3076923076923076,0.2352941176470588,0.4444444444444444,10
random_10,170,19,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,0,1.0,1.0,1.0,10
random_20,340,32,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,0,1.0,1.0,1.0,10
2-wise,51,3,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,NOT realtime AND AutoAltRef AND NOT lossless AND NOT FrameBoost AND lagInFrames = 0.00,3,1.0,1.0,1.0,10
3-wise,244,35,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,1,1.0,1.0,1.0,10
4-wise,945,118,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,0,1.0,1.0,1.0,10
full,216000,27000,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,0,1.0,1.0,1.0,11
random_2,34,8,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,2,1.0,1.0,1.0,11
random_5,85,15,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,2,1.0,1.0,1.0,11
random_10,170,18,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,0,1.0,1.0,1.0,11
random_20,340,48,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,0,1.0,1.0,1.0,11
2-wise,51,7,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,NOT realtime AND NOT AutoAltRef AND lossless,0,1.0,1.0,1.0,11
3-wise,241,25,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,0,1.0,1.0,1.0,11
4-wise,939,128,realtime = 1 AND AutoAltRef = 1 AND lossless = 1,realtime AND AutoAltRef AND lossless,0,1.0,1.0,1.0,11
full,216000,27000,realtime = 1 AND lossless = 1 AND FrameBoost = 1,realtime AND lossless AND FrameBoost,0,1.0,1.0,1.0,12
random_2,34,1,realtime = 1 AND lossless = 1 AND FrameBoost = 1,variableBitrate AND lossless AND lagInFrames = 8.00,3,0.4,0.25,1.0,12
random_5,85,7,realtime = 1 AND lossless = 1 AND FrameBoost = 1,realtime AND lossless AND FrameBoost,1,1.0,1.0,1.0,12
random_10,170,22,realtime = 1 AND lossless = 1 AND FrameBoost = 1,realtime AND lossless AND FrameBoost,2,1.0,1.0,1.0,12
random_20,340,45,realtime = 1 AND lossless = 1 AND FrameBoost = 1,realtime AND lossless AND FrameBoost,0,1.0,1.0,1.0,12
2-wise,56,4,realtime = 1 AND lossless = 1 AND FrameBoost = 1,realtime AND AutoAltRef AND FrameBoost AND lagInFrames != 0.00,4,0.6666666666666665,0.6,0.75,12
3-wise,233,32,realtime = 1 AND lossless = 1 AND FrameBoost = 1,realtime AND lossless AND FrameBoost,4,1.0,1.0,1.0,12
4-wise,947,131,realtime = 1 AND lossless = 1 AND FrameBoost = 1,realtime AND lossless AND FrameBoost,0,1.0,1.0,1.0,12
full,216000,27000,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,good AND AutoAltRef AND FrameBoost,0,1.0,1.0,1.0,13
random_2,34,6,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,good AND AutoAltRef AND NOT variance AND FrameBoost AND bitRate >= 600.00,4,1.0,1.0,1.0,13
random_5,85,8,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,good AND NOT AutoAltRef AND NOT off AND bitRate != 300.00 AND Threads != 2.00,3,0.7368421052631579,0.6363636363636364,0.875,13
random_10,170,15,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,AutoAltRef AND FrameBoost AND cpuUsed >= 2.00,4,0.6666666666666666,0.5,1.0,13
random_20,340,41,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,good AND AutoAltRef AND FrameBoost,0,1.0,1.0,1.0,13
2-wise,50,5,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,NOT variance AND NOT variableBitrate AND Threads != 10.00,0,0.2962962962962963,0.1818181818181818,0.8,13
3-wise,248,36,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,good AND AutoAltRef AND FrameBoost,0,1.0,1.0,1.0,13
4-wise,935,124,good = 1 AND AutoAltRef = 1 AND FrameBoost = 1,NOT good AND AutoAltRef AND FrameBoost,0,1.0,1.0,1.0,13
full,216000,27000,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,AutoAltRef AND lossless AND FrameBoost,0,1.0,1.0,1.0,14
random_2,34,3,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,lossless AND NOT FrameBoost AND bitRate != 300.00 AND TileColumns != 6.00,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,14
random_5,85,8,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,complexity AND lossless AND lagInFrames != 16.00 AND Threads >= 6.00,0,0.4615384615384615,0.6,0.375,14
random_10,170,18,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,AutoAltRef AND lossless AND FrameBoost,1,1.0,1.0,1.0,14
random_20,340,39,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,variance AND lossless AND FrameBoost,1,0.3666666666666666,0.5238095238095238,0.282051282051282,14
2-wise,50,6,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,AutoAltRef AND Threads >= 4.00 AND cpuUsed != 0.00,0,0.4,0.3333333333333333,0.5,14
3-wise,244,33,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,AutoAltRef AND lossless AND FrameBoost,4,1.0,1.0,1.0,14
4-wise,944,113,AutoAltRef = 1 AND lossless = 1 AND FrameBoost = 1,AutoAltRef AND lossless AND FrameBoost,0,1.0,1.0,1.0,14
full,216000,27000,good = 1 AND lossless = 1 AND FrameBoost = 1,good AND lossless AND FrameBoost,0,1.0,1.0,1.0,15
random_2,34,3,good = 1 AND lossless = 1 AND FrameBoost = 1,NOT cyclicRefresh AND lossless,0,0.4,0.25,1.0,15
random_5,85,7,good = 1 AND lossless = 1 AND FrameBoost = 1,NOT good AND off AND lossless AND FrameBoost,1,0.7272727272727273,1.0,0.5714285714285714,15
random_10,170,18,good = 1 AND lossless = 1 AND FrameBoost = 1,good AND lossless AND FrameBoost,0,1.0,1.0,1.0,15
random_20,340,44,good = 1 AND lossless = 1 AND FrameBoost = 1,good AND lossless AND FrameBoost,0,1.0,1.0,1.0,15
2-wise,46,6,good = 1 AND lossless = 1 AND FrameBoost = 1,good AND lossless AND FrameBoost,3,1.0,1.0,1.0,15
3-wise,242,41,good = 1 AND lossless = 1 AND FrameBoost = 1,good AND lossless AND FrameBoost,0,1.0,1.0,1.0,15
4-wise,958,133,good = 1 AND lossless = 1 AND FrameBoost = 1,good AND lossless AND FrameBoost,0,1.0,1.0,1.0,15
full,216000,27000,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND AutoAltRef AND lossless,0,1.0,1.0,1.0,16
random_2,34,7,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND AutoAltRef AND lossless,0,1.0,1.0,1.0,16
random_5,85,14,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND AutoAltRef AND NOT lossless,0,1.0,1.0,1.0,16
random_10,170,18,good = 1 AND AutoAltRef = 1 AND lossless = 1,AutoAltRef AND off AND NOT cyclicRefresh AND bitRate <= 900.00,2,0.3888888888888889,0.3888888888888889,0.3888888888888889,16
random_20,340,48,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND AutoAltRef AND lossless,1,1.0,1.0,1.0,16
2-wise,58,6,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND AutoAltRef AND NOT cyclicRefresh AND lossless,1,1.0,1.0,1.0,16
3-wise,248,24,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND AutoAltRef AND lossless,0,1.0,1.0,1.0,16
4-wise,946,110,good = 1 AND AutoAltRef = 1 AND lossless = 1,good AND AutoAltRef AND lossless,0,1.0,1.0,1.0,16
