sampling_strategy,sample_size,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
full,1152,144,no_8x8dct = 1 AND no_deblock = 1 AND no_fast_pskip = 1,no_8x8dct AND no_deblock AND no_fast_pskip,0,1.0,1.0,1.0,0
random_2,18,3,no_cabac = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_fast_pskip AND no_mixed_refs,3,0.6666666666666666,0.5,1.0,0
random_5,45,4,no_8x8dct = 1 AND no_cabac = 1 AND no_deblock = 1,NOT no_fast_pskip AND NOT no_mbtree,3,0.1428571428571428,0.1,0.25,0
random_10,90,11,no_8x8dct = 1 AND no_mbtree = 1 AND no_weightb = 1,NOT no_cabac AND NOT no_weightb,4,0.3333333333333333,0.24,0.5454545454545454,0
random_20,180,21,no_8x8dct = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct AND no_mbtree AND no_mixed_refs,0,1.0,1.0,1.0,0
2-wise,19,5,no_deblock = 1 AND no_mixed_refs = 1 AND no_weightb = 1,NOT no_8x8dct AND no_deblock AND ref = 9.00,3,0.5714285714285715,1.0,0.4,0
3-wise,43,4,no_deblock = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,NOT no_8x8dct AND rc_lookahead != 20.00,0,0.1176470588235294,0.0769230769230769,0.25,0
4-wise,94,10,no_deblock = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_cabac AND NOT no_fast_pskip AND no_mixed_refs AND ref != 1.00,2,0.5,0.5,0.5,0
full,1152,144,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_fast_pskip AND no_mbtree AND no_mixed_refs,1,1.0,1.0,1.0,10
random_5,45,8,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct AND NOT no_deblock AND rc_lookahead != 60.00 AND ref != 1.00,4,0.3333333333333332,0.3,0.375,10
random_10,90,14,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,NOT no_8x8dct AND NOT no_weightb AND rc_lookahead != 20.00 AND ref = 1.00,1,0.2,0.3333333333333333,0.1428571428571428,10
random_20,180,23,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_fast_pskip AND no_mixed_refs AND no_weightb,3,0.425531914893617,0.4166666666666667,0.4347826086956521,10
2-wise,16,2,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,NOT no_cabac AND no_mbtree AND rc_lookahead != 20.00,1,0.4,0.3333333333333333,0.5,10
3-wise,44,11,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_mixed_refs AND NOT no_weightb AND rc_lookahead != 20.00,2,0.64,0.5714285714285714,0.7272727272727273,10
4-wise,98,15,no_fast_pskip = 1 AND no_mbtree = 1 AND no_mixed_refs = 1,no_8x8dct AND no_weightb AND ref != 9.00,3,0.2068965517241379,0.2142857142857142,0.2,10
full,1152,144,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct AND no_fast_pskip AND no_mixed_refs,0,1.0,1.0,1.0,11
random_2,18,5,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,NOT no_cabac AND no_fast_pskip,4,0.5714285714285714,0.4444444444444444,0.8,11
random_5,45,6,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,NOT no_deblock AND NOT no_fast_pskip AND rc_lookahead != 20.00,0,0.6153846153846153,0.5714285714285714,0.6666666666666666,11
random_10,90,10,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct AND no_mixed_refs AND NOT no_weightb,2,0.6956521739130435,0.6153846153846154,0.8,11
random_20,180,28,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct AND no_fast_pskip AND no_mixed_refs,1,1.0,1.0,1.0,11
2-wise,14,3,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,NOT no_deblock AND no_mixed_refs,1,0.5714285714285715,0.5,0.6666666666666666,11
3-wise,41,6,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_8x8dct AND no_fast_pskip,2,0.7499999999999999,0.6,1.0,11
4-wise,111,12,no_8x8dct = 1 AND no_fast_pskip = 1 AND no_mixed_refs = 1,no_cabac AND rc_lookahead != 60.00 AND ref = 5.00,0,0.1666666666666666,0.1666666666666666,0.1666666666666666,11
full,1152,144,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac AND no_deblock AND no_mixed_refs,0,1.0,1.0,1.0,12
random_2,18,2,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac AND no_deblock AND rc_lookahead = 60.00,4,0.5714285714285715,0.4,1.0,12
random_5,45,7,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,NOT no_8x8dct AND no_cabac AND rc_lookahead != 20.00,0,0.2,0.1538461538461538,0.2857142857142857,12
random_10,90,7,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_deblock AND NOT no_mbtree,3,0.2352941176470588,0.1481481481481481,0.5714285714285714,12
random_20,180,12,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_deblock AND no_mixed_refs,4,0.5454545454545454,0.375,1.0,12
2-wise,18,1,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_8x8dct AND no_cabac AND NOT no_deblock AND no_fast_pskip,1,0.6666666666666666,0.5,1.0,12
3-wise,40,4,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_cabac AND NOT no_weightb,4,0.5333333333333333,0.3636363636363636,1.0,12
4-wise,96,14,no_cabac = 1 AND no_deblock = 1 AND no_mixed_refs = 1,no_fast_pskip AND ref = 5.00,4,0.2790697674418604,0.2068965517241379,0.4285714285714285,12
