n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
10000,10,36032.30336356434,1228,X_6==1 AND X_0==16 AND X_3==0 AND X_9==0,X_0 = 16.00 AND NOT X_3 AND X_6 AND NOT X_9,0,1.0,1.0,1.0,0,137.7386031150818
10000,25,43776.20189737118,1209,X_3==4 AND X_6==1 AND X_14==1 AND X_21==1,X_3 = 4.00 AND X_6 AND X_14 AND X_21,0,1.0,1.0,1.0,0,134.20491790771484
10000,50,25715.935776727518,1528,X_35==0 AND X_48==1 AND X_10==1 AND X_17==0,X_1 != 16.00 AND NOT X_12 AND NOT X_16 AND X_39,0,0.1210216110019646,0.151425762045231,0.1007853403141361,0,137.70379447937012
10000,100,29392.60392784585,1075,X_8==4 AND X_67==1 AND X_99==0 AND X_3==2,X_3 = 2.00 AND X_8 = 4.00 AND X_67 AND NOT X_99,0,0.9615384615384616,0.925925925925926,1.0,0,130.19011235237122
10000,250,32385.083269878465,1573,X_230==0 AND X_131==1 AND X_124==1 AND X_68==0,NOT X_68 AND X_124 AND X_131 AND NOT X_230,0,1.0,1.0,1.0,0,150.008398771286
10000,500,33983.2510223884,1083,X_136==0 AND X_55==16 AND X_135==1 AND X_59==4,X_55 = 16.00 AND X_59 = 4.00 AND X_135 AND NOT X_136,0,1.0,1.0,1.0,0,192.2591164112091
10000,1000,35020.35781921365,1575,X_366==1 AND X_314==1 AND X_731==0 AND X_625==0,X_19 >= 2.00 AND X_27 != 16.00 AND X_50 >= 2.00 AND X_59 != 16.00 AND X_67 != 16.00 AND X_70 != 16.00 AND X_104 != 16.00 AND X_132 != 16.00 AND NOT X_426 AND X_641,0,0.0718503937007874,0.1597374179431072,0.0463492063492063,0,284.7700848579407
10000,10,41526.100075495706,1218,X_3==0 AND X_4==0 AND X_8==1 AND X_0==8,X_0 = 8.00 AND NOT X_3 AND NOT X_4 AND X_8,0,1.0,1.0,1.0,1,134.4165396690369
10000,25,24296.070373359817,1523,X_11==1 AND X_20==0 AND X_18==1 AND X_14==0,X_11 AND NOT X_14 AND X_18 AND NOT X_20,1,1.0,1.0,1.0,1,134.8471908569336
10000,50,27801.00795199594,1565,X_46==0 AND X_42==0 AND X_12==0 AND X_29==1,NOT X_12 AND X_29 AND NOT X_42 AND NOT X_46,0,1.0,1.0,1.0,1,138.52796387672424
10000,100,28152.142506901862,1216,X_53==1 AND X_13==1 AND X_51==0 AND X_90==0,X_13 = 1.00 AND NOT X_51 AND X_53 AND NOT X_90,0,1.0,1.0,1.0,1,134.9502830505371
10000,250,30783.93971102372,1213,X_71==0 AND X_145==0 AND X_2==16 AND X_148==1,X_2 = 16.00 AND NOT X_71 AND NOT X_145 AND X_148,1,1.0,1.0,1.0,1,152.30614233016968
