n_samples,n_features,sg_mean,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed,runtime
1000,25,29428.02784279028,127,X_17==0 AND X_2==1 AND X_22==1 AND X_20==0,NOT X_17 AND NOT X_20 AND X_22,0,0.7236467236467237,0.5669642857142857,1.0,0,135.58625292778015
3000,25,24157.84851057541,334,X_2==4 AND X_3==8 AND X_7==0 AND X_22==1,X_2 = 4.00 AND X_3 = 8.00 AND X_22,0,0.9597701149425288,0.9226519337016574,1.0,0,134.75693726539612
10000,25,37342.59905492295,1078,X_0==16 AND X_11==1 AND X_13==0 AND X_1==4,X_0 = 16.00 AND X_1 = 4.00 AND X_11 AND NOT X_13,0,1.0,1.0,1.0,0,135.43266677856445
30000,25,31003.92232482041,4692,X_21==0 AND X_10==1 AND X_7==1 AND X_6==0,NOT X_6 AND X_7 AND X_10 AND NOT X_21,1,1.0,1.0,1.0,0,127.4045021533966
100000,25,33963.294254402324,10904,X_1==8 AND X_23==1 AND X_24==0 AND X_4==16,X_1 = 8.00 AND X_4 = 16.00 AND X_23 AND NOT X_24,0,1.0,1.0,1.0,0,126.121657371521
300000,25,43513.33672416354,32748,X_6==1 AND X_0==1 AND X_7==1 AND X_1==1,X_0 = 1.00 AND X_1 = 1.00 AND X_6 AND X_7,0,1.0,1.0,1.0,0,170.6026372909546
1000000,25,37087.820327940506,122385,X_17==1 AND X_1==16 AND X_24==1 AND X_22==1,X_1 = 16.00 AND X_17 AND X_22 AND X_24,0,1.0,1.0,1.0,0,358.7453644275665
1000,25,28788.330546820853,147,X_10==0 AND X_17==1 AND X_8==0 AND X_11==1,NOT X_8 AND NOT X_10 AND X_11 AND X_17,0,1.0,1.0,1.0,1,134.58042407035828
3000,25,29613.578048564857,470,X_20==1 AND X_16==1 AND X_19==0 AND X_24==0,X_16 AND NOT X_19 AND X_20 AND NOT X_24,0,1.0,1.0,1.0,1,134.47078275680542
10000,25,38102.97971832911,1541,X_22==0 AND X_18==0 AND X_20==1 AND X_16==0,NOT X_16 AND NOT X_18 AND X_20 AND NOT X_22,0,1.0,1.0,1.0,1,134.75467228889465
30000,25,43692.91532434437,3689,X_14==1 AND X_12==0 AND X_20==1 AND X_1==4,X_1 = 4.00 AND NOT X_12 AND X_14 AND X_20,0,1.0,1.0,1.0,1,136.71456480026245
100000,25,47769.0920360698,10355,X_3==8 AND X_2==4 AND X_0==8 AND X_20==1,X_0 = 8.00 AND X_2 = 4.00 AND X_3 = 8.00 AND X_20,0,1.0,1.0,1.0,1,132.31257128715515
300000,25,44942.701829861966,36714,X_15==0 AND X_3==1 AND X_22==1 AND X_7==0,X_3 = 1.00 AND NOT X_7 AND NOT X_15 AND X_22,1,1.0,1.0,1.0,1,179.57301259040833
1000000,25,46958.88800155436,156561,X_10==0 AND X_16==1 AND X_17==0 AND X_14==1,NOT X_10 AND X_14 AND X_16 AND NOT X_17,1,1.0,1.0,1.0,1,360.7929744720459
1000,25,33877.88040317797,109,X_24==0 AND X_13==1 AND X_2==1 AND X_3==4,X_2 = 1.00 AND X_3 = 4.00 AND X_13 AND NOT X_24,0,1.0,1.0,1.0,10,136.82338094711304
3000,25,26663.67750288534,330,X_3==8 AND X_13==1 AND X_22==0 AND X_4==1,X_3 = 8.00 AND X_4 = 1.00 AND X_13 AND NOT X_22,2,1.0,1.0,1.0,10,134.1363410949707
10000,25,34147.14489959007,1508,X_16==1 AND X_18==0 AND X_8==1 AND X_15==0,X_8 AND NOT X_15 AND X_16 AND NOT X_18,0,1.0,1.0,1.0,10,136.239972114563
30000,25,46546.65635244689,4667,X_19==1 AND X_10==1 AND X_9==1 AND X_16==0,X_9 AND X_10 AND NOT X_16 AND X_19,0,1.0,1.0,1.0,10,138.25262236595154
100000,25,36998.61995079919,15629,X_10==0 AND X_22==1 AND X_23==0 AND X_7==1,X_7 AND NOT X_10 AND X_22 AND NOT X_23,1,1.0,1.0,1.0,10,137.48867416381836
300000,25,48046.466734048,36701,X_1==1 AND X_19==0 AND X_22==1 AND X_15==1,X_1 != 1.00,0,0.0,0.0,0.0,10,179.21290349960327
1000000,25,32605.67072539609,156657,X_9==0 AND X_18==0 AND X_12==0 AND X_5==1,X_5 AND NOT X_9 AND NOT X_12 AND NOT X_18,0,1.0,1.0,1.0,10,361.5692863464356
1000,25,24092.371232305544,120,X_22==0 AND X_4==4 AND X_20==1 AND X_13==0,X_4 = 4.00 AND NOT X_13 AND X_20 AND NOT X_22,0,1.0,1.0,1.0,11,132.29666113853455
3000,25,26714.73967027301,307,X_7==1 AND X_4==1 AND X_1==4 AND X_3==4,X_1 = 4.00 AND X_3 = 4.00 AND X_4 = 1.00 AND X_7,0,1.0,1.0,1.0,11,124.52457571029665
10000,25,40740.61051461955,1563,X_11==1 AND X_19==1 AND X_15==1 AND X_21==1,X_11 AND X_15 AND X_19 AND X_21,1,1.0,1.0,1.0,11,125.07551336288452
30000,25,48149.13976058612,4667,X_12==0 AND X_7==0 AND X_20==0 AND X_8==0,NOT X_7 AND NOT X_8 AND NOT X_12 AND NOT X_20,1,1.0,1.0,1.0,11,126.94664120674132
100000,25,33737.070986518,12283,X_2==4 AND X_23==0 AND X_24==1 AND X_6==1,X_2 = 4.00 AND X_6 AND NOT X_23 AND X_24,0,1.0,1.0,1.0,11,129.72827696800232
300000,25,29854.6490410691,36731,X_2==2 AND X_12==1 AND X_11==1 AND X_14==0,X_2 = 2.00 AND X_11 AND X_12 AND NOT X_14,0,1.0,1.0,1.0,11,170.46769428253174
1000000,25,40028.30513362426,122605,X_15==1 AND X_17==0 AND X_23==1 AND X_1==4,X_1 = 4.00 AND X_15 AND NOT X_17 AND X_23,1,1.0,1.0,1.0,11,358.33207631111145
1000,25,27763.931633943157,117,X_13==1 AND X_19==1 AND X_3==4 AND X_14==0,X_3 = 4.00 AND X_13 AND NOT X_14 AND X_19,0,1.0,1.0,1.0,12,137.0427098274231
3000,25,28918.790466929007,368,X_22==1 AND X_12==1 AND X_17==0 AND X_1==1,X_1 = 1.00 AND X_12 AND NOT X_17 AND X_22,0,1.0,1.0,1.0,12,135.83365941047668
10000,25,47070.80494556693,1220,X_0==1 AND X_23==0 AND X_11==1 AND X_18==1,NOT X_11,0,0.0,0.0,0.0,12,136.09432888031006
