rule,sg_samples,sg_coverage,rule_num_predicates,rule_features_used
0.0 <= min < 1.0  AND  parallel >= 1.0  AND  0.0 <= pollyoptmaxconstantterm_100 < 1.0  AND  2.0 <= pollyrtcmaxparameters < 16.0  AND  0.0 <= pollyoptmaxconstantterm_10000 < 1.0,3600,0.06,5,"['min', 'pollyoptmaxconstantterm_100', 'parallel', 'pollyrtcmaxparameters', 'pollyoptmaxconstantterm_10000']"
0.0 <= min < 1.0  AND  parallel >= 0.5  AND  0.0 <= none < 1.0,5000,0.08333333333333333,3,"['min', 'parallel', 'none']"
0.0 <= min < 1.0  AND  parallel >= 0.5,10000,0.16666666666666666,2,"['min', 'parallel']"
parallel >= 1.0  AND  0.0 <= value_based < 1.0  AND  pollydefaulttilesize < 1024.0  AND  0.0 <= pollyoptmaxcoefficient_1 < 1.0,6400,0.10666666666666667,4,"['parallel', 'pollydefaulttilesize', 'pollyoptmaxcoefficient_1', 'value_based']"
0.0 <= memory_based < 1.0  AND  0.0 <= min < 1.0  AND  parallel_force >= 1.0  AND  0.0 <= pollyoptmaxconstantterm_1 < 1.0  AND  pollydefaulttilesize >= 16.0,3200,0.05333333333333334,5,"['pollyoptmaxconstantterm_1', 'min', 'memory_based', 'parallel_force', 'pollydefaulttilesize']"
0.0 <= min < 1.0  AND  0.0 <= polly_no_tiling < 1.0  AND  0.0 <= parallel_force < 0.5  AND  16.0 <= pollydefaulttilesize < 1024.0,6000,0.1,4,"['min', 'pollydefaulttilesize', 'polly_no_tiling', 'parallel_force']"
0.0 <= value_based < 1.0  AND  parallel_force >= 0.5  AND  0.0 <= polly < 1.0  AND  0.0 <= pollyoptmaxconstantterm_1000 < 1.0  AND  0.0 <= pollyoptmaxcoefficient_10 < 1.0,3200,0.05333333333333334,5,"['parallel_force', 'polly', 'pollyoptmaxconstantterm_1000', 'pollyoptmaxcoefficient_10', 'value_based']"
0.0 <= value_based < 1.0  AND  0.0 <= polly_parallel < 0.5  AND  pollyrtcmaxparameters >= 8.0,4000,0.06666666666666667,3,"['pollyrtcmaxparameters', 'polly_parallel', 'value_based']"
0.0 <= min < 1.0  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0  AND  polly_opt_simplify_deps >= 1.0  AND  0.0 <= pollyoptmaxcoefficient_1000 < 1.0,9000,0.15,4,"['min', 'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_100', 'polly_opt_simplify_deps']"
0.0 <= memory_based < 1.0  AND  0.0 <= polly_no_tiling < 1.0  AND  0.0 <= none < 1.0  AND  0.0 <= max < 1.0  AND  pollydefaulttilesize >= 16.0,3000,0.05,5,"['none', 'polly_no_tiling', 'max', 'memory_based', 'pollydefaulttilesize']"
0.0 <= min < 1.0  AND  0.0 <= none < 1.0  AND  0.0 <= pollyoptmaxcoefficient_100 < 1.0,12000,0.2,3,"['min', 'none', 'pollyoptmaxcoefficient_100']"
0.0 <= parallel < 1.0  AND  0.0 <= value_based < 1.0  AND  polly_no_tiling >= 1.0  AND  0.0 <= pollyoptmaxcoefficient_10000 < 1.0  AND  0.0 <= pollyoptmaxconstantterm_1 < 1.0,6400,0.10666666666666667,5,"['pollyoptmaxconstantterm_1', 'polly_no_tiling', 'pollyoptmaxcoefficient_10000', 'parallel', 'value_based']"
0.0 <= parallel < 1.0  AND  0.0 <= value_based < 1.0  AND  0.0 <= max < 1.0  AND  0.0 <= pollyoptmaxcoefficient_1 < 1.0,8000,0.13333333333333333,4,"['parallel', 'max', 'pollyoptmaxcoefficient_1', 'value_based']"
0.0 <= min < 1.0  AND  0.0 <= pollyoptmaxcoefficient_10 < 1.0,24000,0.4,2,"['min', 'pollyoptmaxcoefficient_10']"
0.0 <= memory_based < 1.0  AND  0.0 <= polly_no_tiling < 1.0  AND  0.0 <= max < 1.0  AND  pollydefaulttilesize >= 16.0,6000,0.1,4,"['max', 'pollydefaulttilesize', 'memory_based', 'polly_no_tiling']"
