rule,sg_samples,sg_coverage,rule_num_predicates,rule_features_used
4.0 <= cpuUsed < 6.0  AND  lossless >= 1.0  AND  0.0 <= good < 1.0,10800,0.05,3,"['good', 'lossless', 'cpuUsed']"
0.0 <= lossless < 1.0  AND  bitRate < 600.0  AND  0.0 <= realtime < 1.0,10800,0.05,3,"['lossless', 'realtime', 'bitRate']"
0.0 <= realtime < 1.0  AND  0.0 <= lossless < 1.0  AND  bitRate < 900.0,21600,0.1,3,"['lossless', 'realtime', 'bitRate']"
cpuUsed < 2.0  AND  lossless >= 1.0  AND  0.0 <= good < 1.0,10800,0.05,3,"['good', 'lossless', 'cpuUsed']"
0.0 <= lossless < 1.0  AND  bitRate < 1200.0  AND  0.0 <= realtime < 1.0,32400,0.15,3,"['lossless', 'realtime', 'bitRate']"
lossless >= 1.0  AND  cpuUsed < 2.0,21600,0.1,2,"['lossless', 'cpuUsed']"
0.0 <= lossless < 1.0  AND  600.0 <= bitRate < 900.0,21600,0.1,2,"['lossless', 'bitRate']"
0.0 <= lossless < 1.0  AND  bitRate < 600.0,21600,0.1,2,"['lossless', 'bitRate']"
0.0 <= lossless < 1.0  AND  bitRate < 1500.0  AND  0.0 <= realtime < 1.0,43200,0.2,3,"['lossless', 'realtime', 'bitRate']"
0.0 <= lossless < 1.0  AND  bitRate < 1200.0,64800,0.3,2,"['lossless', 'bitRate']"
0.0 <= realtime < 1.0  AND  0.0 <= lossless < 1.0,54000,0.25,2,"['lossless', 'realtime']"
0.0 <= lossless < 1.0  AND  cpuUsed < 6.0,64800,0.3,2,"['lossless', 'cpuUsed']"
cpuUsed < 4.0  AND  0.0 <= good < 1.0,43200,0.2,2,"['good', 'cpuUsed']"
0.0 <= realtime < 1.0  AND  cpuUsed >= 6.0  AND  lagInFrames >= 8.0  AND  0.0 <= variance < 1.0,21600,0.1,4,"['variance', 'cpuUsed', 'realtime', 'lagInFrames']"
0.0 <= realtime < 1.0  AND  cpuUsed >= 6.0,43200,0.2,2,"['cpuUsed', 'realtime']"
