rule,sg_samples,sg_coverage,rule_num_predicates,rule_features_used
0.0 <= no_mbtree < 1.0  AND  ref < 3.0  AND  0.0 <= no_8x8dct < 1.0,96,0.08333333333333333,3,"['no_mbtree', 'ref', 'no_8x8dct']"
0.0 <= no_mbtree < 1.0  AND  ref < 3.0,192,0.16666666666666666,2,"['no_mbtree', 'ref']"
no_8x8dct >= 1.0  AND  ref < 3.0,192,0.16666666666666666,2,"['ref', 'no_8x8dct']"
ref < 3.0,384,0.3333333333333333,1,['ref']
no_fast_pskip >= 1.0  AND  ref >= 7.0  AND  0.0 <= no_mixed_refs < 1.0,96,0.08333333333333333,3,"['ref', 'no_fast_pskip', 'no_mixed_refs']"
no_fast_pskip >= 1.0  AND  ref >= 7.0,192,0.16666666666666666,2,"['ref', 'no_fast_pskip']"
no_fast_pskip >= 1.0  AND  no_mixed_refs >= 1.0,288,0.25,2,"['no_fast_pskip', 'no_mixed_refs']"
no_mixed_refs >= 1.0  AND  ref < 7.0,384,0.3333333333333333,2,"['ref', 'no_mixed_refs']"
no_fast_pskip >= 1.0,576,0.5,1,['no_fast_pskip']
0.0 <= no_mixed_refs < 1.0  AND  ref >= 7.0,192,0.16666666666666666,2,"['ref', 'no_mixed_refs']"
no_mixed_refs >= 1.0,576,0.5,1,['no_mixed_refs']
0.0 <= no_fast_pskip < 1.0,576,0.5,1,['no_fast_pskip']
