rule,sg_samples,sg_coverage,rule_num_predicates,rule_features_used
0.0 <= RECOMPILE_ALWAYS < 1.0  AND  MVSTORE >= 1.0  AND  0.0 <= OPTIMIZE_DISTINCT < 1.0  AND  0.0 <= COMPRESS < 1.0  AND  DEFRAG_ALWAYS >= 1.0,98,0.05015353121801433,5,"['MVSTORE', 'RECOMPILE_ALWAYS', 'COMPRESS', 'DEFRAG_ALWAYS', 'OPTIMIZE_DISTINCT']"
0.0 <= RECOMPILE_ALWAYS < 1.0  AND  MVSTORE >= 1.0  AND  0.0 <= DEFRAG_ALWAYS < 1.0  AND  0.0 <= COMPRESS < 1.0  AND  0.0 <= OPTIMIZE_TWO_EQUALS < 1.0,125,0.06397134083930399,5,"['MVSTORE', 'RECOMPILE_ALWAYS', 'DEFRAG_ALWAYS', 'COMPRESS', 'OPTIMIZE_TWO_EQUALS']"
0.0 <= RECOMPILE_ALWAYS < 1.0  AND  MVSTORE >= 1.0  AND  COMPRESS >= 1.0,124,0.06345957011258956,3,"['MVSTORE', 'COMPRESS', 'RECOMPILE_ALWAYS']"
OPTIMIZE_TWO_EQUALS >= 1.0  AND  PAGE_STORE_TRIM >= 1.0  AND  RECOMPILE_ALWAYS >= 1.0  AND  DROP_RESTRICT >= 1.0,166,0.0849539406345957,4,"['PAGE_STORE_TRIM', 'RECOMPILE_ALWAYS', 'OPTIMIZE_TWO_EQUALS', 'DROP_RESTRICT']"
0.0 <= PAGE_STORE_TRIM < 1.0  AND  0.0 <= MVSTORE < 1.0  AND  RECOMPILE_ALWAYS >= 1.0,388,0.1985670419651996,3,"['MVSTORE', 'PAGE_STORE_TRIM', 'RECOMPILE_ALWAYS']"
0.0 <= RECOMPILE_ALWAYS < 1.0  AND  MVSTORE >= 1.0,469,0.24002047082906858,2,"['MVSTORE', 'RECOMPILE_ALWAYS']"
RECOMPILE_ALWAYS >= 1.0  AND  0.0 <= MVSTORE < 1.0,662,0.33879222108495394,2,"['MVSTORE', 'RECOMPILE_ALWAYS']"
0.0 <= RECOMPILE_ALWAYS < 1.0  AND  0.0 <= DEFRAG_ALWAYS < 1.0,649,0.3321392016376663,2,"['DEFRAG_ALWAYS', 'RECOMPILE_ALWAYS']"
0.0 <= RECOMPILE_ALWAYS < 1.0,993,0.5081883316274309,1,['RECOMPILE_ALWAYS']
0.0 <= COMPRESS < 1.0,937,0.4795291709314227,1,['COMPRESS']
OPTIMIZE_DISTINCT >= 1.0,1119,0.5726714431934493,1,['OPTIMIZE_DISTINCT']
