dataset,casestudy,rule,sg_idx,mean_shift,rel_std,skewness,modality
distance_based,7z,BZip2 $\wedge$ x <= 6.00,0,-0.0685,0.0581,3.2601,Unimodal
distance_based,7z,$\neg$BZip2 $\wedge$ x <= 4.00,1,-0.1276,0.0535,4.6947,Unimodal
distance_based,7z,$\neg$BZip2 $\wedge$ $\neg$PPMd $\wedge$ x >= 8.00,2,0.1710,0.7343,3.8076,Bimodal
distance_based,7z,PPMd $\wedge$ x <= 6.00,3,-0.1330,0.0313,4.6949,Unimodal
distance_based,7z,$\neg$Deflate $\wedge$ $\neg$PPMd $\wedge$ x <= 4.00,4,-0.1030,0.1146,3.8743,Unimodal
distance_based,BerkeleyDBC,PAGESIZE >= 4.00 $\wedge$ HAVE_CRYPTO $\wedge$ $\neg$HAVE_REPLICATION.1 $\wedge$ $\neg$HAVE_VERIFY.1,0,0.2767,1.0503,1.8318,Multimodal
distance_based,BerkeleyDBC,PAGESIZE >= 4.00 $\wedge$ $\neg$HAVE_CRYPTO $\wedge$ HAVE_REPLICATION.1,1,-0.1972,0.0156,4.6949,Unimodal
distance_based,BerkeleyDBC,PAGESIZE = 32.00 $\wedge$ HAVE_CRYPTO $\wedge$ $\neg$HAVE_HASH.1 $\wedge$ $\neg$HAVE_REPLICATION.1 $\wedge$ $\neg$HAVE_VERIFY.1,2,0.7762,0.0525,4.6949,Unimodal
distance_based,BerkeleyDBC,HAVE_CRYPTO $\wedge$ $\neg$HAVE_HASH.1 $\wedge$ $\neg$HAVE_REPLICATION.1 $\wedge$ $\neg$HAVE_SEQUENCE.1 $\wedge$ $\neg$HAVE_VERIFY.1,3,0.1924,1.0921,1.4875,Multimodal
distance_based,BerkeleyDBC,$\neg$HAVE_HASH $\wedge$ PAGESIZE >= 4.00 $\wedge$ $\neg$HAVE_CRYPTO,4,-0.1901,0.0469,4.5545,Unimodal
distance_based,Dune,SeqSOR $\wedge$ cells_54,0,0.0274,0.9938,4.2280,Multimodal
distance_based,Dune,SeqGS $\wedge$ $\neg$cells_54 $\wedge$ $\neg$cells_55 $\wedge$ PostSmooting >= 2.00,1,-0.0385,0.3524,3.5527,Unimodal
distance_based,Dune,SeqSOR $\wedge$ $\neg$cells_50 $\wedge$ $\neg$cells_51 $\wedge$ $\neg$cells_54,2,0.0193,1.0038,2.4479,Multimodal
distance_based,Dune,$\neg$GradientSolver $\wedge$ SeqSOR $\wedge$ cells_53,3,0.0250,0.8955,3.1155,Multimodal
distance_based,Dune,SeqGS $\wedge$ cells_52,4,-0.0154,0.9478,3.4537,Multimodal
distance_based,Hipacc,OpenCL $\wedge$ $\neg$TextureMemory $\wedge$ $\neg$bs_1024x1 $\wedge$ $\neg$bs_128x8 $\wedge$ $\neg$bs_256x4 $\wedge$ $\neg$bs_32x16 $\wedge$ $\neg$bs_32x2 $\wedge$ $\neg$bs_32x32 $\wedge$ $\neg$bs_512x2 $\wedge$ $\neg$bs_64x1 $\wedge$ $\neg$bs_64x16 $\wedge$ pixelPerThread >= 3.00,0,0.0128,1.0446,3.9531,Multimodal
distance_based,Hipacc,$\neg$LocalMemory $\wedge$ $\neg$bs_128x1 $\wedge$ $\neg$bs_128x2 $\wedge$ $\neg$bs_128x4 $\wedge$ $\neg$bs_256x1 $\wedge$ $\neg$bs_32x1 $\wedge$ $\neg$bs_64x2 $\wedge$ $\neg$bs_64x4,1,-0.0881,0.3067,3.3074,Unimodal
distance_based,Hipacc,LocalMemory $\wedge$ $\neg$bs_1024x1 $\wedge$ $\neg$bs_128x1 $\wedge$ $\neg$bs_128x2 $\wedge$ $\neg$bs_32x4 $\wedge$ $\neg$bs_32x8 $\wedge$ $\neg$bs_64x2 $\wedge$ $\neg$bs_64x4,2,0.1601,0.9774,1.4155,Multimodal
distance_based,Hipacc,$\neg$Array2D $\wedge$ $\neg$LocalMemory $\wedge$ $\neg$bs_1024x1 $\wedge$ $\neg$bs_32x1 $\wedge$ $\neg$bs_512x2,3,-0.1068,0.2257,4.1238,Unimodal
distance_based,Hipacc,LocalMemory $\wedge$ $\neg$bs_1024x1 $\wedge$ $\neg$bs_128x1 $\wedge$ $\neg$bs_128x2 $\wedge$ $\neg$bs_32x2 $\wedge$ $\neg$bs_32x4 $\wedge$ $\neg$bs_32x8 $\wedge$ $\neg$bs_64x2 $\wedge$ $\neg$bs_64x4,4,0.1755,0.9526,1.4312,Multimodal
distance_based,JavaGC,NewRatio >= 8.00 $\wedge$ UseAdaptiveSizePolicy,0,0.2373,1.0129,2.1099,Multimodal
distance_based,JavaGC,NewRatio <= 8.00 $\wedge$ $\neg$UseAdaptiveSizePolicy,1,-0.0990,0.0803,4.0703,Unimodal
distance_based,JavaGC,NewRatio = 32.00 $\wedge$ $\neg$UseAdaptiveSizePolicy,2,-0.0250,0.2115,2.7670,Bimodal
distance_based,JavaGC,NewRatio <= 8.00 $\wedge$ SurvivorRatio != 1.00 $\wedge$ UseAdaptiveGCBoundary,3,-0.0679,0.4327,4.2298,Unimodal
